sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points
0.05,agc,random_uniform,hadamard_paired,,not_reached,-2.3687061644250207,-10.00247577276001,9
0.05,agc,random_binary,hadamard_paired,,not_reached,-1.130041446209093,-9.540592914737717,9
0.05,agc,fourier_fourstep,hadamard_paired,0.001,left_censored,0.6350021128574639,-2.3642899936142268,9
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.5827936667107423,-2.232372327194785,9
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.684738303864556,1.0491609566258688,9
0.05,none,random_uniform,hadamard_paired,,not_reached,-3.3323529869532553,-26.464000998693106,9
0.05,none,random_binary,hadamard_paired,,not_reached,-2.073901784832236,-25.589638727568506,9
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-1.0226612570834934,-20.138952629724265,9
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.5561453564679297,-2.6649102366364623,9
0.05,none,srht_paired,hadamard_paired,0.1,observed,0.0774350783439246,-0.387536362639473,9
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-1.8836892333952964,-3.018100256128541,9
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.05593668617709113,0.007960974350865513,9
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-3.9350306076368575,-32.071355421960305,9
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-2.6871621117890427,-31.95140433447113,9
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-1.040530657143215,-27.23955368118686,9
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.116117810819027,-3.001468524144542,9
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.06322913781504269,0.01912434211976688,9
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-3.8945917658142175,-29.07498884919942,9
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-2.6430062965662575,-28.91769529113585,9
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-1.0181867905769142,-24.19123050574198,9
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-1.8632596016385694,-2.8857819719177797,9
0.05,reference_k32,srht_paired,hadamard_paired,1.0,observed,0.025313525578834373,-0.08997948975350312,9
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-3.8006491383497103,-29.600758564295013,9
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-2.536862395638897,-29.47133816327736,9
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-1.0939183521667992,-24.76324100877276,9
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-1.9015205138004347,-3.0103983828694396,9
0.05,reference_k8,srht_paired,hadamard_paired,0.1,observed,0.0356585922466941,-0.024038757380253628,9
0.05,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-3.2715678209106738,-18.11414964176823,9
0.05,scgi_frozen,random_binary,hadamard_paired,,not_reached,-2.038209506453562,-17.942239128229538,9
0.05,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-0.994051224160712,-12.004555446902735,9
0.05,scgi_frozen,dct_paired,hadamard_paired,0.001,left_censored,1.6481904796225066,-2.586694079031627,9
0.05,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,9.950557525566879,0.14301418045440606,9
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-3.3611004289857647,-28.891341909417594,9
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-2.1231981347516378,-28.74225371830053,9
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-1.1568810517588055,-22.884623747060477,9
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-1.8712159666438062,-2.8345202427862404,9
0.05,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.06695013203230715,-0.13680978198723892,9
0.1,agc,random_uniform,hadamard_paired,,not_reached,-0.8846066303041962,-10.04818200138714,9
0.1,agc,random_binary,hadamard_paired,,not_reached,-0.0065774450980793375,-9.497790875956849,9
0.1,agc,fourier_fourstep,hadamard_paired,0.001,left_censored,0.31334683759486026,-2.4883414316446952,9
