rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,srht_paired,reference_k2,50.43343969938728,2.449084641434104,0.00017215577442986,2.4003349724435897e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,50.4219128326197,2.4477576102896976,0.00017260842614082,2.4028572463907032e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,47.92661376322547,2.436072583751769,0.00030653165363213,4.205028595213867e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,47.87793993053755,2.441744789631486,0.00031005622220694,4.315308363104935e-05,2048,257,2305
0.001,0.05,dct_paired,reference_k2,47.419181441133496,2.452860643473858,0.00034465363667879,4.8245349932112925e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,47.318762342671214,2.371845135688286,0.00035198356480526,4.3126414254235996e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,47.21778077953287,2.37609075566533,0.00036026469332158,4.428180182850452e-05,2048,65,2113
0.001,0.05,dct_paired,reference_k8,44.91201053329205,2.4598110560858357,0.00061411604113529,8.76906172639185e-05,2048,257,2305
0.001,0.05,dct_paired,reference_k32,44.42040457740059,2.4712255664744887,0.0006878190368538,9.888229737758572e-05,2048,65,2113
0.001,0.05,fourier_fourstep,reference_k2,22.42472152626102,1.9633958435205208,0.10791785037485288,0.0027967064667746818,2048,1025,3073
0.001,0.05,fourier_fourstep,reference_k8,22.414955360366783,1.9624139576414241,0.10816108383362247,0.0028136370805020984,2048,257,2305
0.001,0.05,fourier_fourstep,reference_k32,22.407416361307607,1.9623747262705364,0.10835021025551772,0.002871469304874289,2048,65,2113
0.001,0.05,random_uniform,reference_k2,17.66725235211511,1.8113000073811691,0.3226455368633053,0.002986594280954933,2048,1025,3073
0.001,0.05,random_uniform,reference_k8,17.656788310404227,1.8156611689363962,0.32342216013442543,0.002781510800084024,2048,257,2305
0.001,0.05,random_uniform,reference_k32,17.616294181754963,1.8147820276132616,0.3264552321928028,0.003212753032794165,2048,65,2113
0.001,0.05,random_binary,reference_k2,17.339438515801206,1.860744940105973,0.34792958808311064,0.0008119148474986762,2048,1025,3073
0.001,0.05,random_binary,reference_k8,17.337596617967264,1.8613452250579983,0.3480776023902368,0.0009933931016917166,2048,257,2305
0.001,0.05,random_binary,reference_k32,17.31761455475776,1.8643650698955399,0.34968469763875354,0.001569227109985031,2048,65,2113
0.001,0.1,srht_paired,reference_k2,44.41555188733606,2.4489577572369328,0.0006881956597606599,9.597081419823149e-05,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k2,44.40455787008451,2.447271151023929,0.00068990450667522,9.59433865278692e-05,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k8,41.90929566002983,2.4357216717888317,0.00122518774914079,0.0001679380140999183,2048,257,2305
0.001,0.1,srht_paired,reference_k8,41.86197675466455,2.4419396561386146,0.00123891530996432,0.0001725579023386412,2048,257,2305
0.001,0.1,dct_paired,reference_k2,41.40192397301475,2.4522073006738108,0.00137751922044263,0.00019256939480343085,2048,1025,3073
0.001,0.1,hadamard_paired,reference_k32,41.301859959593784,2.3695616254487994,0.00140666049423371,0.00017163689246341976,2048,65,2113
0.001,0.1,srht_paired,reference_k32,41.20319334221682,2.3752208911886092,0.0014390417615964299,0.00017666760098639656,2048,65,2113
0.001,0.1,dct_paired,reference_k8,38.89795760505196,2.4589082783025815,0.00245265304081834,0.00034928785582361016,2048,257,2305
0.001,0.1,dct_paired,reference_k32,38.41133165860599,2.4684539541238073,0.00274378460096327,0.0003928713213328568,2048,65,2113
0.001,0.1,fourier_fourstep,reference_k2,22.404328304912138,1.9601655410222525,0.1084247601592769,0.0027652996834630237,2048,1025,3073
0.001,0.1,fourier_fourstep,reference_k8,22.358859596310204,1.9596851801067212,0.10956889506350806,0.002917347441952517,2048,257,2305
0.001,0.1,fourier_fourstep,reference_k32,22.332878717542968,1.9604015357203646,0.11023103356423528,0.003132337310203214,2048,65,2113
0.001,0.1,random_uniform,reference_k2,17.66125091558935,1.813988909332156,0.32309045651412627,0.0028369797131925114,2048,1025,3073
0.001,0.1,random_uniform,reference_k8,17.615610434814766,1.8269461465634076,0.326500830466698,0.0024702700313520617,2048,257,2305
0.001,0.1,random_uniform,reference_k32,17.447211963569043,1.8397126469647112,0.3394282890674017,0.0045654312928522945,2048,65,2113
0.001,0.1,random_binary,reference_k2,17.33666326173361,1.8612730509903643,0.348152422235526,0.0009952661124850743,2048,1025,3073
0.001,0.1,random_binary,reference_k8,17.32518624694819,1.8635213290652368,0.34907536250809756,0.0015147264832145776,2048,257,2305
