rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.001,0.05,hadamard_paired,oracle,120.0,0.0,6.924444970691854e-13,1.2626162929357014e-13,2048,0,2048
0.001,0.05,srht_paired,oracle,120.0,0.0,6.335510698428161e-13,8.735258034460211e-14,2048,0,2048
0.001,0.05,dct_paired,oracle,104.83918810797338,1.4284752617023448,6.213914538634127e-10,6.032835423682896e-11,2048,0,2048
0.001,0.05,srht_paired,reference_k2,50.43343969938728,2.449084641434104,0.00017215577442986,2.4003349724435897e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k2,50.4219128326197,2.4477576102896976,0.00017260842614082,2.4028572463907032e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k8,47.92661376322547,2.436072583751769,0.00030653165363213,4.205028595213867e-05,2048,257,2305
0.001,0.05,srht_paired,reference_k8,47.87793993053755,2.441744789631486,0.00031005622220694,4.315308363104935e-05,2048,257,2305
0.001,0.05,srht_paired,pairwise,47.44554437445648,2.46451510681648,0.00034267669082162,4.887562369765841e-05,2048,0,2048
0.001,0.05,hadamard_paired,pairwise,47.43675888686375,2.4658808144397035,0.00034338026935761,4.904081134184438e-05,2048,0,2048
0.001,0.05,dct_paired,reference_k2,47.419181441133496,2.452860643473858,0.00034465363667879,4.8245349932112925e-05,2048,1025,3073
0.001,0.05,hadamard_paired,reference_k32,47.318762342671214,2.371845135688286,0.00035198356480526,4.3126414254235996e-05,2048,65,2113
0.001,0.05,srht_paired,reference_k32,47.21778077953287,2.37609075566533,0.00036026469332158,4.428180182850452e-05,2048,65,2113
0.001,0.05,hadamard_paired,scgi_proxy,46.99229160827694,2.3772501237951116,0.00037966473468527,4.8203094962031395e-05,2048,0,2048
0.001,0.05,srht_paired,scgi_proxy,46.8894910137886,2.3875459227982954,0.00038882896669089,5.030538348208419e-05,2048,0,2048
0.001,0.05,srht_paired,agc,46.22647723776106,2.144539474932763,0.00045076252807754996,3.48701891976714e-05,2048,0,2048
