rho,sigma_a,basis,correction,psnr_mean,psnr_std,rel_mse_mean,rel_mse_std,num_frames,reference_frames,total_physical_frames
0.003,0.1,srht_paired,pairwise,35.55237536343489,1.8255307324101717,0.0040370195109787465,0.0003558150815561905,2048,0,2048
0.003,0.1,hadamard_paired,pairwise,35.53764346150017,1.8293184406353409,0.00405088442399604,0.00035882479666834093,2048,0,2048
0.003,0.1,hadamard_paired,scgi_proxy,35.02239191278178,1.7960897463190393,0.004559726551722634,0.0003855083580194102,2048,0,2048
0.003,0.1,srht_paired,agc,34.89015560480916,1.7683381029508807,0.004697531817625006,0.00035578449115780035,2048,0,2048
0.003,0.1,srht_paired,scgi_proxy,34.88757039586095,1.79384268789881,0.004701822128667234,0.000376170711951566,2048,0,2048
0.003,0.1,srht_paired,scgi_frozen,34.8543626451857,1.790030784930264,0.004737138913223341,0.0003687688661893889,2048,0,2048
0.003,0.1,dct_paired,pairwise,32.54678666412984,1.8265573147836647,0.008065705252894406,0.0007165119085773848,2048,0,2048
0.003,0.1,hadamard_paired,scgi_frozen,32.46410728595233,2.048845904065595,0.00842139329869918,0.0019866025665191273,2048,0,2048
0.003,0.1,dct_paired,scgi_proxy,32.34127950491862,1.8099190223580381,0.008451560676752106,0.000686392609708473,2048,0,2048
0.003,0.1,hadamard_paired,none,32.220559491993754,1.806949899259808,0.008918611800416625,0.0024366343750617248,2048,0,2048
0.003,0.1,srht_paired,none,32.01920461183957,1.8391788392129798,0.00921691456441958,0.0016193488739243886,2048,0,2048
0.003,0.1,dct_paired,none,31.256325062272502,1.830868539321464,0.01087780629819476,0.0012058390233723743,2048,0,2048
0.003,0.1,dct_paired,scgi_frozen,30.853547100290978,1.8718641904560507,0.011984822835968634,0.001693586854176231,2048,0,2048
0.003,0.1,hadamard_paired,agc,25.932220537191856,1.7940945850043968,0.03694238534966299,0.002600607613634234,2048,0,2048
0.003,0.1,fourier_fourstep,agc,24.79065469855156,1.6985612567885873,0.04866613754182284,0.008665296737535895,2048,0,2048
0.003,0.1,dct_paired,agc,24.470991620781295,1.7102731492772558,0.051820824995911126,0.005064151629652382,2048,0,2048
0.003,0.1,fourier_fourstep,scgi_frozen,22.194340556771998,1.7011532201439354,0.08760183792124158,0.009299694448315111,2048,0,2048
0.003,0.1,fourier_fourstep,scgi_proxy,22.003941073643272,1.6445146846788077,0.09118546921162271,0.004974150516002596,2048,0,2048
0.003,0.1,fourier_fourstep,none,21.27384852086983,1.6901447397130536,0.1082905086053634,0.01152596911946741,2048,0,2048
0.003,0.1,random_binary,scgi_frozen,15.855613260249587,1.5119688628880674,0.37537823720237656,0.014644539970342412,2048,0,2048
0.003,0.1,random_binary,scgi_proxy,15.852612570617318,1.5191443264526443,0.37560017604452245,0.013607097760269955,2048,0,2048
0.003,0.1,random_binary,agc,15.851373989566172,1.5201785505035978,0.37571221185632236,0.013756513616285286,2048,0,2048
0.003,0.1,random_uniform,scgi_proxy,15.33968855015332,1.6757040106912013,0.4231199339949023,0.025107611362153212,2048,0,2048
0.003,0.1,random_uniform,agc,15.338185331489539,1.676312841303774,0.4232660141525715,0.025104751301418378,2048,0,2048
0.003,0.1,random_uniform,scgi_frozen,15.333768143209712,1.6654338669647148,0.42372332082705416,0.025609724752358582,2048,0,2048
0.003,0.1,random_binary,none,14.265834879715154,1.6908785022074853,0.5437457447522687,0.05614448492983256,2048,0,2048
