correction,sigma_a,rho,seed,object,q_delta_raw,m_delta,var_delta_scalar,gain_rel_mse_aligned,qdelta_over_aligned,delta_lag1_corr,raw_rel_mse_total,projected_gain_energy,clean_floor_raw,clean_floor_gain_cross,raw_identity_sum,raw_identity_abs_error,scalar_qdelta_proxy,xi_present,delta_xi_cross
agc,0.05,0.001,0,0,6.233692386593686e-05,1.2510425440966284e-06,6.233692230082941e-05,6.218945054570213e-05,1.002371355896228,0.9540831076573035,0.5042157662891711,0.022853066631924164,0.4923020115030484,-0.010939163941369819,0.5042159141936028,1.47904431702095e-07,0.02406255216847982,False,0.0
scgi_proxy,0.05,0.001,0,0,6.226722140386854e-05,1.7398104912857981e-06,6.2267218376928e-05,6.214407767402008e-05,1.0019815843191755,0.9541245743261091,0.5044508317844342,0.022859768014142436,0.4923020115030484,-0.01071090426251267,0.5044508752546782,4.347024407103106e-08,0.024035646459539203,False,0.0
agc,0.05,0.001,0,1,5.868369858724246e-05,1.5830456362822683e-05,5.868344798389382e-05,5.912774577154778e-05,0.9924900369782236,0.952855150371319,0.5012885716701384,0.021463771251737318,0.4980248860946312,-0.01820000923152415,0.5012886481148444,7.64447060097595e-08,0.022529508759885214,False,0.0
scgi_proxy,0.05,0.001,0,1,5.838264104197784e-05,1.4240462069370992e-05,5.8382438251217886e-05,5.881968536414206e-05,0.9925697609659324,0.9525156865812985,0.5012678210155793,0.02139880960934694,0.4980248860946312,-0.018155864429815757,0.5012678312741624,1.025858309411376e-08,0.022413928474958468,False,0.0
agc,0.05,0.001,0,2,6.734473286018123e-05,1.4626220363520568e-05,6.73445189338591e-05,6.76430863677524e-05,0.995589297833793,0.956580432195793,0.5000696821673644,0.02730410232667928,0.47856935164185194,-0.0058036466994499745,0.5000698072690812,1.2510171687463156e-07,0.02965373855297387,False,0.0
scgi_proxy,0.05,0.001,0,2,6.740761019734189e-05,1.5724905056431384e-05,6.740736292470286e-05,6.769844185328111e-05,0.9957040125595575,0.9566219374704361,0.5001197552643593,0.027335645232849207,0.47856935164185194,-0.005785215401982584,0.5001197814727185,2.6208359260593284e-08,0.029681425174300894,False,0.0
agc,0.05,0.001,0,3,7.31965655257759e-05,2.6996548664193014e-05,7.31958367121361e-05,7.313835521927103e-05,1.000795893021252,0.9581055196192523,0.5276547509613269,0.02942056556030288,0.5095086583081527,-0.011274497987852666,0.527654725880603,2.5080723831116813e-08,0.03108132173955663,False,0.0
scgi_proxy,0.05,0.001,0,3,7.297216192242396e-05,2.6027590705988274e-05,7.297148448694601e-05,7.295883551705629e-05,1.0001826564976433,0.9580193390265895,0.5279240572671465,0.029375053787637155,0.5095086583081527,-0.010959768665466114,0.5279239434303238,1.1383682274601625e-07,0.030986033654040634,False,0.0
agc,0.05,0.001,0,4,7.352007012487791e-05,-1.1165322573060215e-05,7.351994546044974e-05,7.379258750006557e-05,0.9963069817115789,0.9603644954917329,0.5534415930278195,0.024088155319612423,0.5442038003208816,-0.014850418676526943,0.553441536963967,5.6063852449383944e-08,0.025893770052863908,False,0.0
scgi_proxy,0.05,0.001,0,4,7.29546983388112e-05,-1.2329132624995455e-05,7.295454633129991e-05,7.327387720579281e-05,0.9956440292345226,0.9601930413143225,0.5535424853762007,0.02391463921221739,0.5442038003208816,-0.014576035424961258,0.5535424041081377,8.126806294583844e-08,0.025694646099392125,False,0.0
agc,0.05,0.001,0,5,6.138922585489574e-05,-1.1284043405770917e-05,6.138909852526017e-05,6.197641778271645e-05,0.9905255587717355,0.9542716547182105,0.520427877269048,0.02867791283348196,0.49345120782500074,-0.0017013137268449127,0.5204278069316378,7.033741022954842e-08,0.030409398794285378,False,0.0
scgi_proxy,0.05,0.001,0,5,6.108060029715243e-05,-1.2113409267943331e-05,6.108045356246832e-05,6.16395627730526e-05,0.9909317579367299,0.9539282064140724,0.5207480575883375,0.028570871376638902,0.49345120782500074,-0.0012740154275880187,0.5207480637740517,6.185714163109424e-09,0.03025651988869845,False,0.0
agc,0.05,0.001,0,6,6.555733327112094e-05,-3.118051469769994e-05,6.555636104662414e-05,6.592713907593861e-05,0.9943906893276272,0.9579969842121714,0.5032825592957572,0.03256141570203074,0.4846212373521136,-0.013900137546207475,0.5032825155079369,4.378782025860062e-08,0.034292706894242735,False,0.0
scgi_proxy,0.05,0.001,0,6,6.541011835472303e-05,-3.255860328136656e-05,6.54090582920754e-05,6.579525506822392e-05,0.9941464363486161,0.9578594275874254,0.5036709458526135,0.03251198086136152,0.4846212373521136,-0.013462285396876054,0.503670932816599,1.3036014490097614e-08,0.03421569952181629,False,0.0
agc,0.05,0.001,0,7,6.384141482619587e-05,3.561146961418029e-05,6.384014664942779e-05,6.422578007914126e-05,0.994015405457563,0.9551172529023744,0.5494474005112849,0.03563762521875583,0.526752882227022,-0.012943022339745319,0.5494474851060325,8.459474754030083e-08,0.03844304321482617,False,0.0
scgi_proxy,0.05,0.001,0,7,6.37776369159208e-05,3.5063824778333195e-05,6.377640744411272e-05,6.416845280909911e-05,0.9939095322378898,0.9550679592603087,0.5494453068299788,0.03561601605057916,0.526752882227022,-0.012923464315649653,0.5494454339619516,1.271319727269571e-07,0.03840463841180714,False,0.0
agc,0.05,0.001,0,8,6.195766689891069e-05,-9.536876319736595e-06,6.195757594690076e-05,6.23953528702259e-05,0.9929852793328128,0.9548936719051229,0.5239457804545607,0.03323563624460967,0.5043874577514778,-0.013677289706665676,0.5239458042894217,2.3834860973792615e-08,0.0349771807164671,False,0.0
scgi_proxy,0.05,0.001,0,8,6.171295103733437e-05,-1.0561176146981193e-05,6.171283949889275e-05,6.215555913513526e-05,0.9928790263661115,0.9546404821776192,0.5239218101483203,0.03313482538176441,0.5043874577514778,-0.013600508767880918,0.5239217743653612,3.578295904027584e-08,0.03483903040605424,False,0.0
agc,0.05,0.001,0,9,6.606329826830537e-05,-1.7388962837735773e-05,6.60629958922768e-05,6.617202598135918e-05,0.9983568930912823,0.9559857717009315,0.5177316119794254,0.029022021740173504,0.5066149518944131,-0.01790514117255189,0.5177318324620347,2.2048260928109187e-07,0.030325968888145226,False,0.0
scgi_proxy,0.05,0.001,0,9,6.580374985622902e-05,-1.7658766988045598e-05,6.58034380241775e-05,6.591016426682472e-05,0.9983854628223213,0.9558103237667003,0.5178518945122447,0.028869902765400465,0.5066149518944131,-0.017632916383732863,0.5178519382760807,4.376383599957734e-08,0.030206824714664397,False,0.0
agc,0.05,0.001,1,0,6.006773584381148e-05,1.1090752005903678e-05,6.006761283903143e-05,6.03535445407033e-05,0.99526442565939,0.9542585477935512,0.5040299983623319,0.023665811983378433,0.4923020115030484,-0.011937809808932342,0.5040300136774946,1.5315162693596562e-08,0.02318662740709906,False,0.0
scgi_proxy,0.05,0.001,1,0,6.010279343951087e-05,1.1203367559363094e-05,6.01026679240662e-05,6.041303277015686e-05,0.9948646953079429,0.9544302746881118,0.5041687714409048,0.02367248937099104,0.4923020115030484,-0.01180576888447577,0.5041687319895637,3.945134108285231e-08,0.023200159919983917,False,0.0
agc,0.05,0.001,1,1,5.9017835804037465e-05,6.6049207390954335e-06,5.901779217905949e-05,5.927945312578231e-05,0.9955867116184467,0.9556950179439361,0.5237816963937914,0.021683529581889197,0.4980248860946312,0.004073136732363348,0.5237815524088837,1.439849076634303e-07,0.02265778880245266,False,0.0
scgi_proxy,0.05,0.001,1,1,5.8880855870350156e-05,5.692659502767297e-06,5.888082346397793e-05,5.915758083574474e-05,0.9953222399989119,0.955558503580563,0.5238188331372828,0.021680183796644808,0.4980248860946312,0.004113726261189489,0.5238187961524654,3.6984817430862904e-08,0.022605200252476577,False,0.0
agc,0.05,0.001,1,2,5.8136420675957204e-05,8.122566085734604e-06,5.8136354699877394e-05,5.8441433793632314e-05,0.9947808755214294,0.952522357251598,0.5055466872386095,0.025322683181565463,0.47856935164185194,0.0016547343282220697,0.5055467691516394,8.191302991455984e-08,0.025599065374715634,False,0.0
scgi_proxy,0.05,0.001,1,2,5.7972013292601266e-05,8.517030074577851e-06,5.797194075279998e-05,5.827131462865509e-05,0.9948636591097836,0.9523854641739353,0.5054553629215487,0.025309228945722087,0.47856935164185194,0.0015767926944003075,0.5054553732819743,1.0360425628519465e-08,0.025526672280925547,False,0.0
agc,0.05,0.001,1,3,6.681543571976454e-05,3.0951961839376736e-05,6.681447769582284e-05,6.663923704763874e-05,1.0026440679685429,0.9570775092093318,0.5298422581996228,0.027704393880627884,0.5095086583081527,-0.007370850593865567,0.529842201594915,5.6604707809881916e-08,0.028371714435745755,False,0.0
scgi_proxy,0.05,0.001,1,3,6.648860608000475e-05,3.0095768177836448e-05,6.648770032474254e-05,6.631964788539335e-05,1.0025476340722341,0.9569219851600245,0.5300529459928238,0.027581244397710297,0.5095086583081527,-0.007036910268584436,0.5300529924372785,4.644445472656855e-08,0.028232933372530158,False,0.0
agc,0.05,0.001,1,4,6.403799420324201e-05,1.1335444573906889e-05,6.403786571093833e-05,6.418673729058355e-05,0.9976826507527847,0.9571028867578069,0.5643682487658446,0.021561663715860675,0.5442038003208816,-0.001397213481926466,0.5643682505548158,1.7889711934060415e-09,0.022554182738521077,False,0.0
scgi_proxy,0.05,0.001,1,4,6.373299804213768e-05,1.0438357733249474e-05,6.37328890828255e-05,6.39157005934976e-05,0.9971415074909074,0.9570742470808197,0.564461461679308,0.021445351213380884,0.5442038003208816,-0.0011876931392141978,0.5644614583950482,3.2842597530446938e-09,0.022446763084959437,False,0.0
agc,0.05,0.001,1,5,5.6820208827036204e-05,-8.029728797774843e-06,5.682014435049163e-05,5.7258217566413805e-05,0.992350290351432,0.9544739642306378,0.5106461913426726,0.027520372179559115,0.49345120782500074,-0.010325329840375352,0.5106462501641845,5.882151188352225e-08,0.028146117917825512,False,0.0
scgi_proxy,0.05,0.001,1,5,5.676583061910221e-05,-8.643897497972227e-06,5.676575590213825e-05,5.7183711760444567e-05,0.9926923047057009,0.9543981564629906,0.5109683440703129,0.02754397748575858,0.49345120782500074,-0.010026890015879282,0.51096829529488,4.877543291481601e-08,0.028119181454826416,False,0.0
agc,0.05,0.001,1,6,6.034177177617335e-05,-2.467062150350325e-06,6.034176568977769e-05,6.072604810469784e-05,0.9936719687758709,0.957862923238894,0.5091185526472226,0.03159144644639515,0.4846212373521136,-0.007094283196220669,0.5091184006022881,1.5204493453158108e-07,0.03156447325948741,False,0.0
scgi_proxy,0.05,0.001,1,6,6.0210703633905184e-05,-3.306678530953387e-06,6.021069269978228e-05,6.059616498532705e-05,0.9936388490671777,0.9577365747153616,0.5093265364288359,0.03154252255219458,0.4846212373521136,-0.00683723630875957,0.5093265235955486,1.2833287210689548e-08,0.031495912182309564,False,0.0
agc,0.05,0.001,1,7,6.154353622020859e-05,1.1721511745919747e-05,6.154339882637098e-05,6.1817467212677e-05,0.9955687121323497,0.9565804998529549,0.5501767225990585,0.036227274320094024,0.526752882227022,-0.012803539584106096,0.5501766169630099,1.0563604857516395e-07,0.03705934194829117,False,0.0
scgi_proxy,0.05,0.001,1,7,6.15519764692445e-05,1.1404781563485766e-05,6.155184640020198e-05,6.18275735178031e-05,0.9955424896550527,0.9566273112198499,0.5500929631510473,0.03621685614152526,0.526752882227022,-0.012876750667755421,0.5500929877007918,2.4549744570556697e-08,0.03706442436789786,False,0.0
agc,0.05,0.001,1,8,5.632520205809265e-05,-3.0746668801874565e-06,5.6325192604516226e-05,5.666154174832627e-05,0.9940640568566322,0.9536443746001987,0.5303977648866025,0.03054888334886411,0.5043874577514778,-0.004538689954895434,0.5303976511454463,1.1374115616025193e-07,0.031797465428964826,False,0.0
scgi_proxy,0.05,0.001,1,8,5.622821315371776e-05,-3.979391907897719e-06,5.6228197318157816e-05,5.6571636378066614e-05,0.9939294097477794,0.9535544252902851,0.5304307473707407,0.03051942941968501,0.5043874577514778,-0.004476200857632586,0.5304306863135302,6.105721050975177e-08,0.03174271193991968,False,0.0
agc,0.05,0.001,1,9,5.8808830028252723e-05,-2.707345695722983e-06,5.8808822698532e-05,5.90058189118281e-05,0.9966615346213611,0.9540925277206782,0.5360392570012852,0.02756363737538534,0.5066149518944131,0.0018608475255482303,0.5360394367953467,1.7979406152779376e-07,0.026995847869143347,False,0.0
scgi_proxy,0.05,0.001,1,9,5.869515409887276e-05,-3.7744752287716533e-06,5.8695139852209504e-05,5.8886864280793816e-05,0.9967444321537158,0.9539929302552997,0.5362326327940306,0.0275569927856068,0.5066149518944131,0.0020608147383015542,0.5362327594183214,1.2662429083043492e-07,0.026943665601710878,False,0.0
agc,0.05,0.001,2,0,6.173874383151153e-05,-2.26074308859284e-05,6.173823273558025e-05,6.1028684285702184e-05,1.0116348493191374,0.9547247109815216,0.5100107074523962,0.0215762169531816,0.4923020115030484,-0.003867539544360905,0.5100106889118691,1.8540527113586336e-08,0.023831649881490845,False,0.0
scgi_proxy,0.05,0.001,2,0,6.180380949256253e-05,-2.3616692085943146e-05,6.180325174441744e-05,6.109663809183985e-05,1.011574636883615,0.9549229491035688,0.5100377088507431,0.021629561836062357,0.4923020115030484,-0.0038938987974954506,0.5100376745416153,3.430912776103412e-08,0.02385676574808034,False,0.0
agc,0.05,0.001,2,1,5.6961781932668604e-05,-3.0514391626292796e-05,5.6960850804572285e-05,5.697448432329111e-05,0.9997770512401581,0.9521591740980826,0.5154425351975243,0.019853609846596006,0.4980248860946312,-0.002435891328351825,0.5154426046128753,6.941535102278351e-08,0.02186844040040987,False,0.0
scgi_proxy,0.05,0.001,2,1,5.669707673684712e-05,-3.0701450153556144e-05,5.669613415780559e-05,5.6705008319113404e-05,0.9998601255426743,0.9519248910069275,0.5153762030847782,0.019736860951018616,0.4980248860946312,-0.0023855217989831763,0.5153762252466666,2.2161888435512367e-08,0.021766816300845298,False,0.0
agc,0.05,0.001,2,2,6.895713926457841e-05,7.677666339152842e-06,6.8957080318018e-05,6.822978320997208e-05,1.0106603893547184,0.9582319624976614,0.5078096627999356,0.028077601297529387,0.47856935164185194,0.0011626897307884779,0.5078096426701698,2.0129765743170935e-08,0.03036372545063377,False,0.0
scgi_proxy,0.05,0.001,2,2,6.900506549986707e-05,8.624948691388621e-06,6.900499111012713e-05,6.82915560901165e-05,1.010447988750015,0.9582833230463192,0.5078860867154753,0.028073859167157836,0.47856935164185194,0.0012428578211109184,0.5078860686301206,1.8085354658303743e-08,0.03038482869049707,False,0.0
agc,0.05,0.001,2,3,7.50810147326945e-05,4.163918606609515e-06,7.508099739447633e-05,7.373101107077673e-05,1.0183098487639326,0.9593946826651125,0.5421435332594102,0.029359476724593568,0.5095086583081527,0.003275531609288505,0.5421436666420348,1.3338262461193295e-07,0.03188151190806206,False,0.0
scgi_proxy,0.05,0.001,2,3,7.478221684219572e-05,5.300079318870936e-06,7.478218875135492e-05,7.346476195380092e-05,1.0179331539823582,0.9593413215603748,0.5426444034698579,0.029226721684068525,0.5095086583081527,0.003909159945211313,0.5426445399374326,1.3646757468510629e-07,0.03175463391449796,False,0.0
agc,0.05,0.001,2,4,6.898741908898919e-05,-7.314373268892268e-06,6.898736558893289e-05,6.842738366685808e-05,1.0081843757881739,0.9575971175147129,0.5647246837863348,0.021736715586051992,0.5442038003208816,-0.0012158678667025273,0.5647246480402309,3.574610385470578e-08,0.02429737027449287,False,0.0
scgi_proxy,0.05,0.001,2,4,6.870672396428163e-05,-8.206610243217905e-06,6.870665661582996e-05,6.819118425482884e-05,1.0075602105328783,0.9576670558632863,0.5651487935006101,0.02162874084871523,0.5442038003208816,-0.0006838072069419903,0.5651487339626549,5.9537955232613626e-08,0.024198509446398016,False,0.0
