sigma_a,rho,seed,object,rel_mse_raw
0.05,0.001,0,0,0.49230199552022835
0.05,0.001,0,1,0.4980248706155075
0.05,0.001,0,2,0.4785693292978046
0.05,0.001,0,3,0.509508659899902
0.05,0.001,0,4,0.5442037994261689
0.05,0.001,0,5,0.4934511934626488
0.05,0.001,0,6,0.4846212468168129
0.05,0.001,0,7,0.5267528672544246
0.05,0.001,0,8,0.5043874463043976
0.05,0.001,0,9,0.5066149624196861
0.05,0.001,1,0,0.4923020146219994
0.05,0.001,1,1,0.49802488388932264
0.05,0.001,1,2,0.4785693671799178
0.05,0.001,1,3,0.5095086770904296
0.05,0.001,1,4,0.5442037978702606
0.05,0.001,1,5,0.49345119559786055
0.05,0.001,1,6,0.4846212331760593
0.05,0.001,1,7,0.5267528731771535
0.05,0.001,1,8,0.5043874620838181
0.05,0.001,1,9,0.5066149462326603
0.05,0.001,2,0,0.4923020179997112
0.05,0.001,2,1,0.49802489227750435
0.05,0.001,2,2,0.47856935120527677
0.05,0.001,2,3,0.5095086422077065
0.05,0.001,2,4,0.5442038097049683
0.05,0.001,2,5,0.49345119839238577
0.05,0.001,2,6,0.484621232599415
0.05,0.001,2,7,0.526752889323891
0.05,0.001,2,8,0.5043874448308131
0.05,0.001,2,9,0.5066149378358494
0.05,0.001,3,0,0.49230201037883065
0.05,0.001,3,1,0.4980248842939647
0.05,0.001,3,2,0.4785693597830108
0.05,0.001,3,3,0.50950865648171
0.05,0.001,3,4,0.5442038032809828
0.05,0.001,3,5,0.49345119589738384
0.05,0.001,3,6,0.48462123367229976
0.05,0.001,3,7,0.5267528753158983
0.05,0.001,3,8,0.5043874532504646
0.05,0.001,3,9,0.5066149299248852
0.05,0.001,4,0,0.4923019982004789
0.05,0.001,4,1,0.4980248793455182
0.05,0.001,4,2,0.47856934735253315
0.05,0.001,4,3,0.5095086462211269
0.05,0.001,4,4,0.54420381423789
0.05,0.001,4,5,0.4934512138775646
0.05,0.001,4,6,0.4846212452004769
0.05,0.001,4,7,0.5267528694651425
0.05,0.001,4,8,0.5043874723596736
0.05,0.001,4,9,0.5066149430630128
0.05,0.003,0,0,0.4923020076321008
0.05,0.003,0,1,0.4980248865750196
0.05,0.003,0,2,0.47856936097305963
0.05,0.003,0,3,0.5095086380955919
0.05,0.003,0,4,0.5442038020632288
0.05,0.003,0,5,0.4934511913924514
0.05,0.003,0,6,0.4846212272670222
0.05,0.003,0,7,0.5267528983301899
0.05,0.003,0,8,0.5043874558810162
0.05,0.003,0,9,0.5066149698033784
0.05,0.003,1,0,0.4923020097869695
0.05,0.003,1,1,0.49802491475812555
0.05,0.003,1,2,0.47856933595881657
0.05,0.003,1,3,0.5095086771021954
0.05,0.003,1,4,0.5442037948579929
0.05,0.003,1,5,0.49345122594659
0.05,0.003,1,6,0.48462124292
0.05,0.003,1,7,0.5267528846528241
0.05,0.003,1,8,0.5043874655916017
0.05,0.003,1,9,0.5066149621325046
0.05,0.003,2,0,0.49230203634428027
0.05,0.003,2,1,0.4980249250046272
0.05,0.003,2,2,0.47856934022160913
0.05,0.003,2,3,0.5095086822132057
0.05,0.003,2,4,0.5442037942432257
0.05,0.003,2,5,0.4934512044918501
0.05,0.003,2,6,0.48462126638825
0.05,0.003,2,7,0.5267528455811652
0.05,0.003,2,8,0.5043874602644465
0.05,0.003,2,9,0.5066149900618931
0.05,0.003,3,0,0.4923020143731684
0.05,0.003,3,1,0.49802488966161
0.05,0.003,3,2,0.4785693468093409
0.05,0.003,3,3,0.5095086451674192
0.05,0.003,3,4,0.5442038036068243
0.05,0.003,3,5,0.49345120905806283
0.05,0.003,3,6,0.4846212320318307
0.05,0.003,3,7,0.526752865961382
0.05,0.003,3,8,0.5043874525460947
0.05,0.003,3,9,0.506614936320417
0.05,0.003,4,0,0.4923019907256033
0.05,0.003,4,1,0.4980248618987575
0.05,0.003,4,2,0.4785693287920346
0.05,0.003,4,3,0.509508659426574
0.05,0.003,4,4,0.5442037544100072
0.05,0.003,4,5,0.49345121846114975
0.05,0.003,4,6,0.4846212480612263
0.05,0.003,4,7,0.5267529051841998
0.05,0.003,4,8,0.5043874587874889
0.05,0.003,4,9,0.5066149296009735
0.05,0.01,0,0,0.4923020149674935
0.05,0.01,0,1,0.49802488274393975
0.05,0.01,0,2,0.4785693226039481
0.05,0.01,0,3,0.5095086955630757
0.05,0.01,0,4,0.5442037903773237
0.05,0.01,0,5,0.4934512003488523
0.05,0.01,0,6,0.4846212418200945
0.05,0.01,0,7,0.5267528945787529
0.05,0.01,0,8,0.5043874640625132
0.05,0.01,0,9,0.5066149395618085
0.05,0.01,1,0,0.49230202685746277
0.05,0.01,1,1,0.4980248789776512
0.05,0.01,1,2,0.47856932548791553
0.05,0.01,1,3,0.5095086329387767
0.05,0.01,1,4,0.5442038076585045
0.05,0.01,1,5,0.4934512219232029
0.05,0.01,1,6,0.484621231933003
0.05,0.01,1,7,0.5267528410613076
0.05,0.01,1,8,0.5043874719650703
0.05,0.01,1,9,0.506614968022429
0.05,0.01,2,0,0.4923020293150371
0.05,0.01,2,1,0.4980248490545833
0.05,0.01,2,2,0.47856934383153094
0.05,0.01,2,3,0.5095086544043798
0.05,0.01,2,4,0.5442038077348851
0.05,0.01,2,5,0.49345120683730426
0.05,0.01,2,6,0.48462121332005986
0.05,0.01,2,7,0.5267528628420391
0.05,0.01,2,8,0.5043874579010205
0.05,0.01,2,9,0.5066149156426785
0.05,0.01,3,0,0.4923020146891348
0.05,0.01,3,1,0.49802488692342944
0.05,0.01,3,2,0.47856935908028686
0.05,0.01,3,3,0.5095086563889433
0.05,0.01,3,4,0.5442038095738904
0.05,0.01,3,5,0.4934511927078794
0.05,0.01,3,6,0.48462123182306077
0.05,0.01,3,7,0.5267528437638882
0.05,0.01,3,8,0.5043874677726908
0.05,0.01,3,9,0.5066149443985544
0.05,0.01,4,0,0.49230199563465254
0.05,0.01,4,1,0.4980248885383966
0.05,0.01,4,2,0.4785693499874904
0.05,0.01,4,3,0.5095086247033471
0.05,0.01,4,4,0.5442037747116416
0.05,0.01,4,5,0.49345119501205753
0.05,0.01,4,6,0.4846212162389254
0.05,0.01,4,7,0.5267528849206414
0.05,0.01,4,8,0.5043874624994806
0.05,0.01,4,9,0.5066149524706097
0.05,0.03,0,0,0.49230201928900635
0.05,0.03,0,1,0.49802488322356586
0.05,0.03,0,2,0.47856933063254226
0.05,0.03,0,3,0.5095086692656943
0.05,0.03,0,4,0.5442038135465012
0.05,0.03,0,5,0.49345124699256426
0.05,0.03,0,6,0.4846212416188987
0.05,0.03,0,7,0.5267528870014492
0.05,0.03,0,8,0.5043874375730368
0.05,0.03,0,9,0.5066149568644404
0.05,0.03,1,0,0.492302004349727
0.05,0.03,1,1,0.4980248794576543
0.05,0.03,1,2,0.4785693501856373
0.05,0.03,1,3,0.5095086389921947
0.05,0.03,1,4,0.5442037969993339
0.05,0.03,1,5,0.49345121731750713
0.05,0.03,1,6,0.4846212558416111
0.05,0.03,1,7,0.5267528720084012
0.05,0.03,1,8,0.5043874663796241
0.05,0.03,1,9,0.5066149504411188
