estimator,sigma_a,rho,seed,object,S1_true,S1_hat,gamma,gamma_minus_1_sq,min_pair_sum,n_denominator_clipped,delta_mean,delta_second_moment,rel_mse_raw,rel_mse_aligned,coefficient_risk_raw,risk_f7_component,risk_gauge_component,risk_normalization_increment_cross,risk_decomposition_sum,risk_decomposition_abs_error,coefficient_identity_max_abs_over_S1
true_s1,0.05,0.001,0,0,148.97826256789267,148.97826256789267,1.0,0.0,140.57142639160156,0,4.556414662050046e-05,4.973797532022498e-06,0.0003166996398087565,0.0003164979770414316,0.00031669850777888477,0.00031669858014215304,0.0,0.0,0.00031669858014215304,7.236326826382672e-11,1.4725788049412387e-07
median_pair_sum,0.05,0.001,0,0,148.97826256789267,148.21746826171875,0.9948932529279081,2.6078865658319302e-05,140.57142639160156,0,4.556414662050046e-05,4.973797532022498e-06,0.00033820526892289443,0.00031649808386987997,0.0003382051338193714,0.00031347224018812554,2.6078865658319302e-05,-1.3465345122972537e-06,0.00033820457133414757,5.624852237967069e-10,1.9454426639509742e-07
true_s1,0.05,0.001,0,1,144.4302321523428,144.4302321523428,1.0,0.0,136.28228759765625,0,4.556414662050046e-05,4.973797532022498e-06,0.00031560627589657925,0.00031548560551715677,0.0003156080429289596,0.0003156079833657439,0.0,0.0,0.0003156079833657439,5.956321568779954e-11,6.798727277782734e-08
median_pair_sum,0.05,0.001,0,1,144.4302321523428,143.6915283203125,0.9948853933070527,2.615920162354108e-05,136.28228759765625,0,4.556414662050046e-05,4.973797532022498e-06,0.00033822382876658614,0.00031548851322002805,0.00033822195224434505,0.00031238781801047475,2.615920162354108e-05,-3.2492390047527314e-07,0.00033822209573354056,1.4348919550648405e-10,5.921871339356654e-08
true_s1,0.05,0.001,0,2,145.70348731148988,145.70348731148988,1.0,0.0,137.48198699951172,0,4.556414662050046e-05,4.973797532022498e-06,0.0003628491177341847,0.0003626491280754962,0.00036284900074235024,0.000362848152644958,0.0,0.0,0.000362848152644958,8.480973922274371e-10,2.0987947536215963e-07
median_pair_sum,0.05,0.001,0,2,145.70348731148988,144.96100616455078,0.9949041635129034,2.5967549503224506e-05,137.48198699951172,0,4.556414662050046e-05,4.973797532022498e-06,0.00038427134998964327,0.0003626481727120382,0.0003842719224953563,0.00035915954521127647,2.5967549503224506e-05,-8.554258469881774e-07,0.0003842716688675128,2.536278435033018e-10,1.298209745531073e-07
true_s1,0.05,0.001,0,3,165.0899476800114,165.0899476800114,1.0,0.0,155.77349853515625,0,4.556414662050046e-05,4.973797532022498e-06,0.00034888480936259386,0.00034811143081559193,0.0003488847328565615,0.00034888458067670446,0.0,0.0,0.00034888458067670446,1.521798570405103e-10,9.260342513559346e-08
median_pair_sum,0.05,0.001,0,3,165.0899476800114,164.24728393554688,0.9948957295322558,2.605357700788558e-05,155.77349853515625,0,4.556414662050046e-05,4.973797532022498e-06,0.00036599143517367897,0.0003481108832913917,0.00036599183085515624,0.00034533206784439515,2.605357700788558e-05,-5.393659044412732e-06,0.00036599198580786804,1.5495271175466684e-10,7.476564870527034e-08
true_s1,0.05,0.001,0,4,92.1666671433486,92.1666671433486,1.0,0.0,86.96718978881836,0,4.556414662050046e-05,4.973797532022498e-06,0.000289365923601906,0.0002893531891438516,0.00028936567821176727,0.00028936598073295994,0.0,-0.0,0.00028936598073295994,3.025211926669172e-10,5.352772292204129e-08
median_pair_sum,0.05,0.001,0,4,92.1666671433486,91.69527053833008,0.994885389483756,2.6159240732873267e-05,86.96718978881836,0,4.556414662050046e-05,4.973797532022498e-06,0.00031436846779275623,0.0002893525424781021,0.0003143695998844674,0.0002864135617511098,2.6159240732873267e-05,1.796676102821249e-06,0.00031436947858680425,1.212976631091365e-10,5.2155910612742104e-08
true_s1,0.05,0.001,0,5,197.74866265058517,197.74866265058517,1.0,0.0,186.5925064086914,0,4.556414662050046e-05,4.973797532022498e-06,0.00040897460549832866,0.00040836184160517427,0.00040897691695026704,0.0004089769745592008,0.0,0.0,0.0004089769745592008,5.760893373668932e-11,1.5462348007692366e-07
median_pair_sum,0.05,0.001,0,5,197.74866265058517,196.7358627319336,0.994878347569707,2.6231323616726763e-05,186.5925064086914,0,4.556414662050046e-05,4.973797532022498e-06,0.000427212840742921,0.0004083620568251113,0.0004272148672632675,0.0004047984267352022,2.6231323616726763e-05,-3.814925286823764e-06,0.0004272148250651052,4.219816229148447e-11,8.796189203565348e-08
true_s1,0.05,0.001,0,6,217.80729159526527,217.80729159526527,1.0,0.0,205.5208511352539,0,4.556414662050046e-05,4.973797532022498e-06,0.0004309499783855734,0.0004304046207227294,0.00043094850030177295,0.0004309488117404696,0.0,0.0,0.0004309488117404696,3.114386966634325e-10,7.027679777676912e-08
median_pair_sum,0.05,0.001,0,6,217.80729159526527,216.6950225830078,0.9948933343594194,2.6078033964686458e-05,205.5208511352539,0,4.556414662050046e-05,4.973797532022498e-06,0.0004495092550708428,0.00043040519880485075,0.000449507422284858,0.000426558627058691,2.6078033964686458e-05,-3.129003747432513e-06,0.0004495076572759449,2.3499108695300983e-10,9.3476935867949e-08
true_s1,0.05,0.001,0,7,229.46783746033907,229.46783746033907,1.0,0.0,216.5205841064453,0,4.556414662050046e-05,4.973797532022498e-06,0.0004961655628192078,0.0004959120595789507,0.0004961655115634681,0.000496165633664675,0.0,0.0,0.000496165633664675,1.2210120685796771e-10,8.8925074559758e-08
median_pair_sum,0.05,0.001,0,7,229.46783746033907,228.29568481445312,0.994891865200549,2.6093041129362793e-05,216.5205841064453,0,4.556414662050046e-05,4.973797532022498e-06,0.0005171253199467055,0.0004959103721572692,0.0005171272804316177,0.0004911096182557328,2.6093041129362793e-05,-7.548114159769491e-08,0.0005171271782434979,1.0218811980533621e-10,8.017823871256876e-08
true_s1,0.05,0.001,0,8,208.90131407044828,208.90131407044828,1.0,0.0,197.11516571044922,0,4.556414662050046e-05,4.973797532022498e-06,0.00046569615986932994,0.00046559477247371396,0.00046569575805423057,0.00046569626877254224,0.0,-0.0,0.00046569626877254224,5.107183116627619e-10,1.4891307727353539e-07
median_pair_sum,0.05,0.001,0,8,208.90131407044828,207.83432006835938,0.9948923538042989,2.608804966046036e-05,197.11516571044922,0,4.556414662050046e-05,4.973797532022498e-06,0.000488536451581731,0.000465594960436992,0.0004885346106319734,0.0004609511943288321,2.608804966046036e-05,1.4963522012913125e-06,0.0004885355961905838,9.855586103835796e-10,1.5570527716891513e-07
true_s1,0.05,0.001,0,9,157.6987950624898,157.6987950624898,1.0,0.0,148.79987335205078,0,4.556414662050046e-05,4.973797532022498e-06,0.0003779072464065753,0.000377878943653617,0.00037790736828471357,0.0003779070197054564,0.0,-0.0,0.0003779070197054564,3.4857925714729815e-10,9.703966784759815e-08
median_pair_sum,0.05,0.001,0,9,157.6987950624898,156.89588165283203,0.9949085634462862,2.5922726180493074e-05,148.79987335205078,0,4.556414662050046e-05,4.973797532022498e-06,0.00040211630736792164,0.0003778787433925539,0.00040211623572355433,0.00037406863685758313,2.5922726180493074e-05,2.1246579095801907e-06,0.0004021160209476564,2.1477589793616979e-10,7.061686785652587e-08
true_s1,0.05,0.001,1,0,148.97826256789267,148.97826256789267,1.0,0.0,142.49100494384766,0,9.553571867877556e-05,5.169148735972327e-06,0.0003287343484033538,0.000328623494236912,0.00032873396871336224,0.0003287336951574406,0.0,-0.0,0.0003287336951574406,2.7355592162152387e-10,1.0268023123548212e-07
median_pair_sum,0.05,0.001,1,0,148.97826256789267,148.86896514892578,0.9992663532445407,5.382375617959329e-07,142.49100494384766,0,9.553571867877556e-05,5.169148735972327e-06,0.00032975959288121336,0.00032862279634873125,0.0003297600916844064,0.00032825152327653836,5.382375617959329e-07,9.699399537587738e-07,0.0003297597007920931,3.9089231332132396e-10,1.1127556654367187e-07
true_s1,0.05,0.001,1,1,144.4302321523428,144.4302321523428,1.0,0.0,138.14759063720703,0,9.553571867877556e-05,5.169148735972327e-06,0.0003271054536298885,0.0003270726192690442,0.000327106807770415,0.0003271062587120338,0.0,-0.0,0.0003271062587120338,5.490583811717208e-10,6.082204383125502e-08
median_pair_sum,0.05,0.001,1,1,144.4302321523428,144.31817626953125,0.9992241521657782,6.01939861866656e-07,138.14759063720703,0,9.553571867877556e-05,5.169148735972327e-06,0.0003274268544022557,0.0003270731744538792,0.00032742750859905104,0.00032659888624556575,6.01939861866656e-07,2.261279250794299e-07,0.0003274269540325118,5.545665392022033e-10,5.716904688384663e-08
true_s1,0.05,0.001,1,2,145.70348731148988,145.70348731148988,1.0,0.0,139.3614730834961,0,9.553571867877556e-05,5.169148735972327e-06,0.00037648880673955723,0.0003763646324875296,0.0003764873882858463,0.00037648762750505107,0.0,-0.0,0.00037648762750505107,2.3921920477495973e-10,2.1023528185014089e-07
median_pair_sum,0.05,0.001,1,2,145.70348731148988,145.58879852294922,0.9992128617464352,6.195866302250446e-07,139.3614730834961,0,9.553571867877556e-05,5.169148735972327e-06,0.00037655365063795845,0.00037636460541335656,0.00037655218654340556,0.00037589516514454534,6.195866302250446e-07,3.788446629407322e-08,0.0003765526362410645,4.496976589045276e-10,2.356904357404836e-07
true_s1,0.05,0.001,1,3,165.0899476800114,165.0899476800114,1.0,0.0,157.88886260986328,0,9.553571867877556e-05,5.169148735972327e-06,0.0003617070335081898,0.0003614726367828699,0.0003617070877412406,0.00036170696254943333,0.0,-0.0,0.00036170696254943333,1.251918072789522e-10,9.274944460428401e-08
median_pair_sum,0.05,0.001,1,3,165.0899476800114,164.95954132080078,0.9992100890390773,6.239593261858787e-07,157.88886260986328,0,9.553571867877556e-05,5.169148735972327e-06,0.0003630955967748122,0.00036147349116510995,0.00036309489595170687,0.00036113575565114626,6.239593261858787e-07,1.3349234398442129e-06,0.00036309463841717633,2.575345305193186e-10,7.023644814498522e-08
true_s1,0.05,0.001,1,4,92.1666671433486,92.1666671433486,1.0,0.0,88.14874649047852,0,9.553571867877556e-05,5.169148735972327e-06,0.0002999802762352432,0.00029991481383472116,0.00029997984846450733,0.0002999800373283126,0.0,-0.0,0.0002999800373283126,1.888638052915427e-10,6.532156869836891e-08
median_pair_sum,0.05,0.001,1,4,92.1666671433486,92.09667587280273,0.9992406010468295,5.766867700763809e-07,88.14874649047852,0,9.553571867877556e-05,5.169148735972327e-06,0.0003001670479220865,0.00029991350123901705,0.00030016792976757023,0.0002995246012701932,5.766867700763809e-07,6.694247840484602e-08,0.0003001682305186744,3.007511042076781e-10,7.426969514946524e-08
true_s1,0.05,0.001,1,5,197.74866265058517,197.74866265058517,1.0,0.0,189.14835357666016,0,9.553571867877556e-05,5.169148735972327e-06,0.00042422333760884696,0.0004239706353054354,0.0004242228671466715,0.00042422342834964985,0.0,0.0,0.00042422342834964985,5.612029783485899e-10,1.5487062686594164e-07
