object,S1,S2,K_eff,D_H,C0_pipeline,dgi_clean_rel_mse,pairwise_clean_rel_mse
0,148.97826256789267,86.57478947689083,256.3624220382574,0.9938941713593432,623.9756088745963,0.304675590270799,9.048101077534197e-13
1,144.4302321523428,81.6688069172608,255.423003555239,0.9933670712969365,678.4981034370419,0.3312979020688681,7.984089569814229e-13
2,145.70348731148988,72.36002499172308,293.3872150701694,0.9943415919891183,700.8071903396323,0.34219101090802356,9.927811661364823e-13
3,165.0899476800114,96.54074749317274,282.3128216084749,0.9940340359339408,715.1718238053052,0.34920499209243416,9.921828623695506e-13
4,92.1666671433486,36.24397850040019,234.3753330561936,0.9926454313445154,666.7398283222506,0.3255565567979739,6.010661174580836e-13
5,197.74866265058517,118.29691972669698,330.56256807395056,0.9950728707237485,684.3967842440676,0.3341781173066736,8.071355643265434e-13
6,217.80729159526527,136.30954296353036,348.0315115190247,0.9954140434096559,653.7288366394962,0.319203533515379,1.006741994322538e-12
7,229.46783746033907,131.4302197441881,400.63456129961344,0.996056931619573,690.875095528341,0.33734135523844777,8.92705597359354e-13
8,208.90131407044828,116.00662047090658,376.18334921931915,0.9957863979305132,660.9200369612627,0.32271486179749154,8.312333131096915e-13
9,157.6987950624898,81.37588944899944,305.6053842550895,0.9946133439649953,654.7095152339359,0.31968238048532027,7.736994100202632e-13
