arm,sigma_a,rho,object,rel_mse,psnr,gain_rel_mse,n
hadamard_paired+pairwise,0.05,0.001,0,0.0003261659547053453,45.59626756064303,,5
hadamard_paired+pairwise,0.05,0.001,1,0.00032474044477973855,45.868577838289994,,5
hadamard_paired+pairwise,0.05,0.001,2,0.00037347926454819256,45.786884713498594,,5
hadamard_paired+pairwise,0.05,0.001,3,0.0003588673795486589,44.70807957825744,,5
hadamard_paired+pairwise,0.05,0.001,4,0.0002977799377523761,49.77326495149304,,5
hadamard_paired+pairwise,0.05,0.001,5,0.00042088225206605886,43.133206119872185,,5
hadamard_paired+pairwise,0.05,0.001,6,0.00044308536943636677,42.294347468680144,,5
hadamard_paired+pairwise,0.05,0.001,7,0.0005102267089845854,41.839942461134925,,5
hadamard_paired+pairwise,0.05,0.001,8,0.00047933584449718556,42.653261011831944,,5
hadamard_paired+pairwise,0.05,0.001,9,0.0003889806009629329,45.10025282223445,,5
hadamard_paired+pairwise,0.05,0.002,0,0.0006518801882115177,42.58897410121414,,5
hadamard_paired+pairwise,0.05,0.002,1,0.0006490732437144187,42.86099118148003,,5
hadamard_paired+pairwise,0.05,0.002,2,0.00074630326732816,42.78039142371378,,5
hadamard_paired+pairwise,0.05,0.002,3,0.00071724904985197,41.70075039270208,,5
hadamard_paired+pairwise,0.05,0.002,4,0.000595073117789446,46.76651343555761,,5
hadamard_paired+pairwise,0.05,0.002,5,0.0008409976764324975,40.12687011397985,,5
hadamard_paired+pairwise,0.05,0.002,6,0.0008853967224406938,39.28784173921409,,5
hadamard_paired+pairwise,0.05,0.002,7,0.0010193061171473994,38.83453593866058,,5
hadamard_paired+pairwise,0.05,0.002,8,0.0009578716494520551,39.646545192397625,,5
hadamard_paired+pairwise,0.05,0.002,9,0.0007773037712441013,42.093608303033086,,5
hadamard_paired+pairwise,0.05,0.00298499,0,0.0009721381349436353,40.85336341724029,,5
hadamard_paired+pairwise,0.05,0.00298499,1,0.0009680016272618133,41.12514973903122,,5
hadamard_paired+pairwise,0.05,0.00298499,2,0.0011127870277488554,41.04541302199521,,5
hadamard_paired+pairwise,0.05,0.00298499,3,0.0010696312279043075,39.965125172736784,,5
hadamard_paired+pairwise,0.05,0.00298499,4,0.0008873462164016348,45.03127572867474,,5
hadamard_paired+pairwise,0.05,0.00298499,5,0.0012539359284500903,38.392061388088905,,5
hadamard_paired+pairwise,0.05,0.00298499,6,0.0013201587760471784,37.552951794844105,,5
hadamard_paired+pairwise,0.05,0.00298499,7,0.0015195149335151255,37.100530522625796,,5
hadamard_paired+pairwise,0.05,0.00298499,8,0.0014282595610381782,37.91150926978652,,5
hadamard_paired+pairwise,0.05,0.00298499,9,0.0011590348694748727,40.35853076823594,,5
hadamard_paired+pairwise,0.05,0.003,0,0.0009770154848666353,40.83162875605249,,5
hadamard_paired+pairwise,0.05,0.003,1,0.0009728574091456603,41.103418562870935,,5
hadamard_paired+pairwise,0.05,0.003,2,0.0011183655411891632,41.023695638522106,,5
hadamard_paired+pairwise,0.05,0.003,3,0.0010749968391888514,39.94339417641594,,5
