sigma_a,object,rho,rel_mse,K_eff,D_H,pred_rel_mse,ratio_measured_over_pred
0.05,0,0.001,0.0003261659547053453,256.3624220382574,0.9938941713593432,0.0003183372011455531,1.024592644314331
0.05,0,0.002,0.0006518801882115177,256.3624220382574,0.9938941713593432,0.0006363562242055336,1.0243950847268999
0.05,0,0.00298499,0.0009721381349436353,256.3624220382574,0.9938941713593432,0.0009492910409209552,1.0240675335990899
0.05,0,0.003,0.0009770154848666353,256.3624220382574,0.9938941713593432,0.0009540573871989662,1.0240636443632307
0.05,0,0.00445509,0.0014490465807696607,256.3624220382574,0.9938941713593432,0.0014157740679620373,1.0235012870771945
0.05,0,0.0066492,0.002158579704556727,256.3624220382574,0.9938941713593432,0.0021107211579747508,1.0226740260792653
0.05,0,0.0099239,0.0032131939229929603,256.3624220382574,0.9938941713593432,0.00314509477228485,1.0216524955967028
0.05,0,0.01,0.0032376427027937743,256.3624220382574,0.9938941713593432,0.003169092093219475,1.0216309932175744
0.05,0,0.0148114,0.004778702332153516,256.3624220382574,0.9938941713593432,0.004682613885400162,1.0205202583653004
0.05,0,0.0221059,0.007097275749905559,256.3624220382574,0.9938941713593432,0.006963399811242802,1.0192256573357465
0.05,0,0.03,0.009581639756870774,256.3624220382574,0.9938941713593432,0.009412991058607935,1.0179165896592044
0.05,0,0.032993,0.010516591957712196,256.3624220382574,0.9938941713593432,0.010336694678402873,1.0174037528345685
0.05,0,0.0492418,0.015523155327755247,256.3624220382574,0.9938941713593432,0.015303458781358588,1.014356006020304
0.05,0,0.0734932,0.022774031565531094,256.3624220382574,0.9938941713593432,0.022567869884366282,1.0091351856520419
0.05,0,0.1,0.03039858889314386,256.3624220382574,0.9938941713593432,0.03030893941569842,1.0029578559716612
0.05,0,0.109688,0.03310874681743997,256.3624220382574,0.9938941713593432,0.033087418811858206,1.0006445956302314
0.05,0,0.163709,0.047502506273721073,256.3624220382574,0.9938941713593432,0.04809644600111041,0.9876510682852612
0.05,0,0.244335,0.06689483140454273,256.3624220382574,0.9938941713593432,0.06904198946144334,0.9689006925546418
0.05,0,0.3,0.07897977556677338,256.3624220382574,0.9938941713593432,0.08254846269281695,0.9567685816352084
0.05,0,0.36467,0.09183542202181308,256.3624220382574,0.9938941713593432,0.09732428991035202,0.9436022816750589
0.05,0,0.544268,0.12191494801200771,256.3624220382574,0.9938941713593432,0.13368364443839928,0.9119660712734794
0.05,0,0.812317,0.15513387493233846,256.3624220382574,0.9938941713593432,0.1771386110491505,0.8757767378524471
0.05,0,1.0,0.17242207002966028,256.3624220382574,0.9938941713593432,0.20132811999775127,0.856423186346677
0.05,0,1.21238,0.18772601034490757,256.3624220382574,0.9938941713593432,0.22374740854892042,0.8390086462336073
0.05,0,1.80947,0.2150403193559348,256.3624220382574,0.9938941713593432,0.26634551082121116,0.8073735453355704
0.05,0,2.70063,0.23345878645421442,256.3624220382574,0.9938941713593432,0.29710516337956805,0.7857782873869414
0.05,0,3.0,0.2366665136294261,256.3624220382574,0.9938941713593432,0.3026393944180115,0.7820082844288857
0.05,0,4.03068,0.24249845148511834,256.3624220382574,0.9938941713593432,0.31283918445008974,0.7751537004911431
0.05,0,6.01577,0.2452530428061706,256.3624220382574,0.9938941713593432,0.31771927498370794,0.771917419296474
0.05,0,8.9785,0.2456670609176578,256.3624220382574,0.9938941713593432,0.3184562364764858,0.7714311505901295
0.05,0,10.0,0.2456814829904232,256.3624220382574,0.9938941713593432,0.3184819365602147,0.7714141833094912
0.05,0,13.4004,0.24568935458404026,256.3624220382574,0.9938941713593432,0.31849591389928417,0.7714050443414259
0.05,0,20.0,0.24568959333788287,256.3624220382574,0.9938941713593432,0.31849639561776516,0.7714046272371026
0.1,0,0.001,0.0013037499278223607,256.3624220382574,0.9938941713593432,0.0012733488045822124,1.0238749375903509
0.1,0,0.002,0.0026034531034242864,256.3624220382574,0.9938941713593432,0.0025454248968221345,1.0227970609836488
