basis,correction,rho,sigma_a,seed,object,local_rel_mse,grid_rel_mse,ratio
hadamard_paired,pairwise,0.01,0.1,0,0,0.012453729816986203,0.0124537294124237,1.0000000324852492
random_uniform,agc,0.01,0.1,0,0,0.5218064521480983,0.5218064178403548,1.000000065748029
random_uniform,scgi_proxy,0.01,0.1,0,0,0.5214129650430357,0.5214127329346023,1.000000445152983
hadamard_paired,pairwise,0.01,0.1,0,5,0.015962671721946296,0.0159626753768459,0.9999997710346469
random_uniform,agc,0.01,0.1,0,5,0.6020339591840589,0.6020339534864545,1.0000000094639254
random_uniform,scgi_proxy,0.01,0.1,0,5,0.6024241269215095,0.6024241575363435,0.9999999491806004
hadamard_paired,pairwise,0.01,0.1,1,0,0.013038765886850946,0.013038773061411,0.9999994497519038
random_uniform,agc,0.01,0.1,1,0,0.5237961349564895,0.5237963179249544,0.9999996506877603
random_uniform,scgi_proxy,0.01,0.1,1,0,0.5227071639229826,0.5227073806111514,0.9999995854503363
hadamard_paired,pairwise,0.01,0.1,1,5,0.01663125552460912,0.0166312482804009,1.0000004355781416
random_uniform,agc,0.01,0.1,1,5,0.60015714734062,0.6001571542988872,0.9999999884059247
random_uniform,scgi_proxy,0.01,0.1,1,5,0.6009021579902886,0.6009020434851191,1.000000190555467
hadamard_paired,pairwise,0.01,0.3,0,0,0.1016234201498096,0.1016234003775079,1.0000001945644568
random_uniform,agc,0.01,0.3,0,0,0.8670442367858555,0.867044221991024,1.000000017063526
random_uniform,scgi_proxy,0.01,0.3,0,0,0.8642777643600447,0.8642778568121336,0.9999998930296683
hadamard_paired,pairwise,0.01,0.3,0,5,0.1262789461143732,0.1262789485999533,0.9999999803167501
random_uniform,agc,0.01,0.3,0,5,0.9053847844402081,0.9053847903186228,0.9999999935072746
random_uniform,scgi_proxy,0.01,0.3,0,5,0.9055731459514538,0.9055732766513728,0.9999998556716255
hadamard_paired,pairwise,0.01,0.3,1,0,0.1078815026219952,0.1078815145059894,0.9999998898421638
random_uniform,agc,0.01,0.3,1,0,0.8689981006435635,0.8689980562654352,1.000000051068156
random_uniform,scgi_proxy,0.01,0.3,1,0,0.865983740827913,0.8659837032473064,1.0000000433964362
hadamard_paired,pairwise,0.01,0.3,1,5,0.13186169688781574,0.1318616757895389,1.0000001600030997
random_uniform,agc,0.01,0.3,1,5,0.908454831528993,0.908454842728785,0.9999999876716029
random_uniform,scgi_proxy,0.01,0.3,1,5,0.9108332887274042,0.9108334563959268,0.9999998159174749
hadamard_paired,pairwise,1.0,0.1,0,0,0.4353643267791355,0.4353643405511513,0.9999999683666885
random_uniform,agc,1.0,0.1,0,0,0.8006941330084303,0.8006941647478533,0.9999999603601171
random_uniform,scgi_proxy,1.0,0.1,0,0,0.8002243217472919,0.8002243185264151,1.0000000040249675
hadamard_paired,pairwise,1.0,0.1,0,5,0.5101693758954748,0.5101693250646728,1.0000000996351595
random_uniform,agc,1.0,0.1,0,5,0.8528438866275438,0.8528438526709107,1.0000000398157682
random_uniform,scgi_proxy,1.0,0.1,0,5,0.8529246878387274,0.8529247348188866,0.9999999449187515
hadamard_paired,pairwise,1.0,0.1,1,0,0.4678598714526503,0.4678599000441011,0.9999999388888622
random_uniform,agc,1.0,0.1,1,0,0.78621360615315,0.7862136141305168,0.9999999898534359
random_uniform,scgi_proxy,1.0,0.1,1,0,0.78612465383037,0.7861244078388635,1.000000312916765
hadamard_paired,pairwise,1.0,0.1,1,5,0.5110161295455928,0.5110161324128347,0.9999999943891362
random_uniform,agc,1.0,0.1,1,5,0.8441179931401241,0.8441179933597737,0.9999999997397881
random_uniform,scgi_proxy,1.0,0.1,1,5,0.8443511382974722,0.8443509528442079,1.0000002196400248
hadamard_paired,pairwise,1.0,0.3,0,0,0.862812791474787,0.8628127858275212,1.0000000065451808
random_uniform,agc,1.0,0.3,0,0,0.9660244159727488,0.966024425540602,0.9999999900956406
random_uniform,scgi_proxy,1.0,0.3,0,0,0.9655161952684741,0.9655161800334336,1.0000000157791664
hadamard_paired,pairwise,1.0,0.3,0,5,0.9018658339823755,0.9018658205700156,1.000000014871791
random_uniform,agc,1.0,0.3,0,5,0.9793979625513957,0.979397963693348,0.9999999988340262
random_uniform,scgi_proxy,1.0,0.3,0,5,0.979444088224512,0.9794440834571684,1.0000000048673974
hadamard_paired,pairwise,1.0,0.3,1,0,0.8998729830645006,0.899872980642956,1.000000002690985
random_uniform,agc,1.0,0.3,1,0,0.9692885390121831,0.9692885250508472,1.0000000144036947
random_uniform,scgi_proxy,1.0,0.3,1,0,0.9688886358568791,0.9688886674376198,0.9999999674051914
hadamard_paired,pairwise,1.0,0.3,1,5,0.8997089670468305,0.899708960126535,1.0000000076917044
random_uniform,agc,1.0,0.3,1,5,0.9786812544300905,0.9786812487519384,1.0000000058018401
random_uniform,scgi_proxy,1.0,0.3,1,5,0.9786986199870858,0.978698642802104,0.9999999766884134
