scope,rho,sigma_a,winner_basis,winner_correction,above_floor,above_floor_candidates,best_sub_floor,winner_psnr,winner_rel_mse
all_non_oracle,0.001,0.05,srht_paired,reference_k2,True,60,,47.676869495304906,0.000196543579628936
all_non_oracle,0.001,0.1,srht_paired,reference_k2,True,59,,41.661177390928636,0.0007852496560850961
all_non_oracle,0.001,0.15,srht_paired,reference_k2,True,58,,38.14593347439858,0.001764035608128014
all_non_oracle,0.001,0.3,srht_paired,reference_k2,True,56,,32.15498514968515,0.007006508221950424
all_non_oracle,0.001,0.5,srht_paired,reference_k2,True,53,,27.780190506778617,0.019177436942937186
all_non_oracle,0.003,0.05,srht_paired,reference_k2,True,59,,42.90914941517629,0.000589138068610654
all_non_oracle,0.003,0.1,srht_paired,reference_k2,True,58,,36.90021375584675,0.0023499951183745017
all_non_oracle,0.003,0.15,srht_paired,reference_k2,True,56,,33.39502029939674,0.005266589749872366
all_non_oracle,0.003,0.3,srht_paired,reference_k2,True,53,,27.45341319591205,0.02067507857671091
all_non_oracle,0.003,0.5,srht_paired,reference_k2,True,51,,23.185916005981962,0.05517399917247369
all_non_oracle,0.01,0.05,srht_paired,reference_k2,True,59,,37.69000449820621,0.001959289062383114
all_non_oracle,0.01,0.1,srht_paired,reference_k2,True,56,,31.701888687261523,0.007776801335356028
all_non_oracle,0.01,0.15,srht_paired,reference_k2,True,53,,28.228722358051396,0.01729689366229058
all_non_oracle,0.01,0.3,srht_paired,reference_k2,True,51,,22.444838947230874,0.06542093326347138
all_non_oracle,0.01,0.5,srht_paired,reference_k2,True,44,,18.50189520757169,0.16178320280334454
all_non_oracle,0.03,0.05,srht_paired,reference_k2,True,57,,32.942484618339535,0.005844948037951596
all_non_oracle,0.03,0.1,srht_paired,reference_k2,True,52,,27.00877087802953,0.02290275253444014
all_non_oracle,0.03,0.15,srht_paired,reference_k2,True,51,,23.619675300893604,0.04993825906004197
all_non_oracle,0.03,0.3,srht_paired,reference_k2,True,44,,18.226311447482857,0.1723410020406412
all_non_oracle,0.03,0.5,srht_paired,reference_k2,True,6,,14.962143626084746,0.3640336099156052
all_non_oracle,0.1,0.05,srht_paired,reference_k2,True,56,,27.792681103621227,0.019123701417738285
all_non_oracle,0.1,0.1,srht_paired,reference_k2,True,51,,22.031907428658595,0.07193757217468251
all_non_oracle,0.1,0.15,srht_paired,reference_k2,True,48,,18.897415505954076,0.1477567906260023
all_non_oracle,0.1,0.3,srht_paired,reference_k2,True,6,,14.484646747330322,0.4060633733825237
all_non_oracle,0.1,0.5,noise_floor,noise_floor,False,0,srht_paired+reference_k2,12.405526598553967,0.6533710459623603
all_non_oracle,0.3,0.05,srht_paired,reference_k2,True,54,,23.278432347308176,0.05402428711090672
all_non_oracle,0.3,0.1,srht_paired,reference_k2,True,46,,17.930903019464385,0.18444697878913785
all_non_oracle,0.3,0.15,srht_paired,reference_k2,True,33,,15.32118532538659,0.3353414143920886
all_non_oracle,0.3,0.3,noise_floor,noise_floor,False,0,srht_paired+reference_k2,12.321113099665672,0.6661020370484746
all_non_oracle,0.3,0.5,noise_floor,noise_floor,False,0,srht_paired+reference_k2,11.26217311601586,0.8489567405946609
all_non_oracle,1.0,0.05,srht_paired,reference_k2,True,54,,19.163355067879458,0.139073843705461
all_non_oracle,1.0,0.1,srht_paired,reference_k2,True,24,,14.67584039223757,0.3887819680156214
all_non_oracle,1.0,0.15,noise_floor,noise_floor,False,0,srht_paired+reference_k2,12.878376193917958,0.5864163662615364
all_non_oracle,1.0,0.3,noise_floor,noise_floor,False,0,srht_paired+reference_k2,11.250574296900881,0.8512116914244515
all_non_oracle,1.0,0.5,noise_floor,noise_floor,False,0,srht_paired+reference_k2,10.794904091337589,0.9450512924657596
all_non_oracle,3.0,0.05,srht_paired,reference_k2,True,51,,17.303541666093114,0.21307056923915593
all_non_oracle,3.0,0.1,noise_floor,noise_floor,False,0,srht_paired+reference_k2,13.442136602868281,0.5155541669194431
all_non_oracle,3.0,0.15,noise_floor,noise_floor,False,0,srht_paired+reference_k2,12.079437242915233,0.704060073743426
all_non_oracle,3.0,0.3,noise_floor,noise_floor,False,0,srht_paired+reference_k2,10.969660729760783,0.9078963381182175
all_non_oracle,3.0,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.693751609509018,0.9672572848170019
all_non_oracle,10.0,0.05,srht_paired,reference_k2,True,51,,17.075580034975303,0.22449911649277926
all_non_oracle,10.0,0.1,noise_floor,noise_floor,False,0,srht_paired+reference_k2,13.30266161670222,0.5322667850145326
all_non_oracle,10.0,0.15,noise_floor,noise_floor,False,0,srht_paired+reference_k2,11.99381463151581,0.7179999572964252
all_non_oracle,10.0,0.3,noise_floor,noise_floor,False,0,srht_paired+reference_k2,10.941299656415554,0.9138292539548922
all_non_oracle,10.0,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,10.686609470287927,0.9688462313741492
equal_frame_non_oracle,0.001,0.05,srht_paired,pairwise,True,33,,44.68678231032312,0.000391343266655292
equal_frame_non_oracle,0.001,0.1,srht_paired,pairwise,True,32,,38.673864886840136,0.0015625566709143801
equal_frame_non_oracle,0.001,0.15,srht_paired,pairwise,True,31,,35.163092740867164,0.003506628759895356
equal_frame_non_oracle,0.001,0.3,srht_paired,pairwise,True,29,,29.195575469615363,0.013852171227941962
equal_frame_non_oracle,0.001,0.5,srht_paired,pairwise,True,27,,24.874122666749074,0.037444223891983736
equal_frame_non_oracle,0.003,0.05,srht_paired,pairwise,True,32,,39.925527443100655,0.0011713094371357301
equal_frame_non_oracle,0.003,0.1,srht_paired,pairwise,True,31,,33.92459186920484,0.004663622881480676
equal_frame_non_oracle,0.003,0.15,srht_paired,pairwise,True,29,,30.432405517491848,0.010420130082136778
equal_frame_non_oracle,0.003,0.3,srht_paired,pairwise,True,27,,24.558174394021147,0.04026652594412468
equal_frame_non_oracle,0.003,0.5,srht_paired,pairwise,True,27,,20.43698681257202,0.10383580351845197
equal_frame_non_oracle,0.01,0.05,srht_paired,pairwise,True,32,,34.729344113271544,0.0038747105227227158
equal_frame_non_oracle,0.01,0.1,srht_paired,pairwise,True,29,,28.766825791904193,0.015288085091096052
equal_frame_non_oracle,0.01,0.15,srht_paired,pairwise,True,27,,25.33491374177765,0.03367642759590151
equal_frame_non_oracle,0.01,0.3,srht_paired,pairwise,True,27,,19.75276349392864,0.12149458202145307
equal_frame_non_oracle,0.01,0.5,srht_paired,pairwise,True,22,,16.186516299330545,0.27521946043705947
equal_frame_non_oracle,0.03,0.05,srht_paired,pairwise,True,30,,30.030914275477112,0.011428025984108975
equal_frame_non_oracle,0.03,0.1,srht_paired,pairwise,True,27,,24.169766000264477,0.04402472592456782
equal_frame_non_oracle,0.03,0.15,srht_paired,pairwise,True,27,,20.892819869111754,0.09350378590422657
equal_frame_non_oracle,0.03,0.3,srht_paired,pairwise,True,23,,15.972613665040644,0.2890167940872821
equal_frame_non_oracle,0.03,0.5,noise_floor,noise_floor,False,0,srht_paired+pairwise,13.358587554732043,0.525524535130376
equal_frame_non_oracle,0.1,0.05,srht_paired,pairwise,True,30,,25.049872595582002,0.03595568372107957
equal_frame_non_oracle,0.1,0.1,srht_paired,pairwise,True,27,,19.494907967511846,0.12888825878955415
equal_frame_non_oracle,0.1,0.15,srht_paired,pairwise,True,25,,16.63922861001259,0.24808361452222674
equal_frame_non_oracle,0.1,0.3,noise_floor,noise_floor,False,0,hadamard_random_paired+scgi_proxy,13.069666091774577,0.5635102966355187
