arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n,rel_mse_grid,abs_diff
hadamard_paired+pairwise,0.05,0,0.001,0.0003261659547053453,0.00033691365361844967,5,0.00032616523909412,7.156112252792481e-10
hadamard_paired+pairwise,0.05,0,0.003,0.0009770154848666353,0.0009973046113371552,5,0.00097701304921164,2.4356549951833756e-09
hadamard_paired+pairwise,0.05,0,0.01,0.0032376427027937743,0.003258936745045662,5,0.0032376412580690005,1.4447247738413882e-09
hadamard_paired+pairwise,0.05,0,0.03,0.009581639756870774,0.009651326365541738,5,0.009581636553120559,3.2037502147724828e-09
hadamard_paired+pairwise,0.05,0,0.1,0.03039858889314386,0.03130225010259176,5,0.030398582677740798,6.2154030637529e-09
hadamard_paired+pairwise,0.05,0,0.3,0.07897977556677338,0.0854824732594256,5,0.07897975862894549,1.6937827890251e-08
hadamard_paired+pairwise,0.05,0,1.0,0.17242207002966028,0.20731030025548147,5,0.1724220479562303,2.2073429972735426e-08
hadamard_paired+pairwise,0.05,0,3.0,0.2366665136294261,0.3090127003687868,5,0.23666650390147467,9.727951416627079e-09
hadamard_paired+pairwise,0.05,0,10.0,0.2456814829904232,0.3248742293838097,5,0.24568146042682693,2.2563596269176145e-08
hadamard_paired+pairwise,0.05,1,0.001,0.00032474044477973855,0.0003369214524096372,5,0.00032474008243116,3.623485785508515e-10
hadamard_paired+pairwise,0.05,1,0.003,0.0009728574091456603,0.0009980769028278033,5,0.0009728565233202799,8.858253803872493e-10
hadamard_paired+pairwise,0.05,1,0.01,0.0032245272578660554,0.003250683341546841,5,0.00322452387305934,3.3848067152938976e-09
hadamard_paired+pairwise,0.05,1,0.03,0.009543999615993209,0.009603414648666611,5,0.00954399209577572,7.520217488662939e-09
hadamard_paired+pairwise,0.05,1,0.1,0.030266013009071623,0.03113179453365435,5,0.030266004729278602,8.279793021342963e-09
hadamard_paired+pairwise,0.05,1,0.3,0.07880068754361476,0.08506692472867497,5,0.07880066710144525,2.0442169512691066e-08
hadamard_paired+pairwise,0.05,1,1.0,0.17306428079556407,0.20625184696756543,5,0.17306424107519325,3.972037082577984e-08
hadamard_paired+pairwise,0.05,1,3.0,0.23847812140979147,0.30760392343798104,5,0.2384780781211681,4.3288623352566447e-08
hadamard_paired+pairwise,0.05,1,10.0,0.24766200939260585,0.32344396075577725,5,0.2476619414809253,6.79116805568647e-08
hadamard_paired+pairwise,0.05,2,0.001,0.00037347926454819256,0.0003836007532807449,5,0.00037347977714866,5.126004674438182e-10
hadamard_paired+pairwise,0.05,2,0.003,0.0011183655411891632,0.0011387433142909865,5,0.00111836504412452,4.970646431349396e-10
hadamard_paired+pairwise,0.05,2,0.01,0.0037031794942719585,0.0037272947505370643,5,0.00370317837987554,1.1143964184605337e-09
hadamard_paired+pairwise,0.05,2,0.03,0.010941565411169557,0.011048373508447378,5,0.0109415655029813,9.181174223660271e-11
hadamard_paired+pairwise,0.05,2,0.1,0.03458793638856885,0.03581409416121474,5,0.03458794619173014,9.80316128967873e-09
hadamard_paired+pairwise,0.05,2,0.3,0.08950373934692077,0.0977977036198781,5,0.08950374762780351,8.280882743405549e-09
hadamard_paired+pairwise,0.05,2,1.0,0.19387521741765745,0.2373551574271942,5,0.1938752273453699,9.927712457669102e-09
hadamard_paired+pairwise,0.05,2,3.0,0.2644812135604935,0.35378531481617675,5,0.2644812224384224,8.877928947548241e-09
hadamard_paired+pairwise,0.05,2,10.0,0.27428910007938156,0.37194052783454473,5,0.27428912154264656,2.146326499863349e-08
hadamard_paired+pairwise,0.05,3,0.001,0.0003588673795486589,0.0003689517951364766,5,0.00035886641012866,9.694199989192936e-10
hadamard_paired+pairwise,0.05,3,0.003,0.0010749968391888514,0.0010923818695418998,5,0.00107499560302822,1.236160631322425e-09
hadamard_paired+pairwise,0.05,3,0.01,0.0035626184110131597,0.0035787362239005165,5,0.0035626171377681195,1.273245040216836e-09
hadamard_paired+pairwise,0.05,3,0.03,0.010545639881028211,0.010622761357240157,5,0.01054563967607834,2.04949871310256e-10
hadamard_paired+pairwise,0.05,3,0.1,0.033441333044719,0.034434617370761256,5,0.03344132864421586,4.400503142432122e-09
hadamard_paired+pairwise,0.05,3,0.3,0.08663184023052718,0.09404417040774474,5,0.08663183655392007,3.6766071159766156e-09
hadamard_paired+pairwise,0.05,3,1.0,0.18812186480667106,0.22803020598494766,5,0.18812186157536695,3.231304113171518e-09
hadamard_paired+pairwise,0.05,3,3.0,0.2572805614458099,0.34005257337593825,5,0.2572805603488328,1.0969771202518075e-09
hadamard_paired+pairwise,0.05,3,10.0,0.266896928043189,0.35744811290246103,5,0.2668969199702739,8.072915058665586e-09
hadamard_paired+pairwise,0.05,4,0.001,0.0002977799377523761,0.0003083777969805856,5,0.00029777990469896,3.305341612393209e-11
hadamard_paired+pairwise,0.05,4,0.003,0.0008917946514383943,0.0009134739209788759,5,0.0008917955122341401,8.607957457723234e-10
hadamard_paired+pairwise,0.05,4,0.01,0.002954293493836397,0.002975844484815131,5,0.0029542926300450997,8.63791297170402e-10
hadamard_paired+pairwise,0.05,4,0.03,0.00874101137474193,0.008815517793038522,5,0.00874101121085626,1.6388567065928061e-10
hadamard_paired+pairwise,0.05,4,0.1,0.027762513497741094,0.02856949601021691,5,0.02776251210359278,1.3941483141544087e-09
hadamard_paired+pairwise,0.05,4,0.3,0.07260230722873781,0.07798505389265731,5,0.07260231442232327,7.193585463416419e-09
hadamard_paired+pairwise,0.05,4,1.0,0.16050304070829072,0.18908102275845243,5,0.16050305382709518,1.3118804459422151e-08
hadamard_paired+pairwise,0.05,4,3.0,0.22244770196450436,0.28182633300969023,5,0.22244772059240708,1.862790272033621e-08
hadamard_paired+pairwise,0.05,4,10.0,0.23125506929655826,0.2962969497301344,5,0.23125507308312065,3.786562396967952e-09
hadamard_paired+pairwise,0.05,5,0.001,0.00042088225206605886,0.0004307856308616418,5,0.0004208828004528,5.483867411277925e-10
hadamard_paired+pairwise,0.05,5,0.003,0.0012602218942602268,0.0012801954709994018,5,0.00126022214079542,2.4653519330175566e-10
hadamard_paired+pairwise,0.05,5,0.01,0.004171738062907658,0.004199037216068008,5,0.00417173873335652,6.704488622263916e-10
hadamard_paired+pairwise,0.05,5,0.03,0.012315579203502344,0.012451607959640957,5,0.01231558028401418,1.0805118362544608e-09
hadamard_paired+pairwise,0.05,5,0.1,0.03881783357651737,0.04036602170350056,5,0.03881783487730396,1.3007865895531268e-09
hadamard_paired+pairwise,0.05,5,0.3,0.09959911115345901,0.11028376032996368,5,0.09959911267977886,1.5263198482884377e-09
hadamard_paired+pairwise,0.05,5,1.0,0.21209830875436234,0.26758547508060365,5,0.21209829822016718,1.0534195155065262e-08
hadamard_paired+pairwise,0.05,5,3.0,0.2868156422734645,0.39893192322856297,5,0.2868156185334383,2.3740026222629496e-08
hadamard_paired+pairwise,0.05,5,10.0,0.2971596519711315,0.4194565503794771,5,0.29715962562190207,2.6349229409472485e-08
hadamard_paired+pairwise,0.05,6,0.001,0.00044308536943636677,0.00045347183564258133,5,0.00044308498985060003,3.795857667359022e-10
hadamard_paired+pairwise,0.05,6,0.003,0.0013267761547694852,0.0013467874527804632,5,0.0013267759992857601,1.554837250703628e-10
hadamard_paired+pairwise,0.05,6,0.01,0.004392010595881646,0.004419351042658384,5,0.0043920088617325,1.734149146330466e-09
hadamard_paired+pairwise,0.05,6,0.03,0.012963187492814165,0.013104912751970158,5,0.012963182093001218,5.399812947476379e-09
hadamard_paired+pairwise,0.05,6,0.1,0.04084711590571366,0.04250853872884973,5,0.040847114410733396,1.4949802645825017e-09
hadamard_paired+pairwise,0.05,6,0.3,0.10467363708738534,0.11607938398590137,5,0.10467363427985477,2.8075305691377395e-09
hadamard_paired+pairwise,0.05,6,1.0,0.22136399175598237,0.2817440546187545,5,0.22136399713600366,5.380021289580483e-09
hadamard_paired+pairwise,0.05,6,3.0,0.29780746984448164,0.4198080359691252,5,0.2978074580265665,1.181791514648367e-08
hadamard_paired+pairwise,0.05,6,10.0,0.30839814127319765,0.4412877491048148,5,0.30839813579524067,5.477956976918108e-09
hadamard_paired+pairwise,0.05,7,0.001,0.0005102267089845854,0.0005192900309016646,5,0.00051022653829452,1.706900653805632e-10
hadamard_paired+pairwise,0.05,7,0.003,0.0015271268235509017,0.0015459705958757526,5,0.0015271266069146199,2.1663628183010708e-10
hadamard_paired+pairwise,0.05,7,0.01,0.0050500228384311955,0.0050809678381905235,5,0.0050500211426378,1.6957933954633853e-09
hadamard_paired+pairwise,0.05,7,0.03,0.014874682645050975,0.015098521323308706,5,0.014874676229340161,6.415710813306719e-09
hadamard_paired+pairwise,0.05,7,0.1,0.046579803697353074,0.04896026514768609,5,0.04657979530848344,8.388869633668694e-09
hadamard_paired+pairwise,0.05,7,0.3,0.11808394201370372,0.1336511245649185,5,0.11808391772525548,2.428844823876286e-08
hadamard_paired+pairwise,0.05,7,1.0,0.246795032983898,0.3243494791938825,5,0.24679499834100285,3.464289513588348e-08
hadamard_paired+pairwise,0.05,7,3.0,0.32863238246313387,0.48359253706347094,5,0.3286323604938449,2.196928894360184e-08
hadamard_paired+pairwise,0.05,7,10.0,0.3396252580015349,0.5084048344993715,5,0.3396252234406639,3.456087099840133e-08
hadamard_paired+pairwise,0.05,8,0.001,0.00047933584449718556,0.0004915577523538902,5,0.00047933538561612004,4.5888106552441355e-10
hadamard_paired+pairwise,0.05,8,0.003,0.00143541970508422,0.001462243559659423,5,0.00143541851798992,1.1870943000293066e-09
hadamard_paired+pairwise,0.05,8,0.01,0.004751966273215223,0.004792485030924887,5,0.00475196260956644,3.6636487827854114e-09
hadamard_paired+pairwise,0.05,8,0.03,0.014020388856362836,0.01417995329115683,5,0.014020382175585261,6.680777575249208e-09
hadamard_paired+pairwise,0.05,8,0.1,0.04399527256764615,0.04597754258891871,5,0.04399526143917002,1.1128476126720521e-08
hadamard_paired+pairwise,0.05,8,0.3,0.11162257089002132,0.1255847023710095,5,0.11162254229710045,2.8592920878200978e-08
hadamard_paired+pairwise,0.05,8,1.0,0.2335180610038591,0.30467091764738463,5,0.2335180053684006,5.563545851794416e-08
hadamard_paired+pairwise,0.05,8,3.0,0.31212536715102035,0.45426846864026904,5,0.3121253053595482,6.179147216123226e-08
hadamard_paired+pairwise,0.05,8,10.0,0.3228430574409953,0.47746180152593565,5,0.32284297304107573,8.439991955322412e-08
hadamard_paired+pairwise,0.05,9,0.001,0.0003889806009629329,0.00040038971099769113,5,0.00038898044566872,1.5529421287319503e-10
hadamard_paired+pairwise,0.05,9,0.003,0.0011648454902099849,0.0011895075148830449,5,0.00116484515858398,3.3162600486871807e-10
hadamard_paired+pairwise,0.05,9,0.01,0.0038573488529404744,0.003887414164460613,5,0.0038573465205742202,2.3323662541249734e-09
hadamard_paired+pairwise,0.05,9,0.03,0.011396912642157989,0.011511267977126274,5,0.01139691137588402,1.2662739693608538e-09
hadamard_paired+pairwise,0.05,9,0.1,0.03599159331220153,0.03729035120317416,5,0.03599159049289248,2.819309050106078e-09
hadamard_paired+pairwise,0.05,9,0.3,0.09279277119486676,0.10187902017947155,5,0.09279277810539614,6.91052938484038e-09
hadamard_paired+pairwise,0.05,9,1.0,0.19994413478137374,0.2471352841386148,5,0.199944125047135,9.734238748393409e-09
hadamard_paired+pairwise,0.05,9,3.0,0.27260048592378744,0.3686436746645151,5,0.27260045589500026,3.0028787179059435e-08
hadamard_paired+pairwise,0.05,9,10.0,0.2827763102160561,0.3874746721086932,5,0.28277628603785254,2.417820355038458e-08
hadamard_paired+pairwise,0.1,0,0.001,0.0013037499278223607,0.001347652784349652,5,0.00130374835754538,1.5702769807102862e-09
hadamard_paired+pairwise,0.1,0,0.003,0.00389850287221336,0.003976846960819543,5,0.0038985016935553798,1.178657980244191e-09
hadamard_paired+pairwise,0.1,0,0.01,0.012836885483072302,0.012954779958259357,5,0.01283688230142544,3.181646862637777e-09
hadamard_paired+pairwise,0.1,0,0.03,0.03731015117379269,0.03836816069587521,5,0.03731014665056754,4.523225148600485e-09
hadamard_paired+pairwise,0.1,0,0.1,0.11170889640677872,0.12460121872546728,5,0.1117088874010278,9.00575092277478e-09
hadamard_paired+pairwise,0.1,0,0.3,0.25596533514577935,0.3398238868004245,5,0.255965326024305,9.121474353612768e-09
hadamard_paired+pairwise,0.1,0,1.0,0.4547600164002845,0.8219425734812752,5,0.4547600212687678,4.8684832831824565e-09
hadamard_paired+pairwise,0.1,0,3.0,0.5528703755187727,1.22175782324346,5,0.55287038046863,4.949857301816962e-09
hadamard_paired+pairwise,0.1,0,10.0,0.5648398299230271,1.2830533708675067,5,0.5648398561393322,2.6216305126780526e-08
hadamard_paired+pairwise,0.1,1,0.001,0.0012982789349317405,0.0013481371422403277,5,0.00129827738543666,1.5494950804210983e-09
hadamard_paired+pairwise,0.1,1,0.003,0.003883098277345111,0.003981836053994558,5,0.0038830973657754597,9.115696513600779e-10
hadamard_paired+pairwise,0.1,1,0.01,0.012792001782249244,0.012925230253936493,5,0.01279200179672424,1.4474995854718564e-11
hadamard_paired+pairwise,0.1,1,0.03,0.03719044002736522,0.03818023102779102,5,0.03719042756754616,1.2459819058452393e-08
hadamard_paired+pairwise,0.1,1,0.1,0.11127110612416177,0.1239249750224142,5,0.11127108061267821,2.551148356455535e-08
hadamard_paired+pairwise,0.1,1,0.3,0.25595245834202,0.33826224678569095,5,0.2559524222370631,3.610495691308557e-08
hadamard_paired+pairwise,0.1,1,1.0,0.4583289681442763,0.8173377331079317,5,0.45832892232630507,4.5817971250361467e-08
hadamard_paired+pairwise,0.1,1,3.0,0.559126223268271,1.2152960420309111,5,0.5591261836294519,3.963881911595024e-08
hadamard_paired+pairwise,0.1,1,10.0,0.571370647439412,1.278568282555684,5,0.5713706187616885,2.8677723529213495e-08
hadamard_paired+pairwise,0.1,2,0.001,0.0014921579774339311,0.001532841200588031,5,0.00149215733508966,6.423442710894178e-10
hadamard_paired+pairwise,0.1,2,0.003,0.004458035522007784,0.004537337399889533,5,0.0044580362599591404,7.379513562721929e-10
hadamard_paired+pairwise,0.1,2,0.01,0.01464731502899443,0.014812306206554115,5,0.01464731398778428,1.0412101493495474e-09
hadamard_paired+pairwise,0.1,2,0.03,0.04236392809461727,0.04391000464056368,5,0.042363930385987084,2.2913698161097784e-09
hadamard_paired+pairwise,0.1,2,0.1,0.12538142160368618,0.14253386805345392,5,0.12538143184397393,1.0240287756646538e-08
hadamard_paired+pairwise,0.1,2,0.3,0.28302844280645884,0.3888415410250323,5,0.2830284659398396,2.3133380766537925e-08
hadamard_paired+pairwise,0.1,2,1.0,0.4926102665139326,0.9408941031538853,5,0.4926103130712217,4.655728913505186e-08
hadamard_paired+pairwise,0.1,2,3.0,0.5923484666612111,1.3982133271184218,5,0.5923485147218601,4.806064901607954e-08
hadamard_paired+pairwise,0.1,2,10.0,0.6042909124960799,1.4698973096474077,5,0.6042909360539463,2.3557866435375274e-08
hadamard_paired+pairwise,0.1,3,0.001,0.0014345171922492477,0.0014750625856436508,5,0.00143451724644148,5.419223229885528e-11
hadamard_paired+pairwise,0.1,3,0.003,0.004289328070492322,0.004354733010581658,5,0.004289329189696279,1.1192039569424272e-09
hadamard_paired+pairwise,0.1,3,0.01,0.014120875327659408,0.01422815423269769,5,0.01412087395261662,1.3750427879655192e-09
hadamard_paired+pairwise,0.1,3,0.03,0.04101292128680686,0.042234438364030076,5,0.04101292044310728,8.436995754812493e-10
hadamard_paired+pairwise,0.1,3,0.1,0.12223432383596051,0.13707620217627822,5,0.12223431886616584,4.969794673015393e-09
hadamard_paired+pairwise,0.1,3,0.3,0.27677078760770607,0.3739211145240997,5,0.27677077650764165,1.1100064423175127e-08
hadamard_paired+pairwise,0.1,3,1.0,0.4841106807111849,0.9036250134415754,5,0.4841106865261933,5.8150084192298834e-09
hadamard_paired+pairwise,0.1,3,3.0,0.5840293036899733,1.3439769575690454,5,0.5840293418195746,3.812960125415543e-08
hadamard_paired+pairwise,0.1,3,10.0,0.5959879796962387,1.4131990928081233,5,0.5959880019447931,2.224855433219375e-08
hadamard_paired+pairwise,0.1,4,0.001,0.0011899652253328115,0.0012342911321953547,5,0.0011899660017152401,7.7638242861576e-10
hadamard_paired+pairwise,0.1,4,0.003,0.0035571663135317033,0.003644413945749596,5,0.00355716585350066,4.6003104320693766e-10
hadamard_paired+pairwise,0.1,4,0.01,0.011709951599251214,0.011829982818796618,5,0.01170995371838986,2.1191386458119243e-09
hadamard_paired+pairwise,0.1,4,0.03,0.03405424875259025,0.03504093878997924,5,0.03405425597310642,7.220516171080327e-09
hadamard_paired+pairwise,0.1,4,0.1,0.10251543526298228,0.11371128490111967,5,0.10251544932221932,1.405923703845513e-08
hadamard_paired+pairwise,0.1,4,0.3,0.23900314417389074,0.31001707627122144,5,0.23900314549964236,1.3257516195963603e-09
hadamard_paired+pairwise,0.1,4,1.0,0.4350596275576867,0.7492824585476943,5,0.4350596504200032,2.286231653991777e-08
hadamard_paired+pairwise,0.1,4,3.0,0.5360062753170258,1.1142096959120265,5,0.5360063288866271,5.356960131042143e-08
