arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.05,0,0.001,0.0003261659547053453,0.00033691365361844967,5
hadamard_paired+pairwise,0.05,0,0.003,0.0009770154848666353,0.0009973046113371552,5
hadamard_paired+pairwise,0.05,0,0.01,0.0032376427027937743,0.003258936745045662,5
hadamard_paired+pairwise,0.05,0,0.03,0.009581639756870774,0.009651326365541738,5
hadamard_paired+pairwise,0.05,0,0.1,0.03039858889314386,0.03130225010259176,5
hadamard_paired+pairwise,0.05,0,0.3,0.07897977556677338,0.0854824732594256,5
hadamard_paired+pairwise,0.05,0,1.0,0.17242207002966028,0.20731030025548147,5
hadamard_paired+pairwise,0.05,0,3.0,0.2366665136294261,0.3090127003687868,5
hadamard_paired+pairwise,0.05,0,10.0,0.2456814829904232,0.3248742293838097,5
hadamard_paired+pairwise,0.05,1,0.001,0.00032474044477973855,0.0003369214524096372,5
hadamard_paired+pairwise,0.05,1,0.003,0.0009728574091456603,0.0009980769028278033,5
hadamard_paired+pairwise,0.05,1,0.01,0.0032245272578660554,0.003250683341546841,5
hadamard_paired+pairwise,0.05,1,0.03,0.009543999615993209,0.009603414648666611,5
hadamard_paired+pairwise,0.05,1,0.1,0.030266013009071623,0.03113179453365435,5
hadamard_paired+pairwise,0.05,1,0.3,0.07880068754361476,0.08506692472867497,5
hadamard_paired+pairwise,0.05,1,1.0,0.17306428079556407,0.20625184696756543,5
hadamard_paired+pairwise,0.05,1,3.0,0.23847812140979147,0.30760392343798104,5
hadamard_paired+pairwise,0.05,1,10.0,0.24766200939260585,0.32344396075577725,5
hadamard_paired+pairwise,0.05,2,0.001,0.00037347926454819256,0.0003836007532807449,5
hadamard_paired+pairwise,0.05,2,0.003,0.0011183655411891632,0.0011387433142909865,5
hadamard_paired+pairwise,0.05,2,0.01,0.0037031794942719585,0.0037272947505370643,5
hadamard_paired+pairwise,0.05,2,0.03,0.010941565411169557,0.011048373508447378,5
hadamard_paired+pairwise,0.05,2,0.1,0.03458793638856885,0.03581409416121474,5
hadamard_paired+pairwise,0.05,2,0.3,0.08950373934692077,0.0977977036198781,5
hadamard_paired+pairwise,0.05,2,1.0,0.19387521741765745,0.2373551574271942,5
hadamard_paired+pairwise,0.05,2,3.0,0.2644812135604935,0.35378531481617675,5
hadamard_paired+pairwise,0.05,2,10.0,0.27428910007938156,0.37194052783454473,5
hadamard_paired+pairwise,0.05,3,0.001,0.0003588673795486589,0.0003689517951364766,5
hadamard_paired+pairwise,0.05,3,0.003,0.0010749968391888514,0.0010923818695418998,5
hadamard_paired+pairwise,0.05,3,0.01,0.0035626184110131597,0.0035787362239005165,5
hadamard_paired+pairwise,0.05,3,0.03,0.010545639881028211,0.010622761357240157,5
hadamard_paired+pairwise,0.05,3,0.1,0.033441333044719,0.034434617370761256,5
hadamard_paired+pairwise,0.05,3,0.3,0.08663184023052718,0.09404417040774474,5
hadamard_paired+pairwise,0.05,3,1.0,0.18812186480667106,0.22803020598494766,5
hadamard_paired+pairwise,0.05,3,3.0,0.2572805614458099,0.34005257337593825,5
