object_index,object_family,seed,image_size,num_pixels,mean,std,min,max,nonzero_fraction,l2_norm
0,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.1454865845389577,0.25175255027053167,0.0,1.0,0.3955078125,9.304557457337282
1,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.14104514858627226,0.2446649960975503,0.0,1.0,0.4365234375,9.037079556873492
2,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.14228856182762684,0.22453964478239702,0.0,1.0,0.49609375,8.506469596238095
3,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.16122065203126112,0.26131585310198013,0.0,1.0,0.5234375,9.825515126097601
4,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.09000651088217637,0.16520695582545405,0.0,1.0,0.400390625,6.020297210304504
5,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.19311392836971208,0.27969867060860265,0.0,1.0,0.484375,10.876438742837518
6,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.21270243319850124,0.29643289790737,0.0,1.0,0.5029296875,11.675167791664938
7,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.22408968501986237,0.2795239471613002,0.0,1.0,0.548828125,11.464301973700278
8,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.20400518952192215,0.26771178149596586,0.0,1.0,0.5283203125,10.77063695752979
9,synthetic_digit_shapes_lines_blur,20240708,32,1024,0.1540027295532127,0.2361181935603395,0.0,1.0,0.48046875,9.020858576044713
