series_id,paper,figure,panel,method,metric,x_variable,x_value,value,unit,approximate,source_path
Fig. 3_m_fixed_reference_PSNR,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,m,fixed_reference,PSNR,categorical,,37.6,dB,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_n_fixed_reference_PSNR,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,n,fixed_reference,PSNR,categorical,,35.32,dB,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_o_fixed_reference_PSNR,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,o,fixed_reference,PSNR,categorical,,38.02,dB,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_p_fixed_reference_PSNR,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,p,fixed_reference,PSNR,categorical,,37.91,dB,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_q_fixed_reference_PSNR,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,q,fixed_reference,PSNR,categorical,,37.68,dB,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_r_fixed_reference_PSNR,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,r,fixed_reference,PSNR,categorical,,36.86,dB,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_m_fixed_reference_SSIM,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,m,fixed_reference,SSIM,categorical,,0.9854,a.u.,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_n_fixed_reference_SSIM,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,n,fixed_reference,SSIM,categorical,,0.9938,a.u.,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_o_fixed_reference_SSIM,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,o,fixed_reference,SSIM,categorical,,0.9942,a.u.,False,results\paper_figures\oe_pages\oe-07.png
Fig. 3_p_fixed_reference_SSIM,"Peng, Xiao, and Chen, Optics Express 2025 OWT",Fig. 3,p,fixed_reference,SSIM,categorical,,0.9911,a.u.,False,results\paper_figures\oe_pages\oe-07.png
