rho,sigma_a,correction,srht_minus_ordered_db,srht_minus_sign_only_db,srht_gap_to_best_ablation_db,best_ablation,best_ablation_psnr,best_alternative,best_alternative_psnr,best_alternative_minus_ordered_db,hadamard_block_shuffle_psnr,hadamard_ordered_psnr,hadamard_time_interleave_psnr,perm_only_psnr,sign_block_shuffle_psnr,sign_only_psnr,sign_time_interleave_psnr,srht_full_psnr
0.001,0.3,agc,5.453267668166454,-0.012346026734075366,-0.041713937182361605,sign_time_interleave,28.869980801801297,sign_time_interleave,28.869980801801297,5.494981605348816,28.641740043589444,23.37499919645248,23.2313273268288,28.769262492048465,28.861447062311974,28.84061289135301,28.869980801801297,28.828266864618936
0.001,0.3,none,0.1497822200469443,0.004025465708938469,-0.28578547854167624,perm_only,24.878575607276925,perm_only,24.878575607276925,0.43556769858862054,24.18895204825841,24.443007908688305,24.51201476092581,24.878575607276925,24.58454137127728,24.58876466302631,24.649709630750085,24.59279012873525
0.001,0.3,oracle,0.0,0.0,0.0,hadamard_block_shuffle,120.0,hadamard_block_shuffle,120.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
0.001,0.3,pairwise,0.0047083521594970534,-0.0030913901938802724,-0.015509570658068128,sign_block_shuffle,29.333736154905186,sign_block_shuffle,29.333736154905186,0.02021792281756518,29.312941494956863,29.31351823208762,29.31944265355617,29.319369970892765,29.333736154905186,29.321317974440998,29.32703371617621,29.318226584247117
0.001,0.3,scgi_proxy,0.03314284993156491,-0.01768675073124726,-0.05164892931269449,sign_time_interleave,28.85576069123321,sign_time_interleave,28.85576069123321,0.0847917792442594,28.69270464160751,28.770968911988952,28.72572507720633,28.70602232206761,28.83165892034536,28.821798512651764,28.85576069123321,28.804111761920517
0.1,0.3,agc,0.47690989471629486,-0.007129331636496872,-0.15028165382098102,perm_only,13.00066375488944,perm_only,13.00066375488944,0.6271915485372759,12.713679684330303,12.373472206352163,12.316938879427369,13.00066375488944,12.89394043337274,12.857511432704955,12.845011887563636,12.850382101068458
0.1,0.3,none,0.05644374891383386,-0.008993383462277293,-0.18193663952225947,perm_only,12.969671031348954,perm_only,12.969671031348954,0.23838038843609333,12.661768462932873,12.73129064291286,12.737821261384436,12.969671031348954,12.82848185201346,12.796727775288971,12.791795955273164,12.787734391826694
0.1,0.3,oracle,0.0,0.0,0.0,hadamard_block_shuffle,120.0,hadamard_block_shuffle,120.0,0.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
0.1,0.3,pairwise,0.0027362089776961085,-0.02093598949722164,-0.07085715659105496,sign_block_shuffle,13.140129307490444,sign_block_shuffle,13.140129307490444,0.07359336556875107,13.094618223951723,13.066535941921693,13.086115515850068,13.09179477133329,13.140129307490444,13.09020814039661,13.093307355332922,13.069272150899389
0.1,0.3,scgi_proxy,0.05873556889079978,-0.007371376647615335,-0.1634319149141188,perm_only,13.01070218702072,perm_only,13.01070218702072,0.22216748380491858,12.711676236370058,12.7885347032158,12.790769783166567,13.01070218702072,12.888941445065836,12.854641648754216,12.84649693696477,12.8472702721066
