variant,correction,rho,sigma_a,seed,object,mse,rel_mse,psnr,recon_scale,gain_rel_mse,gain_corr,gain_scale
hadamard_ordered,none,0.001,0.3,0,0,0.007760135645854927,0.09178629193752243,21.101306872815776,0.7590252452783766,,,
hadamard_ordered,agc,0.001,0.3,0,0,0.0035767819480772923,0.04230590379672597,24.46507535007113,1.0700894758556811,0.010827447287738323,0.9081257581710815,0.9828789234161377
hadamard_ordered,pairwise,0.001,0.3,0,0,0.0009433199694407118,0.011157516576637242,30.253409717458318,1.0444071741068017,4.5287310058483854e-05,0.9992988109588623,1.0000096559524536
hadamard_ordered,oracle,0.001,0.3,0,0,7.55487358161686e-14,8.935846791334867e-13,120.0,0.9999999173165398,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,1,0.0066238966058420785,0.08305337595116405,21.788864551879556,0.7357186935872448,,,
hadamard_ordered,agc,0.001,0.3,0,1,0.0038103168185587215,0.04777545515213702,24.190389122951377,1.0817106830409213,0.010888852179050446,0.9083719849586487,0.9827128052711487
hadamard_ordered,pairwise,0.001,0.3,0,1,0.0008882530940202005,0.011137314264896484,30.5146327107358,1.0455885576866657,4.532835373538546e-05,0.9992981553077698,1.000010371208191
hadamard_ordered,oracle,0.001,0.3,0,1,6.752489196260977e-14,8.466572731956788e-13,120.0,1.0000000466900767,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,2,0.006496872781523348,0.09194023535841633,21.87295637286247,0.7373688952602598,,,
hadamard_ordered,agc,0.001,0.3,0,2,0.0033732546331651132,0.04773647804511105,24.719508744631614,1.0801741237836375,0.010829462669789791,0.9084274172782898,0.9828327298164368
hadamard_ordered,pairwise,0.001,0.3,0,2,0.0009029658203407225,0.012778284697036308,30.443286885772554,1.0436535215516747,4.5263164793141186e-05,0.9992990493774414,1.0000094175338745
hadamard_ordered,oracle,0.001,0.3,0,2,7.375066463939728e-14,1.043679581362517e-12,120.0,1.000000034891293,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,3,0.007748638447428397,0.08218918929261247,21.107746028765394,0.7246435900566242,,,
hadamard_ordered,agc,0.001,0.3,0,3,0.004452911689787749,0.0472316787340508,23.513559177181325,1.0861460647601,0.010881883092224598,0.9084706902503967,0.9827139973640442
hadamard_ordered,pairwise,0.001,0.3,0,3,0.001162705235158589,0.012332721588742554,29.34530372089807,1.0455384631021198,4.524288306129165e-05,0.9992995858192444,1.0000152587890625
hadamard_ordered,oracle,0.001,0.3,0,3,9.910520717411413e-14,1.0512010190667902e-12,120.0,1.0000000046308057,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,4,0.003053813936009996,0.08627931038088735,25.15157427340435,0.7620465597200006,,,
hadamard_ordered,agc,0.001,0.3,0,4,0.0014070494745417853,0.0397533251465448,28.51690631674896,1.04748154206349,0.010827086865901947,0.9084581732749939,0.9828335046768188
hadamard_ordered,pairwise,0.001,0.3,0,4,0.00036074510080952933,0.010192120140035931,34.42799558240941,1.0451208983298954,4.527501732809469e-05,0.9992989897727966,1.000008463859558
hadamard_ordered,oracle,0.001,0.3,0,4,2.185156139777439e-14,6.173714861649062e-13,120.0,0.999999915077499,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,5,0.009987341480695775,0.08645227365057467,20.00550100754843,0.7201100892318102,,,
hadamard_ordered,agc,0.001,0.3,0,5,0.006170496084391665,0.05341295449632151,22.096799189403274,1.0926938226520544,0.010841802693903446,0.9082715511322021,0.9828279614448547
hadamard_ordered,pairwise,0.001,0.3,0,5,0.0016620594350107301,0.01438709364016429,27.793534499648654,1.0423492430101806,4.5252858399180695e-05,0.9992994070053101,1.0000147819519043
hadamard_ordered,oracle,0.001,0.3,0,5,9.072445847285788e-14,7.853276796288432e-13,120.0,1.0000000284302146,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,6,0.009304856127804366,0.06990099495396984,20.31290337566392,0.6755488726372075,,,
hadamard_ordered,agc,0.001,0.3,0,6,0.0074569491393372015,0.05601893860596602,21.2743881903628,1.1019498843971678,0.010931134223937988,0.9086382985115051,0.9825854301452637
hadamard_ordered,pairwise,0.001,0.3,0,6,0.0019989330598490724,0.015016611520978398,26.992017492660434,1.0370404033199863,4.524270843830891e-05,0.9992994666099548,1.0000107288360596
hadamard_ordered,oracle,0.001,0.3,0,6,1.4603738129179603e-13,1.097078569787364e-12,120.0,1.0000000497541823,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,7,0.010933676805343392,0.08518653526155068,19.612337678077722,0.6842455287021931,,,
hadamard_ordered,agc,0.001,0.3,0,7,0.008229141169640155,0.06411493927433799,20.846454873574398,1.1230198544678758,0.010863100178539753,0.9081308841705322,0.9828014969825745
hadamard_ordered,pairwise,0.001,0.3,0,7,0.0022463046240719427,0.01750142348941318,26.485313488837118,1.0437445270282035,4.527352939476259e-05,0.9992989301681519,1.0000157356262207
hadamard_ordered,oracle,0.001,0.3,0,7,1.3075772907747936e-13,1.0187604862561284e-12,120.0,1.0000000026507414,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,8,0.009314739607483434,0.08222197422305871,20.30829281252304,0.6943019137196655,,,
hadamard_ordered,agc,0.001,0.3,0,8,0.0065799476844633515,0.0580817405208375,21.81777559340331,1.0986035904794744,0.010842351242899895,0.9084709882736206,0.9827989935874939
hadamard_ordered,pairwise,0.001,0.3,0,8,0.0018463470094586716,0.016297857225828244,27.33686672687022,1.038250004136252,4.522316885413602e-05,0.9992995858192444,1.000010371208191
hadamard_ordered,oracle,0.001,0.3,0,8,1.1363032262881919e-13,1.003024223096752e-12,120.0,1.0000001552165787,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,0,9,0.007205952733069345,0.0906766813687188,21.42308590927645,0.7338579001296139,,,
hadamard_ordered,agc,0.001,0.3,0,9,0.0038929643656844346,0.04898742781741571,24.097195715855744,1.0672103345212178,0.010812865570187569,0.9083317518234253,0.9828817844390869
hadamard_ordered,pairwise,0.001,0.3,0,9,0.0010464198926752027,0.013167708240792476,29.80294012906512,1.0379361986362838,4.5260363549459726e-05,0.9992992281913757,1.0000081062316895
hadamard_ordered,oracle,0.001,0.3,0,9,6.381656776517865e-14,8.03040874072393e-13,120.0,1.0000000689458601,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,1,0,0.002624227617111192,0.031039163897004333,25.809984983481442,0.9862955525144494,,,
hadamard_ordered,agc,0.001,0.3,1,0,0.0039136655711911085,0.0462905375700559,24.074162882313214,1.066311854569895,0.0042104036547243595,0.8914849162101746,0.9965168833732605
hadamard_ordered,pairwise,0.001,0.3,1,0,0.0009750175777535888,0.011532433467668782,30.109875547090788,0.9759214426982221,4.5183496695244685e-05,0.9987200498580933,1.0000020265579224
hadamard_ordered,oracle,0.001,0.3,1,0,7.51836631960622e-14,8.892666280559412e-13,120.0,0.9999999283695724,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,1,0.0019126105650358093,0.02398116603540996,27.183734495615344,0.9369121962278075,,,
hadamard_ordered,agc,0.001,0.3,1,1,0.0037173350127641747,0.046609607716284585,24.297682977585776,1.0784004110784489,0.004251527599990368,0.8915414214134216,0.9963692426681519
hadamard_ordered,pairwise,0.001,0.3,1,1,0.0009087086740610364,0.011393795469318107,30.41575326378136,0.9726267851248741,4.523188908933662e-05,0.9987187385559082,1.0000011920928955
hadamard_ordered,oracle,0.001,0.3,1,1,6.691565629367298e-14,8.390184041030604e-13,120.0,1.0000000772826358,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,2,0.0017145304197897283,0.02426310867174943,27.658548050782755,0.9422780705520069,,,
hadamard_ordered,agc,0.001,0.3,1,2,0.0035837103799922047,0.05071473413022977,24.456670953976385,1.0758011777445566,0.004221278242766857,0.8921350240707397,0.9964065551757812
hadamard_ordered,pairwise,0.001,0.3,1,2,0.0009263574044315685,0.01310930976387074,30.332214227936962,0.9714280682431656,4.5180608140071854e-05,0.998720109462738,1.0000025033950806
hadamard_ordered,oracle,0.001,0.3,1,2,7.121196322876836e-14,1.0077532498724246e-12,120.0,1.0000001032032093,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,3,0.0020180628827594573,0.021405431857587642,26.9506530528942,0.9311198436755576,,,
hadamard_ordered,agc,0.001,0.3,1,3,0.004668533366290917,0.04951876063959393,23.30819532917051,1.0784017069919094,0.004249177407473326,0.8916574120521545,0.9963645339012146
hadamard_ordered,pairwise,0.001,0.3,1,3,0.0011902694656686856,0.012625093180793205,29.243547073427443,0.9727088532235978,4.522187009570189e-05,0.9987190365791321,1.0000004768371582
hadamard_ordered,oracle,0.001,0.3,1,3,9.010234150325702e-14,9.557083417637724e-13,120.0,1.0000000557631459,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,4,0.0009242133851687011,0.026111772094840533,30.34227745985231,0.9560829715442946,,,
hadamard_ordered,agc,0.001,0.3,1,4,0.0014907950205664666,0.042119385459938014,28.26582066511247,1.054708832948732,0.004216583911329508,0.892024576663971,0.9964349865913391
hadamard_ordered,pairwise,0.001,0.3,1,4,0.000372575066419308,0.01052635179135091,34.2878621245329,0.9771250721983186,4.528100907918997e-05,0.9987172484397888,1.0000003576278687
hadamard_ordered,oracle,0.001,0.3,1,4,2.0722610149000454e-14,5.854752615621975e-13,120.0,0.9999998923735797,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,5,0.0030076102357320983,0.02603443004691041,25.217784458192767,0.9477348691312273,,,
hadamard_ordered,agc,0.001,0.3,1,5,0.006345767599791169,0.054930137126129146,21.97515837053829,1.0987589171756438,0.004225766286253929,0.8918529152870178,0.9964227080345154
hadamard_ordered,pairwise,0.001,0.3,1,5,0.0017196115202243161,0.014885275126164657,27.64569654068469,0.9749817745067383,4.517313573160209e-05,0.9987204074859619,1.000001311302185
hadamard_ordered,oracle,0.001,0.3,1,5,9.793465598710228e-14,8.477404818526363e-13,120.0,0.9999999956373937,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,6,0.0031635450116741493,0.023765541439905273,24.99825981915237,0.921557146431534,,,
hadamard_ordered,agc,0.001,0.3,1,6,0.0078037131994679095,0.05862393888587194,21.076987000895766,1.1010951189013742,0.004264248069375753,0.8912725448608398,0.9963556528091431
hadamard_ordered,pairwise,0.001,0.3,1,6,0.0020769626003109276,0.015602793879863701,26.82571323698327,0.9723811326993302,4.522594826994464e-05,0.998718798160553,1.0000033378601074
hadamard_ordered,oracle,0.001,0.3,1,6,1.3876357827600764e-13,1.042435482251225e-12,120.0,1.0000000004421745,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,7,0.0034912145479236,0.027200773947057597,24.570234613788227,0.9301985707371251,,,
hadamard_ordered,agc,0.001,0.3,1,7,0.00881533300426825,0.06868208098518273,20.54761277331247,1.1142103787528868,0.004227825906127691,0.8917725086212158,0.9964244365692139
hadamard_ordered,pairwise,0.001,0.3,1,7,0.002276923915030607,0.017739984712263596,26.426514813894414,0.9642174810914909,4.513685780693777e-05,0.9987213611602783,1.0000014305114746
hadamard_ordered,oracle,0.001,0.3,1,7,1.2789724113634897e-13,9.96473833632259e-13,120.0,0.9999999610967771,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,8,0.004132692376607106,0.03647961621903289,23.83766920901269,0.9630795288239404,,,
hadamard_ordered,agc,0.001,0.3,1,8,0.007009849648229195,0.061876520586916804,21.542912969612537,1.1071009030765462,0.004228855948895216,0.8915137648582458,0.9964498281478882
hadamard_ordered,pairwise,0.001,0.3,1,8,0.001908437173945789,0.016845932225140494,27.193221325227274,0.9700734931944673,4.514748798101209e-05,0.9987209439277649,1.000002145767212
hadamard_ordered,oracle,0.001,0.3,1,8,1.0136244048704974e-13,8.94734616329676e-13,120.0,1.0000001118048998,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,1,9,0.0022850787293508283,0.02875447057720631,26.410988322971477,0.9644431436916027,,,
hadamard_ordered,agc,0.001,0.3,1,9,0.00414520848628822,0.05216156184221379,23.824536214062313,1.0767681076304745,0.0042059216648340225,0.8919545412063599,0.9964795708656311
hadamard_ordered,pairwise,0.001,0.3,1,9,0.001092318379877658,0.013745275517949804,29.616507586357944,0.9743760819144175,4.516302578849718e-05,0.998720645904541,1.0000009536743164
hadamard_ordered,oracle,0.001,0.3,1,9,6.426133405959171e-14,8.086376262377185e-13,120.0,1.000000092350406,1.3694021468808795e-14,0.9999998807907104,1.0000001192092896
hadamard_ordered,none,0.001,0.3,2,0,0.002993331827103313,0.03540490031190859,25.238451365871747,1.0127618245550878,,,
hadamard_ordered,agc,0.001,0.3,2,0,0.004094542527026393,0.048429936393829774,23.877946138270158,1.0646601462582042,0.004046546295285225,0.9432164430618286,0.9979346394538879
hadamard_ordered,pairwise,0.001,0.3,2,0,0.0009434454884087225,0.011159001205407576,30.252831879921224,0.994976326871576,4.47266866103746e-05,0.999372124671936,0.9999995231628418
hadamard_ordered,oracle,0.001,0.3,2,0,6.958486839877918e-14,8.230445106582646e-13,120.0,0.9999999409247311,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,2,1,0.002787144480463114,0.03494646310782611,25.54840517672954,0.9825114801053417,,,
hadamard_ordered,agc,0.001,0.3,2,1,0.0037692694354263686,0.04726078471780445,24.237428171440314,1.0721685425506975,0.00408981554210186,0.9427007436752319,0.9978553652763367
hadamard_ordered,pairwise,0.001,0.3,2,1,0.000884645739818517,0.011092083645741409,30.53230609577271,0.9952667312367608,4.481166979530826e-05,0.9993709325790405,0.9999991655349731
hadamard_ordered,oracle,0.001,0.3,2,1,6.646374692575129e-14,8.333521624837769e-13,120.0,1.000000043560185,0.0,1.0,1.0
hadamard_ordered,none,0.001,0.3,2,2,0.002863807437218204,0.04052705642441223,25.43056187399483,0.9857518891971304,,,
