object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns
letter_A,handcrafted,raw,3.3095343112945557,10.729561805725098,0.8336079120635986,14.91065502166748,14.757993698120117,0.08938976465073763,4538.0746923816905,-0.0001264512538909912,0.0001977980136871338,-3.856221155729145e-07,1.0,16384
letter_A,handcrafted,minmax,3.3095343112945557,8.75987720489502,0.0726742148399353,12.00020980834961,14.757993698120117,-0.48445547076005824,1.4715128301587757,0.0,0.9999691247940063,0.3887803256511688,1.0,16384
stripe_target,handcrafted,raw,2.4917945861816406,6.722494125366211,0.5501176714897156,10.42665958404541,11.2125244140625,0.21050263224345608,10794.332832561253,-9.09268856048584e-05,9.611248970031738e-05,2.0426341507118195e-07,1.0,16384
stripe_target,handcrafted,minmax,2.4917948246002197,7.457932472229004,0.19022417068481445,8.843147277832031,11.2125244140625,-0.7709924333945645,2.0190731816205747,0.0,0.9999465346336365,0.4872037172317505,1.0,16384
letter_L,handcrafted,raw,3.548189640045166,10.561445236206055,0.8535287380218506,14.83298397064209,14.647405624389648,0.08897374666508587,4582.729943886944,-0.00013378262519836426,0.00021126866340637207,-2.3634856916032732e-07,1.0,16384
letter_L,handcrafted,minmax,3.548189878463745,8.707290649414062,0.05949622020125389,11.772159576416016,14.647405624389648,-0.5241158953645534,1.581322752210266,0.0,0.9999709725379944,0.38702189922332764,1.0,16384
ring,handcrafted,raw,2.9818475246429443,8.824419021606445,0.7679234147071838,12.82098388671875,12.975977897644043,0.1338516917960216,6707.805338481734,-0.00010612607002258301,0.00014725327491760254,-4.0969825931824744e-07,1.0,16384
ring,handcrafted,minmax,2.9818472862243652,8.289705276489258,0.08628682792186737,10.417377471923828,12.975977897644043,-0.5780213279079176,1.699686480326801,0.0,0.9999604821205139,0.4172092080116272,1.0,16384
heldout_0,mnist,raw,2.8425962924957275,11.803577423095703,0.7195121049880981,15.748022079467773,15.919713973999023,0.09834594899166439,5079.1373781352295,-0.00010591745376586914,0.00017315149307250977,-1.4398938219528645e-07,1.0,16384
heldout_0,mnist,minmax,2.8425960540771484,9.576555252075195,0.09665714204311371,13.40532398223877,15.919713020324707,-0.4396233490211917,1.4174803685143447,0.0,0.9999641180038452,0.3790091276168823,1.0,16384
heldout_1,mnist,raw,2.5061652660369873,9.332902908325195,0.6953778266906738,13.142155647277832,13.576005935668945,0.14406311386088164,7444.191671420767,-8.609890937805176e-05,0.00011038780212402344,6.851951184216887e-08,1.0,16384
heldout_1,mnist,minmax,2.506164789199829,8.554610252380371,0.092426598072052,11.317502975463867,13.576005935668945,-0.4968736705341835,1.4627591620420142,0.0,0.9999490976333618,0.4385184049606323,1.0,16384
heldout_2,mnist,raw,2.542039155960083,9.357994079589844,0.6902357935905457,13.193500518798828,13.643712043762207,0.14471499351373918,7409.905672781141,-8.675456047058105e-05,0.00012010335922241211,8.541610441170633e-08,1.0,16384
heldout_2,mnist,minmax,2.542039632797241,8.907723426818848,0.09397488832473755,11.367694854736328,13.643712043762207,-0.49812811749464087,1.5328717558584581,0.0,0.9999516606330872,0.41978463530540466,1.0,16384
heldout_3,mnist,raw,2.747955799102783,11.09007453918457,0.7245221734046936,15.155256271362305,15.363582611083984,0.10867885141351587,5599.741910797432,-0.00010144710540771484,0.00014668703079223633,-8.930692274589092e-08,1.0,16384
heldout_3,mnist,minmax,2.747955560684204,9.016134262084961,0.10119814425706863,12.79869556427002,15.363582611083984,-0.4593987568534007,1.389543186239748,0.0,0.9999596476554871,0.40846335887908936,1.0,16384
