object,object_source,variant,cnr,psnr,ssim,scale_aligned_psnr,affine_aligned_psnr,affine_offset,affine_slope,recon_min,recon_max,recon_mean,pattern_factor,num_patterns
letter_A,handcrafted,raw,1.7345123291015625,10.729575157165527,0.8336048722267151,12.13913345336914,12.270227432250977,0.08834119033342029,1822.3287038061926,-0.0002580583095550537,0.0003043711185455322,-3.848963388008997e-07,0.25,4096
letter_A,handcrafted,minmax,1.7345130443572998,7.023038864135742,0.042923375964164734,11.49489974975586,12.270227432250977,-0.38192587375886977,1.0249495337051795,0.0,0.9999821782112122,0.45813536643981934,0.25,4096
stripe_target,handcrafted,raw,1.2345036268234253,6.722496032714844,0.5501168966293335,8.085907936096191,8.802316665649414,0.2108696094438095,4330.336543253285,-0.0001448988914489746,0.00016936659812927246,4.2442661651875824e-07,0.25,4096
stripe_target,handcrafted,minmax,1.2345037460327148,7.0285563468933105,0.11509992927312851,8.321084022521973,8.802316665649414,-0.4165913548428546,1.3609186867541623,0.0,0.9999681711196899,0.4624074101448059,0.25,4096
letter_L,handcrafted,raw,1.775784969329834,10.561450958251953,0.8535256385803223,11.958772659301758,12.080350875854492,0.08766296223622923,1824.6337578912396,-0.00027483701705932617,0.00031495094299316406,1.2477175914682448e-07,0.25,4096
letter_L,handcrafted,minmax,1.7757853269577026,6.8360276222229,0.03621445596218109,11.287940979003906,12.080350875854492,-0.41381393775750747,1.0761652914602804,0.0,0.999983012676239,0.46619656682014465,0.25,4096
ring,handcrafted,raw,1.5027451515197754,8.824444770812988,0.7679218053817749,10.244283676147461,10.548620223999023,0.13045767612938275,2663.051599493564,-0.00019443035125732422,0.0002365708351135254,2.4251858121715486e-07,0.25,4096
ring,handcrafted,minmax,1.5027457475662231,7.133538246154785,0.05319902300834656,9.895535469055176,10.548620223999023,-0.38732038072939634,1.14780505806657,0.0,0.9999767541885376,0.451665461063385,0.25,4096
heldout_0,mnist,raw,1.5598790645599365,11.803590774536133,0.7195082902908325,13.194056510925293,13.552199363708496,0.0981642911834728,2022.2303979945927,-0.00017625093460083008,0.00023245811462402344,-2.7182068151887506e-07,0.25,4096
heldout_0,mnist,minmax,1.5598787069320679,8.053628921508789,0.060627952218055725,12.953531265258789,13.55219841003418,-0.2582557064969814,0.8265241091016448,0.0,0.9999755024909973,0.4305625259876251,0.25,4096
