object,source,source_config,steps,postprocess_method,target_free_threshold,threshold,cnr,psnr,ssim,hits_apl_min,min,max,mean,note,foreground_fraction,target_foreground_fraction,iou,false_positive_pixels,false_negative_pixels
letter_A,best_final,nlm_allobjects/cfg0001,200,continuous,True,,8.453329086303711,10.252985000610352,0.07514356076717377,False,0.23154470324516296,0.6993018984794617,0.32845357060432434,Continuous URED output.,,0.088623046875,,,
letter_A,best_final,nlm_allobjects/cfg0001,200,minmax_continuous,True,,8.453327178955078,16.108959197998047,0.12538334727287292,False,0.0,1.0,0.20717769861221313,Linear display scaling only.,,0.088623046875,,,
letter_A,best_final,nlm_allobjects/cfg0001,200,raw_otsu_binary,True,0.4535466432571411,9.794158935546875,25.806392669677734,0.9768904447555542,False,0.0,1.0,0.088134765625,Otsu threshold from reconstruction histogram only.,0.088134765625,0.088623046875,0.9567567567567568,28,36
letter_A,best_final,nlm_allobjects/cfg0001,200,minmax_otsu_binary,True,0.474609375,9.794158935546875,25.806392669677734,0.9768904447555542,False,0.0,1.0,0.088134765625,Otsu threshold after min-max scaling.,0.088134765625,0.088623046875,0.9567567567567568,28,36
letter_A,best_final,nlm_allobjects/cfg0001,200,raw_mean_binary,True,0.32845357060432434,6.245055675506592,10.822408676147461,0.20364594459533691,False,0.0,1.0,0.17340087890625,Simple target-free mean threshold.,0.17340087890625,0.088623046875,0.5110876451953538,1389,0
letter_A,best_final,nlm_allobjects/cfg0001,200,raw_mean_plus_std_binary,True,0.41905075311660767,11.112298965454102,24.93859100341797,0.9730260372161865,True,0.0,1.0,0.09112548828125,Simple target-free mean plus one standard deviation threshold.,0.09112548828125,0.088623046875,0.9477513227513228,60,19
letter_A,best_final,nlm_allobjects/cfg0001,200,target_fraction_upper_bound,False,0.44510124374210136,10.276243209838867,25.68924903869629,0.976250410079956,False,0.0,1.0,0.088623046875,Upper bound using the true target foreground fraction; not deployable.,0.088623046875,0.088623046875,0.9581928523263655,31,31
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,continuous,True,,13.209966659545898,3.5026252269744873,0.059887874871492386,True,0.5666289329528809,1.0,0.72702556848526,Continuous URED output.,,0.088623046875,,,
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,minmax_continuous,True,,13.209966659545898,10.46475887298584,0.11100919544696808,True,0.0,1.0,0.37011387944221497,Linear display scaling only.,,0.088623046875,,,
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,raw_otsu_binary,True,0.8451037406921387,17.339508056640625,23.706647872924805,0.9658950567245483,True,0.0,1.0,0.093994140625,Otsu threshold from reconstruction histogram only.,0.093994140625,0.088623046875,0.940337224383917,90,2
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,minmax_otsu_binary,True,0.642578125,17.339508056640625,23.706647872924805,0.9658950567245483,True,0.0,1.0,0.093994140625,Otsu threshold after min-max scaling.,0.093994140625,0.088623046875,0.940337224383917,90,2
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,raw_mean_binary,True,0.72702556848526,6.484665870666504,11.129829406738281,0.367063045501709,False,0.0,1.0,0.16778564453125,Simple target-free mean threshold.,0.16778564453125,0.088623046875,0.5281920698435795,1297,0
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,raw_mean_plus_std_binary,True,0.8158607482910156,22.50545883178711,22.56561279296875,0.9583146572113037,True,0.0,1.0,0.09576416015625,Simple target-free mean plus one standard deviation threshold.,0.09576416015625,0.088623046875,0.9254302103250478,117,0
letter_A,best_trace_regen,nlm_allobjects/cfg0001,117,target_fraction_upper_bound,False,0.9334856056957506,11.033092498779297,26.167726516723633,0.9779509902000427,True,0.0,1.0,0.088623046875,Upper bound using the true target foreground fraction; not deployable.,0.088623046875,0.088623046875,0.9634888438133874,27,27
letter_L,best_final,nlm_allobjects/cfg0000,200,continuous,True,,12.796238899230957,11.924447059631348,0.07445986568927765,True,0.15950068831443787,0.5681775808334351,0.24382968246936798,Continuous URED output.,,0.087890625,,,
letter_L,best_final,nlm_allobjects/cfg0000,200,minmax_continuous,True,,12.796234130859375,16.50665283203125,0.11430882662534714,True,0.0,1.0,0.20634636282920837,Linear display scaling only.,,0.087890625,,,
letter_L,best_final,nlm_allobjects/cfg0000,200,raw_otsu_binary,True,0.36144453287124634,34.90959167480469,35.15449905395508,0.9978576898574829,True,0.0,1.0,0.08782958984375,Otsu threshold from reconstruction histogram only.,0.08782958984375,0.087890625,0.9965325936199723,2,3
letter_L,best_final,nlm_allobjects/cfg0000,200,minmax_otsu_binary,True,0.494140625,34.90959167480469,35.15449905395508,0.9978576898574829,True,0.0,1.0,0.08782958984375,Otsu threshold after min-max scaling.,0.08782958984375,0.087890625,0.9965325936199723,2,3
letter_L,best_final,nlm_allobjects/cfg0000,200,raw_mean_binary,True,0.24382968246936798,6.616840362548828,11.171626091003418,0.2832200527191162,False,0.0,1.0,0.16424560546875,Simple target-free mean threshold.,0.16424560546875,0.087890625,0.5351170568561873,1251,0
letter_L,best_final,nlm_allobjects/cfg0000,200,raw_mean_plus_std_binary,True,0.3306978940963745,31.629751205444336,31.352386474609375,0.9956215620040894,True,0.0,1.0,0.08837890625,Simple target-free mean plus one standard deviation threshold.,0.08837890625,0.087890625,0.9917241379310345,10,2
letter_L,best_final,nlm_allobjects/cfg0000,200,target_fraction_upper_bound,False,0.350434077961836,33.38899230957031,34.36268615722656,0.9976464509963989,True,0.0,1.0,0.087890625,Upper bound using the true target foreground fraction; not deployable.,0.087890625,0.087890625,0.9958419958419958,3,3
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,continuous,True,,21.110122680664062,4.124779224395752,0.08346117287874222,True,0.4878093898296356,1.0,0.681367039680481,Continuous URED output.,,0.087890625,,,
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,minmax_continuous,True,,21.110126495361328,10.24282455444336,0.11993647366762161,True,0.0,1.0,0.37790167331695557,Linear display scaling only.,,0.087890625,,,
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,raw_otsu_binary,True,0.8169318437576294,70.55021667480469,31.352386474609375,0.9943479299545288,True,0.0,1.0,0.088623046875,Otsu threshold from reconstruction histogram only.,0.088623046875,0.087890625,0.9917355371900827,12,0
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,minmax_otsu_binary,True,0.642578125,70.55021667480469,31.352386474609375,0.9943479299545288,True,0.0,1.0,0.088623046875,Otsu threshold after min-max scaling.,0.088623046875,0.087890625,0.9917355371900827,12,0
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,raw_mean_binary,True,0.681367039680481,11.260589599609375,15.545038223266602,0.8183788657188416,True,0.0,1.0,0.11578369140625,Simple target-free mean threshold.,0.11578369140625,0.087890625,0.7590933052187665,457,0
letter_L,best_trace_regen,nlm_allobjects/cfg0000,40,raw_mean_plus_std_binary,True,0.7830311059951782,48.85734176635742,28.164798736572266,0.989942729473114,True,0.0,1.0,0.08941650390625,Simple target-free mean plus one standard deviation threshold.,0.08941650390625,0.087890625,0.9829351535836177,25,0
