config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,best_trace_cnr_from_trace,best_trace_step,best_trace_cnr_audited,sweep,sweep_dir,final_hits_apl_min,trace_hits_apl_min,object_index,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.06,1.19109308719635,1.323632001876831,0.0122070088982582,0.0046857297420501,0.9740339702575446,4.575863361358643,0.0646071806550026,4.575863361358643,56,4.575863361358643,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0001,1,1,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.08,1.2179391384124756,1.2934242486953735,0.0095396153628826,0.0046857297420501,0.9740339702575446,5.16395902633667,0.0644613280892372,5.16395902633667,56,5.16395902633667,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0002,2,2,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.1,1.2155773639678955,1.2825887203216553,0.0077058500610291,0.0046857297420501,0.9740339702575446,5.028538703918457,0.0643272697925567,5.028538703918457,56,5.028538703918457,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0003,3,3,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.12,1.2041443586349487,1.2749512195587158,0.0063131414353847,0.0046857297420501,0.9740339702575446,4.788318634033203,0.0641774535179138,4.788318634033203,56,4.788318634033203,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0004,4,4,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.06,3.1665430068969727,7.203888893127441,0.1802272200584411,0.0046857297420501,0.9740339702575446,4.132753849029541,0.0006902093300595,4.132753849029541,36,4.132753849029541,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0005,5,5,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.08,3.4580090045928955,7.150504112243652,0.1642093062400818,0.0046857297420501,0.9740339702575446,4.55653715133667,0.0007326888735406,4.55653715133667,37,4.55653715133667,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0006,6,6,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.1,3.336608648300171,7.056990146636963,0.1432217955589294,0.0046857297420501,0.9740339702575446,4.427637100219727,0.0007391712861135,4.427637100219727,37,4.427637100219727,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0007,7,7,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.12,3.1222622394561768,6.949662208557129,0.1206507533788681,0.0046857297420501,0.9740339702575446,4.275529384613037,0.0007280859863385,4.275529384613037,9,4.275529384613037,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0008,8,8,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.06,2.6548967361450195,7.538924694061279,0.1855216026306152,0.0046857297420501,0.9740339702575446,3.617647886276245,0.000538924941793,3.617647886276245,38,3.617647886276245,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
cfg0009,9,9,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.08,2.7726287841796875,7.541992664337158,0.1802807599306106,0.0046857297420501,0.9740339702575446,3.805999755859375,0.0005659406888298,3.805999755859375,38,3.805999755859375,nlm_stripe,E:\GAN_FCC_WORK\github_sync\GI_a1_scgi_20260709_014434\scgi_repro\results\stage4_ured_sweep_nlm_r1_stripe,False,False,,,,,,,,,,,,,,,,,
