source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0040,1,2.5470783710479736,2.5470783710479736,7.469081401824951,7.469081401824951,0.1889322400093078,50,0.002,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0044,1,2.54227876663208,2.54227876663208,7.481967926025391,7.481967926025391,0.1888371109962463,50,0.002,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0056,1,2.5411057472229004,2.5411057472229004,7.461873054504394,7.461873054504394,0.1893335282802581,100,0.001,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0060,1,2.540457963943481,2.540457963943481,7.459011554718018,7.459011554718018,0.1891348659992218,100,0.001,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0076,1,2.5204875469207764,2.5204875469207764,7.444806575775146,7.444806575775146,0.1898103654384613,200,0.0005,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0016,1,2.51987361907959,2.51987361907959,7.451191425323486,7.451191425323486,0.1889147460460662,25,0.002,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0020,1,2.519848346710205,2.519848346710205,7.456765174865723,7.456765174865723,0.1891474723815918,25,0.002,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0072,1,2.519399642944336,2.519399642944336,7.446462631225586,7.446462631225586,0.1901257187128067,200,0.0005,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0032,1,2.5181703567504883,2.5181703567504883,7.468119144439697,7.468119144439697,0.1888153403997421,50,0.001,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0036,1,2.518120527267456,2.518120527267456,7.465219974517822,7.465219974517822,0.1889349371194839,50,0.001,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0048,1,2.5171873569488525,2.5171873569488525,7.467883110046387,7.467883110046387,0.1887602806091308,100,0.0005,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0052,1,2.517020463943481,2.517020463943481,7.466973781585693,7.466973781585693,0.1888167411088943,100,0.0005,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0054,1,2.513104200363159,2.513104200363159,7.469942569732666,7.469942569732666,0.1880423873662948,100,0.0005,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0050,1,2.513014793395996,2.513014793395996,7.469233989715576,7.469233989715576,0.1880607306957245,100,0.0005,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0038,1,2.5094234943389893,2.5094234943389893,7.462888240814209,7.462888240814209,0.1881431192159652,50,0.001,0.0,0.01,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0034,1,2.50883150100708,2.50883150100708,7.462234497070312,7.462234497070312,0.1881482601165771,50,0.001,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0042,1,2.5073561668396,2.5073561668396,7.5082926750183105,7.5082926750183105,0.19093057513237,50,0.002,0.0,0.0,0.1,32,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0012,1,2.5053024291992188,2.5053024291992188,7.428535461425781,7.428535461425781,0.1892364621162414,25,0.001,0.0,0.01,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
pro1_stage4_unn_stripe_puredata_colab_r1_shard0of2,cfg0008,1,2.504966974258423,2.504966974258423,7.438868522644043,7.438868522644043,0.1892232596874237,25,0.001,0.0,0.0,0.1,24,3,0.05,none,3,0.08,5,6,0.05,0.0
