source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard1of5,cfg0511,1,9.898012161254885,9.898012161254885,7.501806735992432,7.501806735992432,0.1895813196897506,33,0.00045,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0619,1,9.896873474121094,9.896873474121094,7.608677864074707,7.608677864074707,0.1894586682319641,33,0.0005,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0403,1,9.89420223236084,9.89420223236084,7.5246381759643555,7.5246381759643555,0.1899516135454177,32,0.0005,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0415,1,9.893163681030272,9.893163681030272,7.485614776611328,7.485614776611328,0.1892007887363433,32,0.0005,0.55,0.5,0.15,24,3,0.08,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r1_shard0of5,cfg0295,1,9.88865566253662,9.88865566253662,7.453673362731934,7.453673362731934,0.1900982409715652,32,0.00045,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0427,1,9.887775421142578,9.887775421142578,7.445759296417236,7.445759296417236,0.1885310858488083,32,0.0005,0.55,0.5,0.15,24,3,0.1,nlm,3,0.062,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard4of5,cfg0299,1,9.887048721313477,9.887048721313477,7.439208030700684,7.439208030700684,0.1870950311422348,32,0.00045,0.55,0.5,0.15,24,3,0.06,nlm,3,0.064,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0407,1,9.886557579040527,9.886557579040527,7.506825923919678,7.506825923919678,0.1869195401668548,32,0.0005,0.55,0.5,0.15,24,3,0.06,nlm,3,0.064,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard3of5,cfg0523,1,9.883490562438965,9.883490562438965,7.448465824127197,7.448465824127197,0.1886729300022125,33,0.00045,0.55,0.5,0.15,24,3,0.08,nlm,3,0.062,5,6,0.05,0.02
pro2_stage4_ured_continuous_binary_refine_colab_r1_shard2of5,cfg0307,1,9.88340187072754,9.88340187072754,7.370504379272461,7.370504379272461,0.1893306523561477,32,0.00045,0.55,0.5,0.15,24,3,0.08,nlm,3,0.062,5,6,0.05,0.02
