source_import,config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0635,1,9.92984676361084,9.92984676361084,7.611130714416504,7.611130714416504,0.191415473818779,32,0.0005,0.55,0.5,0.16,24,3,0.06,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1085,1,9.92567539215088,9.92567539215088,7.551820755004883,7.551820755004883,0.1921217590570449,33,0.00045,0.55,0.5,0.15,24,3,0.05,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0140,1,9.925529479980469,9.925529479980469,7.530484676361084,7.530484676361084,0.192163273692131,32,0.0004,0.55,0.5,0.16,24,3,0.05,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0845,1,9.9247407913208,9.9247407913208,7.500391960144043,7.500391960144043,0.1892789751291275,33,0.0004,0.55,0.5,0.15,24,3,0.05,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0125,1,9.923778533935549,9.923778533935549,7.449501037597656,7.449501037597656,0.1893795430660247,32,0.0004,0.55,0.5,0.15,24,3,0.06,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1790,1,9.920068740844728,9.920068740844728,7.531764984130859,7.531764984130859,0.189270868897438,34,0.00045,0.55,0.5,0.14,24,3,0.05,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0620,1,9.919268608093262,9.919268608093262,7.510103225708008,7.510103225708008,0.188616931438446,32,0.0005,0.55,0.5,0.15,24,3,0.07,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1070,1,9.919161796569824,9.919161796569824,7.447010040283203,7.447010040283203,0.1893862187862396,33,0.00045,0.55,0.5,0.14,24,3,0.06,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0625,1,9.9187593460083,9.9187593460083,7.593404769897461,7.593404769897461,0.1898729652166366,32,0.0005,0.55,0.5,0.16,24,3,0.05,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1340,1,9.91120433807373,9.91120433807373,7.613187313079834,7.613187313079834,0.1884958744049072,33,0.0005,0.55,0.5,0.15,24,3,0.06,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0860,1,9.90982437133789,9.90982437133789,7.420034885406494,7.420034885406494,0.1912764906883239,33,0.0004,0.55,0.5,0.15,24,3,0.07,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg2030,1,9.908321380615234,9.908321380615234,7.648459434509277,7.648459434509277,0.1921885013580322,34,0.0005,0.55,0.5,0.14,24,3,0.05,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0395,1,9.907143592834473,9.907143592834473,7.508382320404053,7.508382320404053,0.1885291039943695,32,0.00045,0.55,0.5,0.16,24,3,0.06,nlm,3,0.064,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0365,1,9.906801223754885,9.906801223754885,7.474954605102539,7.474954605102539,0.1921410113573074,32,0.00045,0.55,0.5,0.15,24,3,0.06,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg0400,1,9.905614852905272,9.905614852905272,7.473293304443359,7.473293304443359,0.1890163421630859,32,0.00045,0.55,0.5,0.16,24,3,0.07,nlm,3,0.062,5,6,0.05,0.02
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1805,1,9.904152870178224,9.904152870178224,7.497315883636475,7.497315883636475,0.1913540065288543,34,0.00045,0.55,0.5,0.14,24,3,0.07,nlm,3,0.062,5,6,0.05,0.025
pro1_stage4_ured_continuous_binary_refine_colab_r3grid_shard0of5,cfg1565,1,9.8953275680542,9.8953275680542,7.383609771728516,7.383609771728516,0.1884412467479705,34,0.0004,0.55,0.5,0.14,24,3,0.07,nlm,3,0.064,5,6,0.05,0.025
