config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0013,1,9.405051231384277,9.405051231384277,7.044744968414307,7.044744968414307,0.1815214604139328,36,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0012,1,9.19676399230957,9.19676399230957,6.350762844085693,6.350762844085693,0.1817178726196289,36,0.0003,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0019,1,9.195962905883789,9.195962905883789,7.763572692871094,7.763572692871094,0.17758476734161377,37,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0009,1,9.062421798706055,9.062421798706055,3.79197096824646,3.79197096824646,0.15532845258712769,35,0.00125,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0018,1,9.022566795349121,9.022566795349121,5.96172571182251,5.96172571182251,0.17709285020828247,37,0.0003,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0006,1,8.906062126159668,8.906062126159668,6.837549209594727,6.837549209594727,0.18645919859409332,35,0.0003,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0007,1,8.865257263183594,8.865257263183594,6.376010894775391,6.376010894775391,0.18379001319408417,35,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0016,1,8.807817459106445,8.807817459106445,3.37725830078125,3.37725830078125,0.13291922211647034,36,0.0015,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0028,1,8.759964942932129,8.759964942932129,5.922357559204102,5.922357559204102,0.16874447464942932,38,0.0015,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0024,1,8.700932502746582,8.700932502746582,5.704655647277832,5.704655647277832,0.1730678379535675,38,0.0003,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0023,1,8.406228065490723,8.406228065490723,3.2070884704589844,3.2070884704589844,0.12213848531246185,37,0.002,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0025,1,8.369674682617188,8.369674682617188,8.414944648742676,8.414944648742676,0.17126865684986115,38,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0022,1,8.227201461791992,8.227201461791992,4.422144412994385,4.422144412994385,0.16466976702213287,37,0.0015,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0030,1,8.207701683044434,8.207701683044434,5.6523847579956055,5.6523847579956055,0.16791465878486633,40,0.0003,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0029,1,8.18476390838623,8.18476390838623,4.863213539123535,4.863213539123535,0.16620776057243347,38,0.002,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0032,1,8.142770767211914,8.142770767211914,7.87324333190918,7.87324333190918,0.1656782031059265,40,0.00075,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0003,1,8.049322128295898,8.049322128295898,4.925209045410156,4.925209045410156,0.1753372997045517,34,0.00125,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0015,1,8.010695457458496,8.010695457458496,3.044389247894287,3.044389247894287,0.11183014512062073,36,0.00125,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0000,1,7.999966144561768,7.999966144561768,7.373037338256836,7.373037338256836,0.19071292877197266,34,0.0003,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0001,1,7.906920433044434,7.906920433044434,5.842259407043457,5.842259407043457,0.18517625331878662,34,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0033,1,7.801642894744873,7.801642894744873,4.059930801391602,4.059930801391602,0.15759532153606415,40,0.00125,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0035,1,7.72473669052124,7.72473669052124,9.002254486083984,9.002254486083984,0.16232183575630188,40,0.002,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0010,1,7.192526340484619,7.192526340484619,2.811020612716675,2.811020612716675,0.09534640610218048,35,0.0015,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0034,1,7.090058326721191,7.090058326721191,9.057144165039062,9.057144165039062,0.15600579977035522,40,0.0015,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0027,1,7.0175371170043945,7.0175371170043945,2.73642635345459,2.73642635345459,0.09204235672950745,38,0.00125,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0021,1,6.849172115325928,6.849172115325928,2.6937990188598633,2.6937990188598633,0.0883776843547821,37,0.00125,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0026,1,6.837234973907471,6.837234973907471,9.234617233276367,9.234617233276367,0.15583625435829163,38,0.00075,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0004,1,6.615024089813232,6.615024089813232,2.6858577728271484,2.6858577728271484,0.08631293475627899,34,0.0015,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0031,1,6.580655574798584,6.580655574798584,9.138093948364258,9.138093948364258,0.15250644087791443,40,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0002,1,6.43290901184082,6.43290901184082,9.610542297363281,9.610542297363281,0.16313400864601135,34,0.00075,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
