config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0007,1,9.502230644226074,9.502230644226074,7.259381294250488,7.259381294250488,0.18228685855865479,36,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0008,1,9.477010726928711,9.477010726928711,7.189765453338623,7.189765453338623,0.18201938271522522,36,0.0005,0.55,0.5,0.11,24,3,0.22,nlm,3,0.062,5,6
cfg0009,1,9.444565773010254,9.444565773010254,7.117913246154785,7.117913246154785,0.1817665696144104,36,0.0005,0.55,0.5,0.11,24,3,0.26,nlm,3,0.062,5,6
cfg0010,1,9.405051231384277,9.405051231384277,7.044744968414307,7.044744968414307,0.1815214604139328,36,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0011,1,9.361245155334473,9.361245155334473,6.97047758102417,6.97047758102417,0.18128085136413574,36,0.0005,0.55,0.5,0.11,24,3,0.34,nlm,3,0.062,5,6
cfg0014,1,9.333037376403809,9.333037376403809,7.6854376792907715,7.6854376792907715,0.1797179877758026,37,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0012,1,9.312056541442871,9.312056541442871,6.8958845138549805,6.8958845138549805,0.1810528039932251,36,0.0005,0.55,0.5,0.11,24,3,0.38,nlm,3,0.062,5,6
cfg0015,1,9.292667388916016,9.292667388916016,7.713794231414795,7.713794231414795,0.17899146676063538,37,0.0005,0.55,0.5,0.11,24,3,0.22,nlm,3,0.062,5,6
cfg0016,1,9.247148513793945,9.247148513793945,7.739458084106445,7.739458084106445,0.17828351259231567,37,0.0005,0.55,0.5,0.11,24,3,0.26,nlm,3,0.062,5,6
cfg0013,1,9.218186378479004,9.218186378479004,6.764549732208252,6.764549732208252,0.18068988621234894,36,0.0005,0.55,0.5,0.11,24,3,0.45,nlm,3,0.062,5,6
cfg0017,1,9.195962905883789,9.195962905883789,7.763572692871094,7.763572692871094,0.17758476734161377,37,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0018,1,9.140419960021973,9.140419960021973,7.786409854888916,7.786409854888916,0.17689278721809387,37,0.0005,0.55,0.5,0.11,24,3,0.34,nlm,3,0.062,5,6
cfg0000,1,9.093905448913574,9.093905448913574,6.870319843292236,6.870319843292236,0.18432436883449554,35,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0019,1,9.079315185546875,9.079315185546875,7.8087005615234375,7.8087005615234375,0.17620845139026642,37,0.0005,0.55,0.5,0.11,24,3,0.38,nlm,3,0.062,5,6
cfg0001,1,9.027691841125488,9.027691841125488,6.707080841064453,6.707080841064453,0.18417876958847046,35,0.0005,0.55,0.5,0.11,24,3,0.22,nlm,3,0.062,5,6
cfg0020,1,8.963223457336426,8.963223457336426,7.846543788909912,7.846543788909912,0.17503753304481506,37,0.0005,0.55,0.5,0.11,24,3,0.45,nlm,3,0.062,5,6
cfg0002,1,8.950959205627441,8.950959205627441,6.5420241355896,6.5420241355896,0.18400074541568756,35,0.0005,0.55,0.5,0.11,24,3,0.26,nlm,3,0.062,5,6
cfg0021,1,8.884709358215332,8.884709358215332,8.098136901855469,8.098136901855469,0.1765536218881607,38,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0003,1,8.865257263183594,8.865257263183594,6.376010894775391,6.376010894775391,0.18379001319408417,35,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0004,1,8.776134490966797,8.776134490966797,6.209382057189941,6.209382057189941,0.18354502320289612,35,0.0005,0.55,0.5,0.11,24,3,0.34,nlm,3,0.062,5,6
cfg0022,1,8.72880744934082,8.72880744934082,8.21030044555664,8.21030044555664,0.17488020658493042,38,0.0005,0.55,0.5,0.11,24,3,0.22,nlm,3,0.062,5,6
cfg0005,1,8.682916641235352,8.682916641235352,6.043038845062256,6.043038845062256,0.18328344821929932,35,0.0005,0.55,0.5,0.11,24,3,0.38,nlm,3,0.062,5,6
cfg0023,1,8.557084083557129,8.557084083557129,8.315584182739258,8.315584182739258,0.17312347888946533,38,0.0005,0.55,0.5,0.11,24,3,0.26,nlm,3,0.062,5,6
cfg0006,1,8.516069412231445,8.516069412231445,5.752862930297852,5.752862930297852,0.18279413878917694,35,0.0005,0.55,0.5,0.11,24,3,0.45,nlm,3,0.062,5,6
cfg0024,1,8.369674682617188,8.369674682617188,8.414944648742676,8.414944648742676,0.17126865684986115,38,0.0005,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0025,1,8.169490814208984,8.169490814208984,8.508392333984375,8.508392333984375,0.1693088561296463,38,0.0005,0.55,0.5,0.11,24,3,0.34,nlm,3,0.062,5,6
cfg0026,1,7.956880569458008,7.956880569458008,8.596208572387695,8.596208572387695,0.1672351211309433,38,0.0005,0.55,0.5,0.11,24,3,0.38,nlm,3,0.062,5,6
cfg0027,1,7.5646796226501465,7.5646796226501465,8.73569393157959,8.73569393157959,0.16332851350307465,38,0.0005,0.55,0.5,0.11,24,3,0.45,nlm,3,0.062,5,6
