config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.35,0.08,24,3,0.18,nlm,3,0.062,5,6,2.998457908630371,5.587434768676758,0.17985814809799194,0.004685699939727783,0.9740428844495653,6.0697102546691895,0.003955846652388573,0.6352666616439819,0.13921138644218445,0.03849214315414429,1.0,0.9615078568458557,0.20114010572433472,0.04216592758893967,0.014799902215600014,0.7096774578094482,0.2392578125,2.7170827388763428,0.0002277314488310367,0.0037281152326613665,0.003931763581931591,0.0010838690213859081,0.1368214637041092
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.35,0.09,24,3,0.18,nlm,3,0.062,5,6,3.180454730987549,5.441831588745117,0.18223285675048828,0.004685699939727783,0.9740428844495653,6.28847599029541,0.0051692575216293335,0.649273157119751,0.1415146291255951,0.06960820406675339,1.0,0.930391788482666,0.19851338863372803,0.042395979166030884,0.01566099002957344,0.7096774578094482,0.2525634765625,2.694352149963379,0.00022771496151108295,0.004941542632877827,0.004119649529457092,0.0009277053759433329,0.15627384185791016
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.35,0.11,24,3,0.18,nlm,3,0.062,5,6,4.311971187591553,5.570735454559326,0.1875719577074051,0.004685699939727783,0.9740428844495653,6.574337482452393,0.006012567784637213,0.6455327272415161,0.13195472955703735,0.142234206199646,1.0,0.857765793800354,0.15175199508666992,0.030479557812213898,0.015118035487830639,0.7096774578094482,0.2327880859375,2.4253227710723877,0.00022764422465115786,0.005784923676401377,0.004340013489127159,0.0005498562240973115,0.16311359405517578
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.35,0.13,24,3,0.18,nlm,3,0.062,5,6,7.178561210632324,6.0306315422058105,0.18675315380096436,0.004685699939727783,0.9740428844495653,7.178561210632324,0.005340247880667448,0.6119153499603271,0.11668401956558228,0.276394784450531,1.0,0.723605215549469,0.10554880648851395,0.01890004239976406,0.013293642550706863,0.6774193644523621,0.216064453125,1.9633865356445312,0.00022754860401619226,0.00511269923299551,0.004324052948504686,0.00025425205240026116,0.14311015605926514
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.35,0.14,24,3,0.18,nlm,3,0.062,5,6,7.801429271697998,6.307653903961182,0.18306535482406616,0.004685699939727783,0.9740428844495653,7.801429271697998,0.004889159929007292,0.5889142751693726,0.11159759759902954,0.2754269540309906,0.929271936416626,0.653844952583313,0.10812586545944214,0.017208563163876534,0.012246946804225445,0.6451612710952759,0.21435546875,1.9579367637634277,0.00022749704658053815,0.004661662969738245,0.004303324036300182,0.0001612463383935392,0.1310000717639923
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.4,0.08,24,3,0.18,nlm,3,0.062,5,6,3.3041908740997314,5.417512893676758,0.18290123343467712,0.004685699939727783,0.9740428844495653,6.411988735198975,0.006009144242852926,0.6519837975502014,0.14067941904067993,0.1277933567762375,1.0,0.8722066283226013,0.2006097137928009,0.04091355949640274,0.015458318404853344,0.7096774578094482,0.2564697265625,2.7134642601013184,0.00022774949320591986,0.005781394895166159,0.004153984598815441,0.0008882995462045074,0.1593148410320282
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.4,0.09,24,3,0.18,nlm,3,0.062,5,6,3.8009207248687744,5.456056118011475,0.18604348599910736,0.004685699939727783,0.9740428844495653,6.521604061126709,0.0067380983382463455,0.6524665355682373,0.13692954182624817,0.14523817598819733,1.0,0.8547618389129639,0.1795625388622284,0.0355164110660553,0.015475860796868801,0.7096774578094482,0.24444580078125,2.6075210571289062,0.0002277088351547718,0.006510389503091574,0.004282744601368904,0.0006677461205981672,0.1659587025642395
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.4,0.11,24,3,0.18,nlm,3,0.062,5,6,6.081822395324707,5.911739349365234,0.18855300545692444,0.004685699939727783,0.9740428844495653,6.7551374435424805,0.006094855256378651,0.6214255094528198,0.121089868247509,0.27293622493743896,1.0,0.727063775062561,0.11474637687206268,0.021546991541981697,0.013928513042628765,0.6774193644523621,0.222412109375,2.1099984645843506,0.00022760388674214482,0.005867251195013523,0.004347447771579027,0.0002911773626692593,0.14754390716552734
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.4,0.13,24,3,0.18,nlm,3,0.062,5,6,8.484598159790039,6.578263759613037,0.18250826001167297,0.004685699939727783,0.9740428844495653,8.484598159790039,0.004610832780599594,0.5677057504653931,0.10788796097040176,0.2583742141723633,0.8898386359214783,0.631464421749115,0.09730486571788788,0.01583261601626873,0.011607596650719643,0.6451612710952759,0.2117919921875,1.8077929019927979,0.000227490090765059,0.004383342806249857,0.004344480112195015,0.00010114886390510947,0.1162976324558258
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.4,0.14,24,3,0.18,nlm,3,0.062,5,6,7.116308212280273,6.909202575683594,0.1778588593006134,0.004685699939727783,0.9740428844495653,8.656475067138672,0.004076015669852495,0.5391382575035095,0.10435900837182999,0.24896152317523956,0.8298377990722656,0.5808762907981873,0.10869458317756653,0.015921596437692642,0.010560305789113045,0.5806452035903931,0.2164306640625,1.965212106704712,0.00022743262525182217,0.0038485832046717405,0.00436745211482048,7.302536687348038e-05,0.10669960081577301
cfg0010,10,10,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.5,0.08,24,3,0.18,nlm,3,0.062,5,6,4.341929912567139,5.6145524978637695,0.1885976791381836,0.004685699939727783,0.9740428844495653,7.162217140197754,0.008158856071531773,0.6425141096115112,0.13263647258281708,0.22643978893756866,1.0,0.7735602259635925,0.16809919476509094,0.030832603573799133,0.014994313009083271,0.7096774578094482,0.23126220703125,2.5491185188293457,0.00022771921067032963,0.007931136526167393,0.004318231716752052,0.0004391737747937441,0.16169269382953644
cfg0011,11,11,20240710,stripe_target,1,scgi_ured,35,0.0005,0.55,0.5,0.09,24,3,0.18,nlm,3,0.062,5,6,5.538564205169678,5.97876501083374,0.18936428427696228,0.004685699939727783,0.9740428844495653,7.245396137237549,0.006969165056943893,0.6160711050033569,0.12284094095230103,0.2640202045440674,1.0,0.7359797954559326,0.1325986683368683,0.02334573119878769,0.013918502256274223,0.6774193644523621,0.22216796875,2.2735705375671387,0.00022764864843338728,0.006741516292095184,0.004344032146036625,0.000238159263972193,0.14252254366874695
