config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0037,1,9.502230644226074,9.502230644226074,7.259381294250488,7.259381294250488,0.18228685855865479,36,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0062,1,9.333037376403809,9.333037376403809,7.6854376792907715,7.6854376792907715,0.1797179877758026,37,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0013,1,9.308194160461426,9.308194160461426,7.632123947143555,7.632123947143555,0.17696934938430786,35,0.0005,0.55,0.5,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0014,1,9.202422142028809,9.202422142028809,7.899941921234131,7.899941921234131,0.17459902167320251,35,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0012,1,9.093905448913574,9.093905448913574,6.870319843292236,6.870319843292236,0.18432436883449554,35,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0038,1,9.067367553710938,9.067367553710938,7.983526706695557,7.983526706695557,0.17471382021903992,36,0.0005,0.55,0.5,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0039,1,8.972884178161621,8.972884178161621,8.189159393310547,8.189159393310547,0.17308147251605988,36,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0063,1,8.855025291442871,8.855025291442871,8.286138534545898,8.286138534545898,0.17259928584098816,37,0.0005,0.55,0.5,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0008,1,8.484598159790039,8.484598159790039,6.578263759613037,6.578263759613037,0.18250826001167297,35,0.0005,0.55,0.4,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0064,1,8.414892196655273,8.414892196655273,8.406012535095215,8.406012535095215,0.17214103043079376,37,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0057,1,8.316509246826172,8.316509246826172,6.422607421875,6.422607421875,0.18658959865570068,37,0.0005,0.55,0.4,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0017,1,8.172414779663086,8.172414779663086,7.7229814529418945,7.7229814529418945,0.18025478720664978,35,0.0005,0.55,0.6,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0066,1,8.093718528747559,8.093718528747559,7.620782375335693,7.620782375335693,0.18410277366638184,37,0.0005,0.55,0.6,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0028,1,7.86325740814209,7.86325740814209,6.248257637023926,6.248257637023926,0.1846509873867035,36,0.0005,0.55,0.35,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0042,1,7.837002277374268,7.837002277374268,8.064805030822754,8.064805030822754,0.17814302444458008,36,0.0005,0.55,0.6,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0004,1,7.801429271697998,7.801429271697998,6.307653903961182,6.307653903961182,0.18306535482406616,35,0.0005,0.55,0.35,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0041,1,7.588439464569092,7.588439464569092,7.181731224060059,7.181731224060059,0.18599994480609894,36,0.0005,0.55,0.6,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0033,1,7.449298858642578,7.449298858642578,6.921782493591309,6.921782493591309,0.17962637543678284,36,0.0005,0.55,0.4,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0061,1,7.388984680175781,7.388984680175781,6.5651421546936035,6.5651421546936035,0.1887182891368866,37,0.0005,0.55,0.5,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0032,1,7.2641191482543945,7.2641191482543945,6.1039886474609375,6.1039886474609375,0.18779566884040833,36,0.0005,0.55,0.4,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0067,1,7.220436096191406,7.220436096191406,8.347440719604492,8.347440719604492,0.176011860370636,37,0.0005,0.55,0.6,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0003,1,7.178561210632324,7.178561210632324,6.0306315422058105,6.0306315422058105,0.18675315380096436,35,0.0005,0.55,0.35,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0071,1,7.178241729736328,7.178241729736328,7.995695114135742,7.995695114135742,0.1814887821674347,37,0.0005,0.55,0.65,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0046,1,7.160856246948242,7.160856246948242,7.592232704162598,7.592232704162598,0.18384703993797302,36,0.0005,0.55,0.65,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0053,1,7.144242286682129,7.144242286682129,6.580185890197754,6.580185890197754,0.18189281225204468,37,0.0005,0.55,0.35,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0009,1,7.116308212280273,7.116308212280273,6.909202575683594,6.909202575683594,0.1778588593006134,35,0.0005,0.55,0.4,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0016,1,6.906861305236816,6.906861305236816,6.789201736450195,6.789201736450195,0.1872885376214981,35,0.0005,0.55,0.6,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0021,1,6.872498989105225,6.872498989105225,7.187593460083008,7.187593460083008,0.18559660017490387,35,0.0005,0.55,0.65,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0070,1,6.847265720367432,6.847265720367432,7.421317100524902,7.421317100524902,0.1866779923439026,37,0.0005,0.55,0.65,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0065,1,6.797622203826904,6.797622203826904,6.953175067901611,6.953175067901611,0.18870219588279724,37,0.0005,0.55,0.6,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0029,1,6.687403678894043,6.687403678894043,6.592197418212891,6.592197418212891,0.17973116040229797,36,0.0005,0.55,0.35,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0022,1,6.57734489440918,6.57734489440918,7.9995036125183105,7.9995036125183105,0.1790732592344284,35,0.0005,0.55,0.65,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0018,1,6.415530204772949,6.415530204772949,8.18211841583252,8.18211841583252,0.17689108848571777,35,0.0005,0.55,0.6,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0036,1,6.377953052520752,6.377953052520752,6.209945201873779,6.209945201873779,0.18917781114578247,36,0.0005,0.55,0.5,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0045,1,6.3742547035217285,6.3742547035217285,6.977756500244141,6.977756500244141,0.1880250722169876,36,0.0005,0.55,0.65,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0058,1,6.262977600097656,6.262977600097656,7.331583499908447,7.331583499908447,0.17626437544822693,37,0.0005,0.55,0.4,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0040,1,6.1023664474487305,6.1023664474487305,6.540071487426758,6.540071487426758,0.1893404871225357,36,0.0005,0.55,0.6,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0007,1,6.081822395324707,6.081822395324707,5.911739349365234,5.911739349365234,0.18855300545692444,35,0.0005,0.55,0.4,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0047,1,6.017625331878662,6.017625331878662,8.260988235473633,8.260988235473633,0.17741702497005463,36,0.0005,0.55,0.65,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0034,1,6.016117572784424,6.016117572784424,7.280299186706543,7.280299186706543,0.17447927594184875,36,0.0005,0.55,0.4,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0052,1,5.918619155883789,5.918619155883789,5.735918045043945,5.735918045043945,0.1884211003780365,37,0.0005,0.55,0.35,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0020,1,5.836928844451904,5.836928844451904,6.601459503173828,6.601459503173828,0.18881350755691528,35,0.0005,0.55,0.65,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0043,1,5.624660015106201,5.624660015106201,8.341176986694336,8.341176986694336,0.1764584332704544,36,0.0005,0.55,0.6,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0011,1,5.538564205169678,5.538564205169678,5.97876501083374,5.97876501083374,0.18936428427696228,35,0.0005,0.55,0.5,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0015,1,5.4712443351745605,5.4712443351745605,6.231173992156982,6.231173992156982,0.1896120011806488,35,0.0005,0.55,0.6,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0072,1,5.404075622558594,5.404075622558594,8.440688133239746,8.440688133239746,0.17618921399116516,37,0.0005,0.55,0.65,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0060,1,5.391932487487793,5.391932487487793,5.908811569213867,5.908811569213867,0.1900145560503006,37,0.0005,0.55,0.5,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0019,1,5.380731105804443,5.380731105804443,8.244282722473145,8.244282722473145,0.1774628758430481,35,0.0005,0.55,0.6,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0054,1,5.332559585571289,5.332559585571289,6.966300964355469,6.966300964355469,0.17579272389411926,37,0.0005,0.55,0.35,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0059,1,5.247734069824219,5.247734069824219,7.6809000968933105,7.6809000968933105,0.17085939645767212,37,0.0005,0.55,0.4,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0027,1,5.012462139129639,5.012462139129639,5.582361221313477,5.582361221313477,0.18803825974464417,36,0.0005,0.55,0.35,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0068,1,4.930253982543945,4.930253982543945,8.408690452575684,8.408690452575684,0.17682582139968872,37,0.0005,0.55,0.6,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0023,1,4.824157238006592,4.824157238006592,8.244048118591309,8.244048118591309,0.17822517454624176,35,0.0005,0.55,0.65,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0035,1,4.811795234680176,4.811795234680176,5.6898698806762695,5.6898698806762695,0.18926256895065308,36,0.0005,0.55,0.5,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0056,1,4.735415935516357,4.735415935516357,5.442557334899902,5.442557334899902,0.1877402812242508,37,0.0005,0.55,0.4,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0044,1,4.722017288208008,4.722017288208008,8.308721542358398,8.308721542358398,0.17807884514331818,36,0.0005,0.55,0.6,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0010,1,4.341929912567139,4.341929912567139,5.6145524978637695,5.6145524978637695,0.1885976791381836,35,0.0005,0.55,0.5,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0048,1,4.333859443664551,4.333859443664551,8.298144340515137,8.298144340515137,0.17871615290641785,36,0.0005,0.55,0.65,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0002,1,4.311971187591553,4.311971187591553,5.570735454559326,5.570735454559326,0.1875719577074051,35,0.0005,0.55,0.35,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0031,1,4.2222700119018555,4.2222700119018555,5.377157211303711,5.377157211303711,0.18652579188346863,36,0.0005,0.55,0.4,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0069,1,4.221150875091553,4.221150875091553,8.278936386108398,8.278936386108398,0.17939573526382446,37,0.0005,0.55,0.6,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0024,1,4.2117438316345215,4.2117438316345215,8.2050142288208,8.2050142288208,0.1797483116388321,35,0.0005,0.55,0.65,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0073,1,3.9620306491851807,3.9620306491851807,8.258581161499023,8.258581161499023,0.17990276217460632,37,0.0005,0.55,0.65,0.13,24,3,0.18,nlm,3,0.062,5,6
cfg0049,1,3.8714101314544678,3.8714101314544678,8.166991233825684,8.166991233825684,0.18094953894615173,36,0.0005,0.55,0.65,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0055,1,3.8613476753234863,3.8613476753234863,5.069976329803467,5.069976329803467,0.18248364329338074,37,0.0005,0.55,0.4,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0006,1,3.8009207248687744,3.8009207248687744,5.456056118011475,5.456056118011475,0.18604348599910736,35,0.0005,0.55,0.4,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0051,1,3.7405214309692383,3.7405214309692383,5.04770040512085,5.04770040512085,0.18143711984157562,37,0.0005,0.55,0.35,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0074,1,3.6472740173339844,3.6472740173339844,8.041008949279785,8.041008949279785,0.18247470259666443,37,0.0005,0.55,0.65,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0030,1,3.5584840774536133,3.5584840774536133,5.175843715667725,5.175843715667725,0.18214833736419678,36,0.0005,0.55,0.4,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0026,1,3.430180549621582,3.430180549621582,5.178144454956055,5.178144454956055,0.18129496276378632,36,0.0005,0.55,0.35,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0050,1,3.3066678047180176,3.3066678047180176,4.888372898101807,4.888372898101807,0.1760779321193695,37,0.0005,0.55,0.35,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0005,1,3.3041908740997314,3.3041908740997314,5.417512893676758,5.417512893676758,0.18290123343467712,35,0.0005,0.55,0.4,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0001,1,3.180454730987549,3.180454730987549,5.441831588745117,5.441831588745117,0.18223285675048828,35,0.0005,0.55,0.35,0.09,24,3,0.18,nlm,3,0.062,5,6
cfg0025,1,3.129225492477417,3.129225492477417,5.17948579788208,5.17948579788208,0.1779721975326538,36,0.0005,0.55,0.35,0.08,24,3,0.18,nlm,3,0.062,5,6
cfg0000,1,2.998457908630371,2.998457908630371,5.587434768676758,5.587434768676758,0.17985814809799194,35,0.0005,0.55,0.35,0.08,24,3,0.18,nlm,3,0.062,5,6
