object,object_index,method,lambda_true,lambda_analytic,cnr,psnr,ssim,ks_d,ks_p
letter_A,0,static,0.9995262026786804,0.9995260238647461,9.902791976928711,20.65721893310547,0.014538061805069447,0.002833634614944458,1.0
letter_A,0,dynamic,0.9995262026786804,0.9995260238647461,1.7377375364303589,6.322279453277588,0.001714877551421523,0.28005316853523254,0.0
letter_A,0,scgi,0.9995262026786804,0.9995260238647461,9.909289360046387,20.65723419189453,0.014537383802235126,0.0029279589653015137,1.0
letter_A,0,analytic,0.9995262026786804,0.9995260238647461,9.909464836120605,20.657581329345703,0.014538120478391647,0.0029163658618927,1.0
letter_A,0,oracle,0.9995262026786804,0.9995260238647461,9.902806282043457,20.657270431518555,0.014538174495100975,0.002833634614944458,1.0
stripe_target,1,static,0.999625027179718,0.999625027179718,2.4918534755706787,7.455491065979004,0.19023993611335754,0.004820346832275391,0.9340347226291853
stripe_target,1,dynamic,0.999625027179718,0.999625027179718,-0.009432906284928322,5.890067100524902,0.001240862999111414,0.24714422225952148,0.0
stripe_target,1,scgi,0.999625027179718,0.999625027179718,2.491952896118164,7.457518100738525,0.19025468826293945,0.004685699939727783,0.9740428844495653
stripe_target,1,analytic,0.999625027179718,0.999625027179718,2.491960048675537,7.460762023925781,0.19025248289108276,0.00464320182800293,0.9867794469059143
stripe_target,1,oracle,0.999625027179718,0.999625027179718,2.491827964782715,7.455063343048096,0.1902121603488922,0.004818081855773926,0.9347031253999258
letter_L,2,static,0.9998273253440857,0.9998273253440857,3.5482094287872314,8.70678424835205,0.05949901044368744,0.004674375057220459,0.9774320713435642
letter_L,2,dynamic,0.9998273253440857,0.9998273253440857,0.04880340024828911,5.765266418457031,0.002853265032172203,0.14167067408561707,4.757497282031966e-286
letter_L,2,scgi,0.9998273253440857,0.9998273253440857,3.5481507778167725,8.708688735961914,0.05948895215988159,0.004587233066558838,1.0
letter_L,2,analytic,0.9998273253440857,0.9998273253440857,3.548159599304199,8.707436561584473,0.05949573963880539,0.004592239856719971,1.0
letter_L,2,oracle,0.9998273253440857,0.9998273253440857,3.5481951236724854,8.707120895385742,0.0594925656914711,0.004674375057220459,0.9774320713435642
ring,3,static,0.9998131990432739,0.9998131990432739,2.9818625450134277,8.290467262268066,0.08628064393997192,0.003755509853363037,1.0
ring,3,dynamic,0.9998131990432739,0.9998131990432739,0.02461627498269081,5.812776565551758,0.0025911417324095964,0.1507193148136139,1e-323
ring,3,scgi,0.9998131990432739,0.9998131990432739,2.981935977935791,8.290132522583008,0.08629503846168518,0.003703176975250244,1.0
ring,3,analytic,0.9998131990432739,0.9998131990432739,2.981903076171875,8.28768539428711,0.08627333492040634,0.0037693381309509277,1.0
ring,3,oracle,0.9998131990432739,0.9998131990432739,2.981898307800293,8.290549278259277,0.08629493415355682,0.003755509853363037,1.0
