config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,otsu_temperature,binary_prior_weight,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_binary_prior_loss,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,2.429032802581787,7.726156234741211,0.1992798149585724,0.004685699939727783,0.9740428844495653,2.845684289932251,0.0005411996971815825,0.46671217679977417,0.1542457491159439,0.007092375308275223,0.9544265866279602,0.9473342299461365,0.2833715081214905,0.0649581253528595,0.018307220190763474,0.4838709533214569,0.41387939453125,2.95628023147583,0.00022773654200136662,0.0003134631842840463,0.11023268848657608,0.0,0.00019531883299350739,0.028495237231254578
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,2.4110264778137207,7.692403316497803,0.19703155755996704,0.004685699939727783,0.9740428844495653,2.8011624813079834,0.00048633915139362216,0.46849340200424194,0.1520456224679947,0.00845065526664257,0.9557019472122192,0.9472513198852539,0.2794357240200043,0.063003309071064,0.017161285504698753,0.4838709533214569,0.415771484375,2.9612653255462646,0.00022773213277105242,0.00025860703317448497,0.07472614198923111,0.0,0.00017091298650484532,0.025404848158359528
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.06,0.0,2.3907430171966553,7.633371829986572,0.1942751705646515,0.004685699939727783,0.9740428844495653,2.7468955516815186,0.0004335512057878077,0.47176632285118103,0.1498568207025528,0.009688446298241615,0.958163321018219,0.9484748840332031,0.2754063010215759,0.06121046468615532,0.016315409913659096,0.4838709533214569,0.42205810546875,2.954153537750244,0.00022773086675442755,0.00020582033903338015,0.048633161932229996,0.0,0.00015323032857850194,0.022317660972476006
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,otsu_soft,3,0.062,5,6,0.08,0.0,2.377257823944092,7.599250793457031,0.19198548793792725,0.004685699939727783,0.9740428844495653,2.7035317420959473,0.00041176771628670394,0.47339022159576416,0.14775601029396057,0.010685325600206852,0.9597663283348083,0.9490810036659241,0.2711518108844757,0.059456124901771545,0.015650251880288124,0.4838709533214569,0.42425537109375,2.942483901977539,0.00022772746160626411,0.00018404025468043983,0.030927862972021103,0.0,0.00013644043065141886,0.02096841111779213
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.02,0.0,2.8355958461761475,8.142865180969238,0.2106846421957016,0.004685699939727783,0.9740428844495653,4.161823749542236,0.0006274511106312275,0.4490477442741394,0.1484518051147461,0.0003468003123998642,0.9496777653694153,0.9493309855461121,0.254833459854126,0.054823197424411774,0.01620667800307274,0.4838709533214569,0.32965087890625,2.9071078300476074,0.00022774847457185388,0.0003997026360593736,0.15699023008346558,0.0,0.0004947330453433096,0.03334789350628853
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.04,0.0,2.7123773097991943,8.018775939941406,0.20537571609020233,0.004685699939727783,0.9740428844495653,3.797811269760132,0.0005553259397856891,0.45373791456222534,0.1474306285381317,0.0016229640459641814,0.9517517685890198,0.9501287937164307,0.2572164237499237,0.05522732436656952,0.01581072248518467,0.4838709533214569,0.35040283203125,2.913745164871216,0.00022774965327698737,0.00032757630106061697,0.11044342815876007,0.0,0.0004292014637030661,0.030093088746070862
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.06,0.0,2.623154640197754,7.881608009338379,0.20008976757526398,0.004685699939727783,0.9740428844495653,3.501298189163208,0.00048301825881935656,0.4599992334842682,0.14544589817523956,0.004280168563127518,0.9554171562194824,0.9511370062828064,0.25655218958854675,0.054588738828897476,0.015169921331107616,0.4838709533214569,0.37152099609375,2.9092278480529785,0.00022774416720494628,0.0002552740916144103,0.06799597293138504,0.0,0.00035016017500311136,0.026151053607463837
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.05,24,3,0.08,nlm_otsu_soft,3,0.062,5,6,0.08,0.0,2.5667402744293213,7.78064489364624,0.19595320522785187,0.004685699939727783,0.9740428844495653,3.304227113723755,0.00043729579192586243,0.4647713005542755,0.14347708225250244,0.00801739003509283,0.9585603475570679,0.9505429863929749,0.254644513130188,0.053611934185028076,0.01466611959040165,0.4838709533214569,0.38525390625,2.9010543823242188,0.0002277370949741453,0.00020955869695171714,0.05112464725971222,0.0,0.0002893062774091959,0.023274963721632957
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.02,0.0,2.802567481994629,7.351763725280762,0.21880576014518738,0.004685699939727783,0.9740428844495653,2.802567481994629,0.000835090409964323,0.515066385269165,0.16918742656707764,0.0,1.0,1.0,0.2898026406764984,0.0714723989367485,0.022889278829097748,0.5483871102333069,0.33563232421875,2.977565050125122,0.00022784485190641135,0.0006072455435059965,0.11526615917682648,0.0,0.0003878425050061196,0.03790026903152466
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,32,0.0005,0.05,0.5,0.1,24,3,0.08,otsu_soft,3,0.062,5,6,0.04,0.0,2.7468385696411133,7.210689067840576,0.21409955620765686,0.004685699939727783,0.9740428844495653,2.751427173614502,0.0009073374094441533,0.5222282409667969,0.1673934906721115,0.0,1.0,1.0,0.2923501133918762,0.07079499959945679,0.02131451666355133,0.5483871102333069,0.37030029296875,3.017889976501465,0.00022783875465393066,0.0006794986547902226,0.07217545807361603,0.0,0.00034383428283035755,0.04324153810739517
