config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0048,1,9.670024871826172,9.670024871826172,7.307069301605225,7.307069301605225,0.18241125345230103,32,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6
cfg0049,1,9.65918254852295,9.65918254852295,7.169196605682373,7.169196605682373,0.18153470754623413,32,0.0005,0.55,0.5,0.14,24,3,0.12,nlm,3,0.062,5,6
cfg0080,1,9.637019157409668,9.637019157409668,7.41023063659668,7.41023063659668,0.18110808730125427,33,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6
cfg0050,1,9.628478050231934,9.628478050231934,7.031050205230713,7.031050205230713,0.1807936728000641,32,0.0005,0.55,0.5,0.14,24,3,0.16,nlm,3,0.062,5,6
cfg0081,1,9.61530590057373,9.61530590057373,7.345429420471191,7.345429420471191,0.1799033284187317,33,0.0005,0.55,0.5,0.14,24,3,0.12,nlm,3,0.062,5,6
cfg0051,1,9.606440544128418,9.606440544128418,6.961277008056641,6.961277008056641,0.18043863773345947,32,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0060,1,9.59762954711914,9.59762954711914,7.824616432189941,7.824616432189941,0.18366846442222595,32,0.0005,0.55,0.5,0.14,32,4,0.08,nlm,3,0.062,5,6
cfg0082,1,9.580857276916504,9.580857276916504,7.278270244598389,7.278270244598389,0.1788598597049713,33,0.0005,0.55,0.5,0.14,24,3,0.16,nlm,3,0.062,5,6
cfg0083,1,9.560054779052734,9.560054779052734,7.243556022644043,7.243556022644043,0.17836280167102814,33,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0112,1,9.557632446289062,9.557632446289062,7.542398452758789,7.542398452758789,0.18024207651615143,34,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6
cfg0144,1,9.547019958496094,9.547019958496094,7.830269813537598,7.830269813537598,0.17999793589115143,36,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6
cfg0148,1,9.537096977233887,9.537096977233887,7.988771438598633,7.988771438598633,0.1921282708644867,36,0.0005,0.55,0.5,0.14,24,4,0.08,nlm,3,0.062,5,6
cfg0029,1,9.53068733215332,9.53068733215332,7.732982158660889,7.732982158660889,0.1817389875650406,31,0.0005,0.55,0.5,0.14,32,4,0.12,nlm,3,0.062,5,6
cfg0056,1,9.526479721069336,9.526479721069336,7.936477184295654,7.936477184295654,0.178978830575943,32,0.0005,0.55,0.5,0.14,32,3,0.08,nlm,3,0.062,5,6
cfg0129,1,9.523033142089844,9.523033142089844,7.3566694259643555,7.3566694259643555,0.18275466561317444,36,0.0005,0.55,0.5,0.11,24,3,0.12,nlm,3,0.062,5,6
cfg0128,1,9.517387390136719,9.517387390136719,7.414273262023926,7.414273262023926,0.18320953845977783,36,0.0005,0.55,0.5,0.11,24,3,0.08,nlm,3,0.062,5,6
cfg0130,1,9.510161399841309,9.510161399841309,7.293252944946289,7.293252944946289,0.18242761492729187,36,0.0005,0.55,0.5,0.11,24,3,0.16,nlm,3,0.062,5,6
cfg0030,1,9.507342338562012,9.507342338562012,7.806233882904053,7.806233882904053,0.18093392252922058,31,0.0005,0.55,0.5,0.14,32,4,0.16,nlm,3,0.062,5,6
cfg0131,1,9.502230644226074,9.502230644226074,7.259381294250488,7.259381294250488,0.18228685855865479,36,0.0005,0.55,0.5,0.11,24,3,0.18,nlm,3,0.062,5,6
cfg0113,1,9.494193077087402,9.494193077087402,7.557304382324219,7.557304382324219,0.17861047387123108,34,0.0005,0.55,0.5,0.14,24,3,0.12,nlm,3,0.062,5,6
cfg0028,1,9.493409156799316,9.493409156799316,7.651401519775391,7.651401519775391,0.18282243609428406,31,0.0005,0.55,0.5,0.14,32,4,0.08,nlm,3,0.062,5,6
cfg0092,1,9.477636337280273,9.477636337280273,7.984218120574951,7.984218120574951,0.18503108620643616,33,0.0005,0.55,0.5,0.14,32,4,0.08,nlm,3,0.062,5,6
cfg0124,1,9.472561836242676,9.472561836242676,8.10999870300293,8.10999870300293,0.18690556287765503,34,0.0005,0.55,0.5,0.14,32,4,0.08,nlm,3,0.062,5,6
cfg0031,1,9.472275733947754,9.472275733947754,7.841117858886719,7.841117858886719,0.18059463798999786,31,0.0005,0.55,0.5,0.14,32,4,0.18,nlm,3,0.062,5,6
cfg0061,1,9.47132682800293,9.47132682800293,7.998352527618408,7.998352527618408,0.18342667818069458,32,0.0005,0.55,0.5,0.14,32,4,0.12,nlm,3,0.062,5,6
cfg0024,1,9.430885314941406,9.430885314941406,7.898606777191162,7.898606777191162,0.18104064464569092,31,0.0005,0.55,0.5,0.14,32,3,0.08,nlm,3,0.062,5,6
cfg0149,1,9.420696258544922,9.420696258544922,8.168481826782227,8.168481826782227,0.19520357251167297,36,0.0005,0.55,0.5,0.14,24,4,0.12,nlm,3,0.062,5,6
cfg0114,1,9.413801193237305,9.413801193237305,7.56730842590332,7.56730842590332,0.17712774872779846,34,0.0005,0.55,0.5,0.14,24,3,0.16,nlm,3,0.062,5,6
cfg0156,1,9.399022102355957,9.399022102355957,8.202285766601562,8.202285766601562,0.1918027400970459,36,0.0005,0.55,0.5,0.14,32,4,0.08,nlm,3,0.062,5,6
cfg0025,1,9.398449897766113,9.398449897766113,8.134143829345703,8.134143829345703,0.17859992384910583,31,0.0005,0.55,0.5,0.14,32,3,0.12,nlm,3,0.062,5,6
cfg0115,1,9.368614196777344,9.368614196777344,7.570646286010742,7.570646286010742,0.17640677094459534,34,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0145,1,9.367350578308105,9.367350578308105,7.983990669250488,7.983990669250488,0.17728260159492493,36,0.0005,0.55,0.5,0.14,24,3,0.12,nlm,3,0.062,5,6
cfg0152,1,9.3624849319458,9.3624849319458,7.634832382202148,7.634832382202148,0.17664244771003723,36,0.0005,0.55,0.5,0.14,32,3,0.08,nlm,3,0.062,5,6
cfg0088,1,9.350089073181152,9.350089073181152,7.927247047424316,7.927247047424316,0.17740988731384277,33,0.0005,0.55,0.5,0.14,32,3,0.08,nlm,3,0.062,5,6
cfg0057,1,9.344361305236816,9.344361305236816,8.133199691772461,8.133199691772461,0.17604370415210724,32,0.0005,0.55,0.5,0.14,32,3,0.12,nlm,3,0.062,5,6
cfg0136,1,9.328042030334473,9.328042030334473,8.06917953491211,8.06917953491211,0.17944666743278503,36,0.0005,0.55,0.5,0.11,32,3,0.08,nlm,3,0.062,5,6
cfg0116,1,9.320853233337402,9.320853233337402,8.295289993286133,8.295289993286133,0.18782585859298706,34,0.0005,0.55,0.5,0.14,24,4,0.08,nlm,3,0.062,5,6
cfg0062,1,9.29551887512207,9.29551887512207,8.158914566040039,8.158914566040039,0.18339140713214874,32,0.0005,0.55,0.5,0.14,32,4,0.16,nlm,3,0.062,5,6
cfg0120,1,9.288202285766602,9.288202285766602,7.8705034255981445,7.8705034255981445,0.17650583386421204,34,0.0005,0.55,0.5,0.14,32,3,0.08,nlm,3,0.062,5,6
cfg0026,1,9.286885261535645,9.286885261535645,8.338094711303711,8.338094711303711,0.1763589084148407,31,0.0005,0.55,0.5,0.14,32,3,0.16,nlm,3,0.062,5,6
cfg0093,1,9.278557777404785,9.278557777404785,8.230120658874512,8.230120658874512,0.1856420338153839,33,0.0005,0.55,0.5,0.14,32,4,0.12,nlm,3,0.062,5,6
cfg0150,1,9.265563011169434,9.265563011169434,8.347818374633789,8.347818374633789,0.19816350936889648,36,0.0005,0.55,0.5,0.14,24,4,0.16,nlm,3,0.062,5,6
cfg0016,1,9.263638496398926,9.263638496398926,7.243897914886475,7.243897914886475,0.1840386986732483,31,0.0005,0.55,0.5,0.14,24,3,0.08,nlm,3,0.062,5,6
cfg0017,1,9.253089904785156,9.253089904785156,7.048879623413086,7.048879623413086,0.18341943621635437,31,0.0005,0.55,0.5,0.14,24,3,0.12,nlm,3,0.062,5,6
cfg0052,1,9.24657917022705,9.24657917022705,8.398655891418457,8.398655891418457,0.18541046977043152,32,0.0005,0.55,0.5,0.14,24,4,0.08,nlm,3,0.062,5,6
cfg0125,1,9.244710922241211,9.244710922241211,8.400864601135254,8.400864601135254,0.188392773270607,34,0.0005,0.55,0.5,0.14,32,4,0.12,nlm,3,0.062,5,6
cfg0084,1,9.223674774169922,9.223674774169922,8.37494945526123,8.37494945526123,0.18625938892364502,33,0.0005,0.55,0.5,0.14,24,4,0.08,nlm,3,0.062,5,6
cfg0018,1,9.212920188903809,9.212920188903809,6.8555827140808105,6.8555827140808105,0.18289527297019958,31,0.0005,0.55,0.5,0.14,24,3,0.16,nlm,3,0.062,5,6
cfg0027,1,9.206168174743652,9.206168174743652,8.432104110717773,8.432104110717773,0.17522820830345154,31,0.0005,0.55,0.5,0.14,32,3,0.18,nlm,3,0.062,5,6
cfg0063,1,9.189692497253418,9.189692497253418,8.235941886901855,8.235941886901855,0.18340706825256348,32,0.0005,0.55,0.5,0.14,32,4,0.18,nlm,3,0.062,5,6
cfg0153,1,9.18772029876709,9.18772029876709,7.455748558044434,7.455748558044434,0.17311543226242065,36,0.0005,0.55,0.5,0.14,32,3,0.12,nlm,3,0.062,5,6
cfg0140,1,9.18497085571289,9.18497085571289,8.169963836669922,8.169963836669922,0.18123255670070648,36,0.0005,0.55,0.5,0.11,32,4,0.08,nlm,3,0.062,5,6
cfg0019,1,9.183256149291992,9.183256149291992,6.7587666511535645,6.7587666511535645,0.18263587355613708,31,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0151,1,9.173911094665527,9.173911094665527,8.437161445617676,8.437161445617676,0.19960886240005493,36,0.0005,0.55,0.5,0.14,24,4,0.18,nlm,3,0.062,5,6
cfg0137,1,9.171249389648438,9.171249389648438,8.220083236694336,8.220083236694336,0.17698295414447784,36,0.0005,0.55,0.5,0.11,32,3,0.12,nlm,3,0.062,5,6
cfg0089,1,9.136677742004395,9.136677742004395,8.05654525756836,8.05654525756836,0.17419853806495667,33,0.0005,0.55,0.5,0.14,32,3,0.12,nlm,3,0.062,5,6
cfg0146,1,9.118708610534668,9.118708610534668,8.123790740966797,8.123790740966797,0.17451731860637665,36,0.0005,0.55,0.5,0.14,24,3,0.16,nlm,3,0.062,5,6
cfg0058,1,9.116260528564453,9.116260528564453,8.302388191223145,8.302388191223145,0.17331600189208984,32,0.0005,0.55,0.5,0.14,32,3,0.16,nlm,3,0.062,5,6
cfg0117,1,9.112333297729492,9.112333297729492,8.613468170166016,8.613468170166016,0.1888149529695511,34,0.0005,0.55,0.5,0.14,24,4,0.12,nlm,3,0.062,5,6
cfg0121,1,9.108254432678223,9.108254432678223,7.909346103668213,7.909346103668213,0.17317360639572144,34,0.0005,0.55,0.5,0.14,32,3,0.12,nlm,3,0.062,5,6
cfg0157,1,9.029091835021973,9.029091835021973,8.492801666259766,8.492801666259766,0.19517943263053894,36,0.0005,0.55,0.5,0.14,32,4,0.12,nlm,3,0.062,5,6
cfg0094,1,9.0267972946167,9.0267972946167,8.45740032196045,8.45740032196045,0.18631240725517273,33,0.0005,0.55,0.5,0.14,32,4,0.16,nlm,3,0.062,5,6
cfg0020,1,9.006295204162598,9.006295204162598,8.364128112792969,8.364128112792969,0.1853402853012085,31,0.0005,0.55,0.5,0.14,24,4,0.08,nlm,3,0.062,5,6
cfg0154,1,8.987418174743652,8.987418174743652,7.294408798217773,7.294408798217773,0.16982623934745789,36,0.0005,0.55,0.5,0.14,32,3,0.16,nlm,3,0.062,5,6
cfg0059,1,8.985546112060547,8.985546112060547,8.380792617797852,8.380792617797852,0.17194455862045288,32,0.0005,0.55,0.5,0.14,32,3,0.18,nlm,3,0.062,5,6
cfg0147,1,8.972884178161621,8.972884178161621,8.189159393310547,8.189159393310547,0.17308147251605988,36,0.0005,0.55,0.5,0.14,24,3,0.18,nlm,3,0.062,5,6
cfg0138,1,8.95956802368164,8.95956802368164,8.363152503967285,8.363152503967285,0.17462950944900513,36,0.0005,0.55,0.5,0.11,32,3,0.16,nlm,3,0.062,5,6
cfg0110,1,8.94172191619873,8.94172191619873,8.044759750366211,8.044759750366211,0.17372266948223114,34,0.0005,0.55,0.5,0.11,32,4,0.16,nlm,3,0.062,5,6
cfg0126,1,8.940651893615723,8.940651893615723,8.669370651245117,8.669370651245117,0.18977472186088562,34,0.0005,0.55,0.5,0.14,32,4,0.16,nlm,3,0.062,5,6
cfg0111,1,8.925106048583984,8.925106048583984,8.104116439819336,8.104116439819336,0.17223484814167023,34,0.0005,0.55,0.5,0.11,32,4,0.18,nlm,3,0.062,5,6
cfg0122,1,8.917637825012207,8.917637825012207,7.9432477951049805,7.9432477951049805,0.17012187838554382,34,0.0005,0.55,0.5,0.14,32,3,0.16,nlm,3,0.062,5,6
cfg0085,1,8.915998458862305,8.915998458862305,8.71965217590332,8.71965217590332,0.18606878817081451,33,0.0005,0.55,0.5,0.14,24,4,0.12,nlm,3,0.062,5,6
