config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,fixed_init_seed
cfg0009,1,9.36478328704834,9.36478328704834,7.604989528656006,7.604989528656006,0.17761966586112976,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240709
cfg0022,1,9.355998039245605,9.355998039245605,6.702913761138916,6.702913761138916,0.1772969365119934,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240722
cfg0012,1,9.124135971069336,9.124135971069336,6.379046440124512,6.379046440124512,0.17346897721290588,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240712
cfg0006,1,9.086565971374512,9.086565971374512,3.9474258422851562,3.9474258422851562,0.15992595255374908,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240706
cfg0003,1,8.756182670593262,8.756182670593262,4.479020118713379,4.479020118713379,0.17341139912605286,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240703
cfg0015,1,8.586703300476074,8.586703300476074,8.0594482421875,8.0594482421875,0.18029972910881042,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240715
cfg0019,1,8.517894744873047,8.517894744873047,5.051122665405273,5.051122665405273,0.1669045388698578,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240719
cfg0014,1,8.506241798400879,8.506241798400879,8.528511047363281,8.528511047363281,0.15660762786865234,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240714
cfg0004,1,8.504605293273926,8.504605293273926,4.165133476257324,4.165133476257324,0.16719581186771393,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240704
cfg0002,1,8.47139835357666,8.47139835357666,4.374638080596924,4.374638080596924,0.17158034443855286,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240702
cfg0010,1,8.392498970031738,8.392498970031738,7.508328437805176,7.508328437805176,0.17245227098464966,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240710
cfg0008,1,8.362658500671387,8.362658500671387,4.820938587188721,4.820938587188721,0.17093244194984436,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240708
cfg0013,1,8.254236221313477,8.254236221313477,4.262697219848633,4.262697219848633,0.16471460461616516,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240713
cfg0021,1,8.087332725524902,8.087332725524902,4.741724014282227,4.741724014282227,0.17025822401046753,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240721
cfg0017,1,7.7986345291137695,7.7986345291137695,4.531734466552734,4.531734466552734,0.17081063985824585,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240717
cfg0005,1,7.641297340393066,7.641297340393066,3.0679807662963867,3.0679807662963867,0.109485924243927,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240705
cfg0023,1,7.3448944091796875,7.3448944091796875,9.146246910095215,9.146246910095215,0.17066189646720886,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240723
cfg0018,1,7.154119968414307,7.154119968414307,9.090084075927734,9.090084075927734,0.14156761765480042,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240718
cfg0007,1,6.49896240234375,6.49896240234375,9.339639663696289,9.339639663696289,0.13938823342323303,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240707
cfg0001,1,5.78663444519043,5.78663444519043,9.1198148727417,9.1198148727417,0.14327171444892883,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240701
cfg0020,1,4.783231258392334,4.783231258392334,9.217020034790039,9.217020034790039,0.11987695842981339,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240720
cfg0000,1,4.705306529998779,4.705306529998779,9.070032119750977,9.070032119750977,0.10988152027130127,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240700
cfg0011,1,2.5879781246185303,2.5879781246185303,1.6034035682678223,1.6034035682678223,0.013966700993478298,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240711
cfg0016,1,1.057932734489441,1.057932734489441,1.2045948505401611,1.2045948505401611,0.0028076637536287308,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,20240716
