config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0007,1,5.637390613555908,5.637390613555908,7.4361491203308105,7.4361491203308105,0.16324609518051147,400,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.045
cfg0016,1,5.2198004722595215,5.2198004722595215,6.856633186340332,6.856633186340332,0.1158846914768219,400,0.001,0.5,0.75,0.1,24,3,0.3,nlm,3,0.045
cfg0013,1,4.758874893188477,4.758874893188477,7.507179260253906,7.507179260253906,0.15763378143310547,400,0.001,0.5,0.75,0.08,24,3,0.3,nlm,3,0.045
cfg0014,1,4.395554065704346,4.395554065704346,7.53048849105835,7.53048849105835,0.12424662709236145,400,0.001,0.5,0.75,0.08,24,3,0.3,nlm,3,0.055
cfg0002,1,4.241145133972168,4.241145133972168,7.271786212921143,7.271786212921143,0.14903995394706726,400,0.001,0.5,0.5,0.05,24,3,0.3,nlm,3,0.055
cfg0011,1,3.9709370136260986,3.9709370136260986,8.045994758605957,8.045994758605957,0.17900630831718445,400,0.001,0.5,0.75,0.05,24,3,0.3,nlm,3,0.055
cfg0008,1,3.22162127494812,3.22162127494812,6.693553924560547,6.693553924560547,0.09053874015808105,400,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0004,1,3.020504951477051,3.020504951477051,7.115813255310059,7.115813255310059,0.18416954576969147,400,0.001,0.5,0.5,0.08,24,3,0.3,nlm,3,0.045
cfg0010,1,2.9741649627685547,2.9741649627685547,8.02442455291748,8.02442455291748,0.18481379747390747,400,0.001,0.5,0.75,0.05,24,3,0.3,nlm,3,0.045
cfg0003,1,2.530179262161255,2.530179262161255,7.047213554382324,7.047213554382324,0.18605303764343262,400,0.001,0.5,0.5,0.08,24,3,0.3,nlm,3,0.035
cfg0006,1,2.5126514434814453,2.5126514434814453,7.394439697265625,7.394439697265625,0.18615129590034485,400,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.035
cfg0015,1,2.4862687587738037,2.4862687587738037,7.444916725158691,7.444916725158691,0.18517857789993286,400,0.001,0.5,0.75,0.1,24,3,0.3,nlm,3,0.035
cfg0012,1,2.47457218170166,2.47457218170166,7.528197765350342,7.528197765350342,0.1861661970615387,400,0.001,0.5,0.75,0.08,24,3,0.3,nlm,3,0.035
cfg0000,1,2.470975875854492,2.470975875854492,7.550799369812012,7.550799369812012,0.18810774385929108,400,0.001,0.5,0.5,0.05,24,3,0.3,nlm,3,0.035
cfg0009,1,2.4381797313690186,2.4381797313690186,7.944554328918457,7.944554328918457,0.18720483779907227,400,0.001,0.5,0.75,0.05,24,3,0.3,nlm,3,0.035
cfg0017,1,2.3955132961273193,2.3955132961273193,6.586029052734375,6.586029052734375,0.022010594606399536,400,0.001,0.5,0.75,0.1,24,3,0.3,nlm,3,0.055
cfg0005,1,2.319014549255371,2.319014549255371,7.145852088928223,7.145852088928223,0.20362935960292816,400,0.001,0.5,0.5,0.08,24,3,0.3,nlm,3,0.055
cfg0001,1,2.08455491065979,2.08455491065979,7.250791549682617,7.250791549682617,0.18533581495285034,400,0.001,0.5,0.5,0.05,24,3,0.3,nlm,3,0.045
