config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0006,1,8.931845664978027,8.931845664978027,3.65154767036438,3.65154767036438,0.15032313764095306,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0032,1,8.693774223327637,8.693774223327637,3.3929171562194824,3.3929171562194824,0.13683591783046722,145,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0027,1,8.554383277893066,8.554383277893066,3.3557376861572266,3.3557376861572266,0.1319260150194168,120,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0033,1,8.185490608215332,8.185490608215332,3.3995485305786133,3.3995485305786133,0.1308504045009613,145,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0028,1,8.05849838256836,8.05849838256836,3.386369228363037,3.386369228363037,0.12785667181015015,120,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0007,1,7.814115524291992,7.814115524291992,3.621469020843506,3.621469020843506,0.1410040259361267,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0026,1,7.652924060821533,7.652924060821533,3.286505699157715,3.286505699157715,0.1304442286491394,120,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0002,1,7.563361644744873,7.563361644744873,8.906079292297363,8.906079292297363,0.17068392038345337,36,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0022,1,7.307043075561523,7.307043075561523,5.416690826416016,5.416690826416016,0.1657755821943283,96,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.07
cfg0021,1,7.2246012687683105,7.2246012687683105,5.327674865722656,5.327674865722656,0.17509663105010986,96,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0034,1,6.993842601776123,6.993842601776123,3.386849880218506,3.386849880218506,0.11990776658058167,145,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0029,1,6.958059310913086,6.958059310913086,3.3942947387695312,3.3942947387695312,0.11874125897884369,120,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.09
cfg0023,1,6.911548137664795,6.911548137664795,5.461371421813965,5.461371421813965,0.15062600374221802,96,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
