config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,4,4.323741912841797,9.271544456481934,0.15491962432861328,0.004685699939727783,0.9740428844495653,5.15531587600708,0.0196697935461998,0.3029182255268097,0.08992777019739151,0.0,0.7355043292045593,0.7355043292045593,0.1109248474240303,0.016504589468240738,0.007153462618589401,0.32258063554763794,0.25311279296875,2.0728628635406494,0.00022678164532408118,0.01944301277399063,0.002946063643321395,0.00020452294847927988,0.23839518427848816
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,3,6,4.785728454589844,9.262084007263184,0.15303008258342743,0.004685699939727783,0.9740428844495653,5.8401899337768555,0.019773712381720543,0.3023790419101715,0.08696922659873962,0.0,0.7049732804298401,0.7049732804298401,0.10404399037361145,0.014899946749210358,0.006912833545356989,0.32258063554763794,0.24713134765625,1.9694501161575317,0.00022676063235849142,0.019546952098608017,0.0031909351237118244,0.00020506253349594772,0.23852860927581787
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,4,5.1805925369262695,9.456184387207031,0.1759653240442276,0.004685699939727783,0.9740428844495653,5.629062652587891,0.019877970218658447,0.3031809628009796,0.09452904015779495,0.0,0.7095242142677307,0.7095242142677307,0.10105469077825546,0.017794283106923103,0.008243580348789692,0.35483869910240173,0.216552734375,1.934722900390625,0.00022685088333673775,0.01965111866593361,0.003508611349388957,0.0002036362129729241,0.2385675311088562
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6,7.090003967285156,9.43539047241211,0.17211338877677917,0.004685699939727783,0.9740428844495653,7.1615190505981445,0.020198941230773926,0.3027024269104004,0.08917688578367233,0.002505287528038025,0.6288607716560364,0.6263554692268372,0.0837537869811058,0.014665463007986546,0.007713457103818655,0.35483869910240173,0.2130126953125,1.6760553121566772,0.00022677661036141217,0.019972164183855057,0.00434772577136755,0.0002094414085149765,0.2386428862810135
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,7,4,4.4948625564575195,9.488280296325684,0.18107351660728455,0.004685699939727783,0.9740428844495653,4.856917858123779,0.01978609524667263,0.30289196968078613,0.09891976416110992,0.0,0.7439523935317993,0.7439523935317993,0.11216498911380768,0.0207745973020792,0.008719452656805515,0.35483869910240173,0.21710205078125,2.027083158493042,0.00022693489154335111,0.019559159874916077,0.0032195348758250475,0.00019632175099104643,0.2389400601387024
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6,6.271029472351074,9.489814758300781,0.17913389205932617,0.004685699939727783,0.9740428844495653,6.271029472351074,0.020211070775985718,0.3024435043334961,0.09288138896226883,0.007494643330574036,0.678609311580658,0.6711146831512451,0.09281139075756073,0.01666748709976673,0.008214590139687061,0.35483869910240173,0.21453857421875,1.7943174839019775,0.00022683740826323628,0.019984234124422073,0.00424773246049881,0.00020077590306755155,0.23901823163032532
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,4,4.451017379760742,9.173470497131348,0.14193348586559296,0.004685699939727783,0.9740428844495653,4.872846603393555,0.019920093938708305,0.3027489185333252,0.08404424041509628,0.023784205317497253,0.6799895763397217,0.6562053561210632,0.09534520655870438,0.013516527600586414,0.006358877290040255,0.32258063554763794,0.25262451171875,1.9443752765655518,0.00022670494217891246,0.019693389534950256,0.0036641121841967106,0.00021283933892846107,0.2383636236190796
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,3,6,4.905642032623291,9.165765762329102,0.14074000716209412,0.004685699939727783,0.9740428844495653,5.285229206085205,0.020004866644740105,0.3021160960197449,0.08155374228954315,0.07606719434261322,0.6189573407173157,0.5428901314735413,0.0899391919374466,0.012332954443991184,0.0061459653079509735,0.32258063554763794,0.24749755859375,1.846258521080017,0.0002267007512273267,0.019778165966272354,0.0038691202644258738,0.00021272062440402806,0.2385200411081314
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4,5.855605602264404,9.362509727478027,0.163615882396698,0.004685699939727783,0.9740428844495653,5.924299716949463,0.020236382260918617,0.3026440143585205,0.08795315027236938,0.052653029561042786,0.6389297842979431,0.5862767696380615,0.08446261286735535,0.014374742284417152,0.007315678987652063,0.35483869910240173,0.2142333984375,1.7924028635025024,0.0002267664240207523,0.020009616389870644,0.0045224870555102825,0.0002106614992953837,0.2386164665222168
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6,7.087488174438477,9.32872200012207,0.15892207622528076,0.004685699939727783,0.9740428844495653,7.087488174438477,0.02051416039466858,0.3017578125,0.08404986560344696,0.1044032871723175,0.5661123394966125,0.46170905232429504,0.0741700604557991,0.01263672485947609,0.006853461731225252,0.32258063554763794,0.232177734375,1.6047520637512207,0.00022671806800644845,0.020287442952394485,0.005259728990495205,0.000215833104448393,0.2389039695262909
cfg0010,10,10,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4,5.809611797332764,9.44396686553955,0.17331314086914062,0.004685699939727783,0.9740428844495653,5.884725093841553,0.020250264555215836,0.3021852672100067,0.09154605120420456,0.02416732907295227,0.6619234085083008,0.6377561092376709,0.09090939164161682,0.015996472910046577,0.007901902310550213,0.35483869910240173,0.21356201171875,1.8262799978256226,0.00022679584799334407,0.020023468881845474,0.004396881442517042,0.00020290634711273015,0.2390691637992859
cfg0011,11,11,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6,7.299537181854248,9.40056324005127,0.16727346181869507,0.004685699939727783,0.9740428844495653,7.299537181854248,0.02064519189298153,0.3010948896408081,0.08666887134313583,0.09850388765335083,0.5792105197906494,0.4807066321372986,0.07804866880178452,0.01354659628123045,0.007373929489403963,0.35483869910240173,0.21038818359375,1.6301665306091309,0.00022672595514450222,0.02041846513748169,0.005415326915681362,0.00020773753931280226,0.23945672810077667
cfg0012,12,12,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,3,4,4.9500298500061035,8.52122974395752,0.1569157987833023,0.004685699939727783,0.9740428844495653,5.2149977684021,0.009836372919380665,0.3925175070762634,0.08998128771781921,0.06207488477230072,0.8080085515975952,0.7459336519241333,0.09692434221506119,0.013972386717796326,0.007500620558857918,0.4193548262119293,0.23284912109375,1.9303154945373535,0.0002268938405904919,0.009609479457139969,0.002949540037661791,0.00020194705575704575,0.15479864180088043
cfg0013,13,13,20240710,stripe_target,1,scgi_ured,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,3,6,5.591247081756592,8.516215324401855,0.1552237570285797,0.004685699939727783,0.9740428844495653,5.9059672355651855,0.0099358344450593,0.39191192388534546,0.0871480330824852,0.09750153124332428,0.7607854008674622,0.6632838845252991,0.09027138352394104,0.012534980662167072,0.00726005993783474,0.4193548262119293,0.228515625,1.8007721900939941,0.0002268721000291407,0.00970896240323782,0.003198001766577363,0.00021469405328389257,0.15526792407035828
