config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,nlm_patch_size,nlm_patch_distance
cfg0051,1,9.36478328704834,9.36478328704834,7.604989528656006,7.604989528656006,0.17761966586112976,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0063,1,8.92126178741455,8.92126178741455,6.330328464508057,6.330328464508057,0.17041423916816711,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,5,6
cfg0015,1,8.825801849365234,8.825801849365234,8.659319877624512,8.659319877624512,0.1754029393196106,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,5,6
cfg0075,1,8.301506042480469,8.301506042480469,7.5878005027771,7.5878005027771,0.17495517432689667,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0057,1,8.247726440429688,8.247726440429688,7.532586097717285,7.532586097717285,0.16259384155273438,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6
cfg0099,1,8.178086280822754,8.178086280822754,4.924515724182129,4.924515724182129,0.16519930958747864,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0039,1,8.027115821838379,8.027115821838379,8.637880325317383,8.637880325317383,0.1726602017879486,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,5,6
cfg0021,1,7.960108757019043,7.960108757019043,8.562087059020996,8.562087059020996,0.16018423438072205,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,5,6
cfg0059,1,7.877295017242432,7.877295017242432,7.5807294845581055,7.5807294845581055,0.1714678704738617,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6
cfg0069,1,7.728174209594727,7.728174209594727,6.2786054611206055,6.2786054611206055,0.15521711111068726,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,5,6
cfg0111,1,7.697977542877197,7.697977542877197,4.185544490814209,4.185544490814209,0.15847474336624146,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,5,6
cfg0087,1,7.697637557983398,7.697637557983398,6.316829204559326,6.316829204559326,0.16757996380329132,36,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,5,6
cfg0023,1,7.640429496765137,7.640429496765137,8.619880676269531,8.619880676269531,0.16879482567310333,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,7,6
cfg0053,1,7.619129657745361,7.619129657745361,7.642848968505859,7.642848968505859,0.18580952286720276,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6
cfg0123,1,7.319311141967773,7.319311141967773,4.914992809295654,4.914992809295654,0.16266103088855743,38,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0011,1,7.299537181854248,7.299537181854248,9.40056324005127,9.40056324005127,0.16727346181869507,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6
cfg0027,1,7.29869270324707,7.29869270324707,9.417314529418945,9.417314529418945,0.16997991502285004,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0017,1,7.297663688659668,7.297663688659668,8.70699405670166,8.70699405670166,0.18354946374893188,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,7,6
cfg0105,1,7.177138328552246,7.177138328552246,4.890379428863525,4.890379428863525,0.15113037824630737,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6
cfg0135,1,7.175515651702881,7.175515651702881,4.178717613220215,4.178717613220215,0.15614402294158936,38,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.062,5,6
cfg0065,1,7.15733528137207,7.15733528137207,6.355810165405273,6.355810165405273,0.17859667539596558,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,7,6
cfg0003,1,7.090003967285156,7.090003967285156,9.43539047241211,9.43539047241211,0.17211338877677917,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,5,6
cfg0009,1,7.087488174438477,7.087488174438477,9.32872200012207,9.32872200012207,0.15892207622528076,34,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6
cfg0071,1,7.07112455368042,7.07112455368042,6.3118977546691895,6.3118977546691895,0.16350065171718597,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,7,6
cfg0113,1,7.0356526374816895,7.0356526374816895,4.200953006744385,4.200953006744385,0.16507796943187714,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,7,6
cfg0101,1,7.015993595123291,7.015993595123291,4.943839073181152,4.943839073181152,0.17280340194702148,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.062,7,6
cfg0081,1,6.997973918914795,6.997973918914795,7.5072197914123535,7.5072197914123535,0.15811654925346375,36,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6
cfg0056,1,6.993114948272705,6.993114948272705,7.548248291015625,7.548248291015625,0.167312890291214,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,5,4
cfg0058,1,6.932116985321045,6.932116985321045,7.610564231872559,7.610564231872559,0.17879055440425873,36,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,4
cfg0045,1,6.83318567276001,6.83318567276001,8.529168128967285,8.529168128967285,0.15566185116767883,34,0.001,0.6,0.5,0.12,24,3,0.3,nlm,3,0.07,5,6
cfg0068,1,6.804688930511475,6.804688930511475,6.286107063293457,6.286107063293457,0.15964937210083008,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,5,4
cfg0117,1,6.778809070587158,6.778809070587158,4.158750057220459,4.158750057220459,0.14549557864665985,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,5,6
cfg0107,1,6.77190637588501,6.77190637588501,4.916385650634766,4.916385650634766,0.1591995656490326,38,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6
cfg0033,1,6.697509288787842,6.697509288787842,9.295931816101074,9.295931816101074,0.15519648790359497,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,5,6
cfg0070,1,6.6870198249816895,6.6870198249816895,6.332781791687012,6.332781791687012,0.17123553156852722,36,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,7,4
cfg0035,1,6.681622505187988,6.681622505187988,9.369560241699219,9.369560241699219,0.1640309989452362,34,0.001,0.6,0.5,0.11,24,3,0.3,nlm,3,0.07,7,6
cfg0110,1,6.672349452972412,6.672349452972412,4.1910247802734375,4.1910247802734375,0.1601102650165558,38,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.062,5,4
cfg0020,1,6.671889781951904,6.671889781951904,8.588238716125488,8.588238716125488,0.16504450142383575,34,0.001,0.55,0.5,0.12,24,3,0.3,nlm,3,0.07,5,4
