config_id,config_index,global_config_index,init_seed,object,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss
cfg0000,0,0,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.06,1.19109308719635,1.323632001876831,0.01220700889825821,0.004685729742050171,0.9740339702575446,4.575863361358643,0.0646071806550026
cfg0001,1,1,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.08,1.2179391384124756,1.2934242486953735,0.009539615362882614,0.004685729742050171,0.9740339702575446,5.16395902633667,0.06446132808923721
cfg0002,2,2,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.1,1.2155773639678955,1.2825887203216553,0.007705850061029196,0.004685729742050171,0.9740339702575446,5.028538703918457,0.06432726979255676
cfg0003,3,3,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.1,24,3,0.3,nlm,3,0.12,1.2041443586349487,1.2749512195587158,0.00631314143538475,0.004685729742050171,0.9740339702575446,4.788318634033203,0.06417745351791382
cfg0004,4,4,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.06,3.1665430068969727,7.203888893127441,0.18022722005844116,0.004685729742050171,0.9740339702575446,4.132753849029541,0.000690209330059588
cfg0005,5,5,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.08,3.4580090045928955,7.150504112243652,0.1642093062400818,0.004685729742050171,0.9740339702575446,4.55653715133667,0.0007326888735406101
cfg0006,6,6,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.1,3.336608648300171,7.056990146636963,0.14322179555892944,0.004685729742050171,0.9740339702575446,4.427637100219727,0.0007391712861135602
cfg0007,7,7,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.12,3.1222622394561768,6.949662208557129,0.1206507533788681,0.004685729742050171,0.9740339702575446,4.275529384613037,0.0007280859863385558
cfg0008,8,8,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.06,2.6548967361450195,7.538924694061279,0.18552160263061523,0.004685729742050171,0.9740339702575446,3.617647886276245,0.0005389249417930841
cfg0009,9,9,20240709,stripe_target,scgi_ured,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.08,2.7726287841796875,7.541992664337158,0.18028075993061066,0.004685729742050171,0.9740339702575446,3.805999755859375,0.000565940688829869
