config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0040,1,5.131390571594238,5.131390571594238,7.494930744171143,7.494930744171143,0.1638140082359314,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0041,1,4.436802864074707,4.436802864074707,7.1027069091796875,7.1027069091796875,0.08246676623821259,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0025,1,3.7002193927764893,3.7002193927764893,7.479671955108643,7.479671955108643,0.1650267243385315,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.08
cfg0026,1,3.6197495460510254,3.6197495460510254,7.3646392822265625,7.3646392822265625,0.1430779993534088,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.1
cfg0022,1,3.512305974960327,3.512305974960327,7.640448570251465,7.640448570251465,0.05100177228450775,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.1
cfg0028,1,3.472555637359619,3.472555637359619,7.067504405975342,7.067504405975342,0.058828823268413544,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.06
cfg0005,1,3.4580090045928955,3.4580090045928955,7.150504112243652,7.150504112243652,0.1642093062400818,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.08
cfg0027,1,3.45574688911438,3.45574688911438,7.258248329162598,7.258248329162598,0.1253795623779297,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.12
cfg0006,1,3.336608648300171,3.336608648300171,7.056990146636963,7.056990146636963,0.14322179555892944,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.1
cfg0024,1,3.322108030319214,3.322108030319214,7.585106372833252,7.585106372833252,0.180801659822464,200,0.001,0.25,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0012,1,3.3076019287109375,3.3076019287109375,7.402843475341797,7.402843475341797,0.15396785736083984,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.06
cfg0004,1,3.1665430068969727,3.1665430068969727,7.203888893127441,7.203888893127441,0.18022722005844116,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.06
cfg0007,1,3.1222622394561768,3.1222622394561768,6.949662208557129,6.949662208557129,0.1206507533788681,200,0.001,0.1,0.25,0.25,24,3,0.3,nlm,3,0.12
cfg0013,1,3.0371692180633545,3.0371692180633545,7.293702125549316,7.293702125549316,0.10813985764980316,200,0.001,0.1,0.5,0.25,24,3,0.3,nlm,3,0.08
cfg0029,1,3.018721580505371,3.018721580505371,6.959848880767822,6.959848880767822,0.04164023697376251,200,0.001,0.25,0.5,0.25,24,3,0.3,nlm,3,0.08
cfg0020,1,2.889781951904297,2.889781951904297,8.189142227172852,8.189142227172852,0.07359518110752106,200,0.001,0.25,0.25,0.25,24,3,0.3,nlm,3,0.06
cfg0043,1,2.852081298828125,2.852081298828125,6.804976463317871,6.804976463317871,0.023571284487843513,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.12
cfg0044,1,2.799550771713257,2.799550771713257,6.676806449890137,6.676806449890137,0.018950650468468666,200,0.001,0.5,0.5,0.25,24,3,0.3,nlm,3,0.06
cfg0042,1,2.7989706993103027,2.7989706993103027,7.407210350036621,7.407210350036621,0.03468966484069824,200,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.1
cfg0009,1,2.7726287841796875,2.7726287841796875,7.541992664337158,7.541992664337158,0.18028075993061066,200,0.001,0.1,0.5,0.1,24,3,0.3,nlm,3,0.08
