config_id,config_index,global_config_index,init_seed,object,object_index,method,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,cnr,psnr,ssim,ks_d,ks_p,best_trace_cnr,final_loss,final_proxy_mean,final_proxy_std,final_proxy_min,final_proxy_max,final_proxy_range,final_proxy_tv_l1,final_proxy_roughness_l2,final_proxy_otsu_score,final_proxy_otsu_threshold,final_proxy_otsu_fg_fraction,final_proxy_hist_entropy,final_proxy_data_loss,final_proxy_aug_loss,final_proxy_denoiser_mse,final_proxy_net_delta_mse,final_proxy_dual_abs_mean
cfg0000,0,0,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.055,5.0755696296691895,8.168782234191895,0.19466128945350647,0.004685699939727783,0.9740428844495653,5.444707870483398,0.006241303868591785,0.4479725658893585,0.1102699562907219,0.08343120664358139,0.8899990320205688,0.8065678477287292,0.13220378756523132,0.023046746850013733,0.011085787788033485,0.5161290168762207,0.21575927734375,2.187286853790283,0.00022731930948793888,0.00601398479193449,0.0031527504324913025,0.0009869489585980773,0.11930439621210098
cfg0001,1,1,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.06,6.142199993133545,8.160737991333008,0.1912941038608551,0.004685699939727783,0.9740428844495653,6.9381327629089355,0.006452536676079035,0.4477928578853607,0.10548805445432663,0.10552865266799927,0.8401021361351013,0.734573483467102,0.11627276241779327,0.0195029117166996,0.010559938848018646,0.5161290168762207,0.2135009765625,2.0151872634887695,0.00022723566507920623,0.006225300952792168,0.004028697498142719,0.0010163564002141356,0.12020498514175415
cfg0002,2,2,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.09,24,3,0.3,nlm,3,0.065,6.886068820953369,8.135737419128418,0.18613246083259583,0.004685699939727783,0.9740428844495653,7.75559663772583,0.0066122980788350105,0.44749563932418823,0.10189896821975708,0.14882472157478333,0.7993257641792297,0.650501012802124,0.10591160506010056,0.01730932481586933,0.01005602441728115,0.4838709533214569,0.2188720703125,1.9048991203308105,0.00022717867977917194,0.006385119631886482,0.004749844782054424,0.0010476745665073395,0.12096867710351944
cfg0003,3,3,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.055,6.096773624420166,6.297966957092285,0.18565449118614197,0.004685699939727783,0.9740428844495653,6.096773624420166,0.00153056881390512,0.5883793830871582,0.11300303041934967,0.2400866150856018,1.0,0.7599133849143982,0.11057905852794647,0.019122175872325897,0.012201272882521152,0.6451612710952759,0.218994140625,2.030200719833374,0.00022752510267309844,0.001303043682128191,0.0031370793003588915,0.0020760297775268555,0.06007812172174454
cfg0004,4,4,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.06,7.4537787437438965,6.28694486618042,0.18178264796733856,0.004685699939727783,0.9740428844495653,7.4537787437438965,0.0017387265106663108,0.5882799029350281,0.10873748362064362,0.25479331612586975,0.9607135653495789,0.7059202194213867,0.09705840051174164,0.0161617211997509,0.011661788448691368,0.6451612710952759,0.21502685546875,1.8785552978515625,0.0002274376602144912,0.001511288806796074,0.00402926467359066,0.002126005943864584,0.06447209417819977
cfg0005,5,5,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.065,8.092086791992188,6.267111778259277,0.17604637145996094,0.004685699939727783,0.9740428844495653,8.092086791992188,0.0018739564111456275,0.5879340171813965,0.10547619313001633,0.3096146285533905,0.9234257936477661,0.6138111352920532,0.08898798376321793,0.014400258660316467,0.011060110293328762,0.6451612710952759,0.21405029296875,1.800691843032837,0.0002273773861816153,0.001646579010412097,0.004767498001456261,0.002174575347453356,0.06721656024456024
cfg0006,6,6,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.055,6.350946426391602,4.951916694641113,0.17494045197963715,0.004685699939727783,0.9740428844495653,6.350946426391602,0.006778192240744829,0.6902816295623779,0.11604246497154236,0.346263587474823,1.0,0.653736412525177,0.102199487388134,0.01710358075797558,0.012779264710843563,0.774193525314331,0.213623046875,2.071500778198242,0.0002276735904160887,0.006550518795847893,0.0030714937020093203,0.0028300683479756117,0.14743183553218842
cfg0007,7,7,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.06,7.3347063064575195,4.942681789398193,0.1713268756866455,0.004685699939727783,0.9740428844495653,7.646598815917969,0.006969791371375322,0.69029700756073,0.11250146478414536,0.36197349429130554,1.0,0.6380264759063721,0.0910366028547287,0.014613866806030273,0.012308538891375065,0.7419354915618896,0.216552734375,1.967482089996338,0.00022757929400540888,0.006742211990058422,0.004004789981991053,0.0028914548456668854,0.14799608290195465
cfg0008,8,8,20240710,stripe_target,1,scgi_ured,38,0.001,0.45,0.5,0.11,24,3,0.3,nlm,3,0.065,7.5992431640625,4.9277849197387695,0.16564945876598358,0.004685699939727783,0.9740428844495653,8.18184757232666,0.0070737628266215324,0.6899564266204834,0.10949677973985672,0.424224853515625,1.0,0.575775146484375,0.08442829549312592,0.01304960809648037,0.01172622013837099,0.7419354915618896,0.21484375,1.9312759637832642,0.0002275136939715594,0.006846249103546143,0.004781803116202354,0.0029510241001844406,0.14827360212802887
cfg0009,9,9,20240710,stripe_target,1,scgi_ured,38,0.001,0.5,0.5,0.09,24,3,0.3,nlm,3,0.055,5.686336994171143,8.172775268554688,0.19418998062610626,0.004685699939727783,0.9740428844495653,5.761377811431885,0.006457021925598383,0.4481009840965271,0.10775509476661682,0.09638485312461853,0.8809955716133118,0.7846107482910156,0.11703348159790039,0.020998477935791016,0.010949064046144485,0.5161290168762207,0.2152099609375,2.013882875442505,0.00022727389296051115,0.006229748018085957,0.003205421846359968,0.000997666153125465,0.12037433683872223
