config_id,objects,mean_cnr,min_cnr,mean_psnr,min_psnr,mean_ssim,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h
cfg0022,1,9.024121284484863,9.024121284484863,6.273879051208496,6.273879051208496,0.1786462664604187,38,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0014,1,8.96325969696045,8.96325969696045,6.25847864151001,6.25847864151001,0.1736152172088623,38,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0040,1,8.931845664978027,8.931845664978027,3.65154767036438,3.65154767036438,0.15032313764095306,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0049,1,8.877840042114258,8.877840042114258,3.644745111465454,3.644745111465454,0.1494711935520172,40,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0023,1,8.839027404785156,8.839027404785156,6.247015476226807,6.247015476226807,0.17083705961704254,38,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0013,1,8.573328018188477,8.573328018188477,6.2825446128845215,6.2825446128845215,0.18037307262420654,38,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.06
cfg0041,1,8.55420207977295,8.55420207977295,3.637512683868408,3.637512683868408,0.14643770456314087,40,0.001,0.5,0.5,0.1,24,3,0.3,nlm,3,0.065
cfg0020,1,8.551798820495605,8.551798820495605,8.114508628845215,8.114508628845215,0.18172681331634521,38,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.065
cfg0048,1,8.509228706359863,8.509228706359863,3.6580634117126465,3.6580634117126465,0.15207770466804504,40,0.001,0.55,0.5,0.1,24,3,0.3,nlm,3,0.055
cfg0046,1,8.427027702331543,8.427027702331543,4.908112525939941,4.908112525939941,0.1740865707397461,40,0.001,0.55,0.5,0.09,24,3,0.3,nlm,3,0.06
cfg0052,1,8.419295310974121,8.419295310974121,3.1756715774536133,3.1756715774536133,0.12377271056175232,40,0.001,0.55,0.5,0.11,24,3,0.3,nlm,3,0.06
cfg0032,1,8.339679718017578,8.339679718017578,3.643890380859375,3.643890380859375,0.14736028015613556,40,0.001,0.45,0.5,0.1,24,3,0.3,nlm,3,0.065
