config_id,objects,mean_cnr,min_cnr,max_best_trace_cnr,mean_best_trace_cnr,mean_psnr,min_psnr,mean_ssim,global_config_index,steps,lr,beta,xi,x_step,channels,blocks,residual_scale,denoiser,denoise_kernel,nlm_h,init_seed
cfg0008,1,2.9164810180664062,2.9164810180664062,3.0267574787139893,3.0267574787139893,7.366442680358887,7.366442680358887,0.1250935792922973,8,300,0.001,0.05,0.25,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0018,1,2.795684337615967,2.795684337615967,3.052747964859009,3.052747964859009,7.15925407409668,7.15925407409668,0.0843197479844093,18,300,0.001,0.1,0.25,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0030,1,2.747610092163086,2.747610092163086,3.008066415786743,3.008066415786743,7.117498397827148,7.117498397827148,0.0737084075808525,30,300,0.001,0.25,0.5,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0027,1,2.72776460647583,2.72776460647583,3.3717987537384038,3.3717987537384038,7.70222282409668,7.70222282409668,0.0384975709021091,27,300,0.001,0.25,0.25,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0021,1,2.678105115890503,2.678105115890503,2.9354305267333984,2.9354305267333984,7.196247577667236,7.196247577667236,0.0568307749927043,21,300,0.001,0.1,0.5,0.25,24,3,0.3,avg_pool,3,0.08,20240709
cfg0010,1,2.6698861122131348,2.6698861122131348,2.8569254875183105,2.8569254875183105,7.194556713104248,7.194556713104248,0.0965491011738777,10,300,0.001,0.05,0.25,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0028,1,2.6489574909210205,2.6489574909210205,3.064664602279663,3.064664602279663,7.1962432861328125,7.1962432861328125,0.0724395886063575,28,300,0.001,0.25,0.5,0.25,24,3,0.1,avg_pool,3,0.08,20240709
cfg0022,1,2.647597074508667,2.647597074508667,2.824251890182495,2.824251890182495,7.194642543792725,7.194642543792725,0.0921235084533691,22,300,0.001,0.1,0.5,0.5,24,3,0.1,avg_pool,3,0.08,20240709
cfg0001,1,2.552698373794556,2.552698373794556,2.552698373794556,2.552698373794556,9.80685043334961,9.80685043334961,0.1679255217313766,1,300,0.001,0.0,0.25,0.25,24,3,0.3,avg_pool,3,0.08,20240709
cfg0003,1,2.552668809890747,2.552668809890747,2.552668809890747,2.552668809890747,9.805877685546877,9.805877685546877,0.1678328663110733,3,300,0.001,0.0,0.25,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0005,1,2.5525803565979004,2.5525803565979004,2.5525803565979004,2.5525803565979004,9.806774139404297,9.806774139404297,0.167927086353302,5,300,0.001,0.0,0.5,0.25,24,3,0.3,avg_pool,3,0.08,20240709
cfg0007,1,2.55253267288208,2.55253267288208,2.55253267288208,2.55253267288208,9.805789947509766,9.805789947509766,0.1678346097469329,7,300,0.001,0.0,0.5,0.5,24,3,0.3,avg_pool,3,0.08,20240709
cfg0014,1,2.522180557250977,2.522180557250977,2.6602299213409424,2.6602299213409424,7.226002693176269,7.226002693176269,0.098154604434967,14,300,0.001,0.05,0.5,0.5,24,3,0.1,avg_pool,3,0.08,20240709
