object,method,lambda_true,lambda_analytic,cnr,psnr,ssim,ks_d,ks_p
letter_A,static,0.9989665746688843,0.9989690780639648,3.2190475463867188,9.811006546020508,0.17183369398117065,0.025664329528808594,0.5190349720011895
letter_A,dynamic,0.9989665746688843,0.9989690780639648,0.5499226450920105,5.821338176727295,0.033025383949279785,0.0784400999546051,6.737051802920109e-06
letter_A,scgi,0.9989665746688843,0.9989690780639648,3.2185049057006836,9.792622566223145,0.1712850034236908,0.02802109718322754,0.4005545469028992
letter_A,analytic,0.9989665746688843,0.9989690780639648,3.2185146808624268,9.792816162109375,0.17128711938858032,0.02802175283432007,0.400524405165658
letter_A,oracle,0.9989665746688843,0.9989690780639648,3.2190496921539307,9.810837745666504,0.1718323528766632,0.025664329528808594,0.5190349720011895
stripe_target,static,0.9986757636070251,0.9986735582351685,2.4744017124176025,7.546307563781738,0.220291405916214,0.030435025691986084,0.30002293565959404
stripe_target,dynamic,0.9986757636070251,0.9986735582351685,0.24766311049461365,5.492256164550781,0.0351240411400795,0.09685128927230835,9.077694792216494e-09
stripe_target,scgi,0.9986757636070251,0.9986735582351685,2.4748587608337402,7.54902458190918,0.21980009973049164,0.0320858359336853,0.24285988759145552
stripe_target,analytic,0.9986757636070251,0.9986735582351685,2.474853038787842,7.548977851867676,0.2197975218296051,0.032085299491882324,0.24287700994216227
stripe_target,oracle,0.9986757636070251,0.9986735582351685,2.4743998050689697,7.54622745513916,0.22029244899749756,0.030434370040893555,0.3000474586787031
letter_L,static,0.9965378046035767,0.996540904045105,3.777107000350952,9.821742057800293,0.16579744219779968,0.019679367542266846,0.9048399936622671
letter_L,dynamic,0.9965378046035767,0.996540904045105,0.2328227013349533,5.530152320861816,0.012117400765419006,0.1688106656074524,9.010765176346776e-26
letter_L,scgi,0.9965378046035767,0.996540904045105,3.7740466594696045,9.790583610534668,0.16547341644763947,0.02006816864013672,0.8766506510397188
letter_L,analytic,0.9965378046035767,0.996540904045105,3.7740485668182373,9.790594100952148,0.16547322273254395,0.020068049430847168,0.8766592412775341
letter_L,oracle,0.9965378046035767,0.996540904045105,3.777101516723633,9.821847915649414,0.1657986044883728,0.019679367542266846,0.9048399936622671
ring,static,0.996649980545044,0.9966492652893066,3.078314781188965,8.365677833557129,0.22518065571784973,0.01715254783630371,1.0
ring,dynamic,0.996649980545044,0.9966492652893066,0.1782454550266266,5.495988845825195,0.022636106237769127,0.164577454328537,1.6218979201832002e-24
ring,scgi,0.996649980545044,0.9966492652893066,3.0782368183135986,8.376704216003418,0.22526532411575317,0.018054485321044922,1.0
ring,analytic,0.996649980545044,0.9966492652893066,3.078214645385742,8.3766450881958,0.22526142001152039,0.018054604530334473,1.0
ring,oracle,0.996649980545044,0.9966492652893066,3.07831072807312,8.365663528442383,0.22518044710159302,0.017152070999145508,1.0
