unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
0,128,3,129,-2,0,smooth_bump,0/2,129,130,False,1,,,1.635483957940881e-07,False,0.7621075104505324,0.1220446627567488,0.0034600586428201,150,8
2,128,3,129,-2,2,random_nonneg,0/2,129,130,False,1,,,1.357826722663691e-07,False,0.2722332936822703,0.1450690973267872,0.0002895660994081,150,8
4,128,3,129,-2,4,random_nonneg,0/2,129,130,False,1,,,1.5366681914542894e-07,False,0.6890929864979366,0.1542881096385493,0.0009013367546197,150,8
6,128,3,129,-2,6,random_nonneg,0/2,129,130,False,1,,,1.672908035855991e-07,False,0.6007502857473535,0.2275909886510373,0.0084708998979845,150,8
8,128,3,129,-2,8,random_nonneg,0/2,129,130,False,1,,,1.484765562606451e-07,False,0.4786856859248938,0.1241713916446305,5.717823954129316e-07,150,8
10,128,3,129,-2,10,random_nonneg,0/2,129,130,False,1,,,8.403572915309937e-08,False,0.1532955186548588,0.0484730094723576,0.0021001216617164,150,8
12,128,3,129,-2,12,random_nonneg,0/2,129,130,False,1,,,1.650356385024422e-07,False,0.1653136543889858,0.0761892903370831,0.0006300150115848,150,8
14,128,3,129,-2,14,random_nonneg,0/2,129,130,False,1,,,1.5657446666514504e-07,False,0.1412328633516673,0.0579030896357964,0.0001193471819685,150,8
16,128,3,129,-2,16,random_nonneg,0/2,129,130,False,1,,,7.118952762396206e-08,False,0.5633503702355266,0.3658323071013453,0.000633853835972,150,8
18,128,3,129,-2,18,random_nonneg,0/2,129,130,False,1,,,1.0587034851189953e-07,False,0.0819558893154227,0.0789213802050348,0.0004400546506443,150,8
20,128,3,129,-2,20,random_nonneg,0/2,129,130,False,1,,,1.40511696906813e-07,False,0.4244473971404796,0.1558788867888995,0.0089092182759768,150,8
22,128,3,129,-2,22,random_nonneg,0/2,129,130,False,1,,,9.876137963592133e-08,False,0.0076887848398587,0.0259270856948964,7.823692620013224e-05,150,8
24,128,3,129,-2,24,random_nonneg,0/2,129,130,False,1,,,1.0097921947732105e-07,False,0.3535534984955115,0.0650440579270397,0.0008650657492182,150,8
26,128,3,129,-2,26,random_nonneg,0/2,129,130,False,1,,,1.0668781449058433e-07,False,0.0864491296997746,0.0511786758958009,0.000332274620527,150,8
28,128,3,129,-2,28,random_nonneg,0/2,129,130,False,1,,,1.0206746008615957e-07,False,0.0027606716386356,0.0175478560526918,0.0001356129705091,150,8
30,128,3,130,-1,0,smooth_bump,0/2,130,130,True,0,0.0009083515964933,,7.156000651118745e-08,False,0.00014054069404,0.0020059533266312,0.0001860621936362,150,8
32,128,3,130,-1,2,random_nonneg,0/2,130,130,True,0,0.0008797954689344,,8.975344314877608e-08,False,0.0261232988184225,0.0291684769290705,0.001414094245399,150,8
34,128,3,130,-1,4,random_nonneg,0/2,130,130,True,0,0.0009932975326334,,9.808398748594633e-08,False,0.0089351681358759,0.0147960371957442,0.0010697752581306,150,8
36,128,3,130,-1,6,random_nonneg,0/2,130,130,True,0,0.0014175402977788,,8.151935667880664e-08,False,0.028712987793822,0.0437369039839063,0.0016911337581237,150,8
38,128,3,130,-1,8,random_nonneg,0/2,130,130,True,0,0.0004855153092833,,8.189464091226532e-08,False,0.0002879335780872,0.0056637312787324,8.036976619138085e-05,150,8
40,128,3,130,-1,10,random_nonneg,0/2,130,130,True,0,0.0014423504373932,,1.278518387746223e-07,False,0.0018475396096897,0.0171384596238897,0.0012019532861233,150,8
42,128,3,130,-1,12,random_nonneg,0/2,130,130,True,0,0.0006300213840529,,1.7551436509965075e-07,False,0.2051747637689219,0.1264589067965732,0.0039888318700595,150,8
44,128,3,130,-1,14,random_nonneg,0/2,130,130,True,0,0.0004587165939018,,1.966612347578697e-07,False,0.0154921828350746,0.0276505889647388,0.0007963141559353,150,8
46,128,3,130,-1,16,random_nonneg,0/2,130,130,True,0,0.0009989457333613,,1.478926741488411e-07,False,0.0004135921681752,0.0073969310985679,0.0002552298025783,150,8
48,128,3,130,-1,18,random_nonneg,0/2,130,130,True,0,0.0005770408214265,,6.828904658534084e-08,False,0.0109951725249458,0.0102684914423308,0.0010083263190506,150,8
