unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
0,64,3,65,-2,0,smooth_bump,0/2,65,66,False,1,,,5.975451823484971e-08,False,0.1331632868561655,0.0855834322115747,8.840988232839152e-12,130,8
2,64,3,65,-2,2,random_nonneg,0/2,65,66,False,1,,,4.3893209275753e-08,False,0.0833082672758523,0.0835744167522005,0.0038154896443672,150,8
4,64,3,65,-2,4,random_nonneg,0/2,65,66,False,1,,,4.19045411360604e-08,False,0.6887144898665619,0.2832253283597398,0.0020214326364915,150,8
6,64,3,65,-2,6,random_nonneg,0/2,65,66,False,1,,,3.0356194308254155e-08,False,0.0354063033512674,0.0535581298492617,0.0015591156414523,150,8
8,64,3,65,-2,8,random_nonneg,0/2,65,66,False,1,,,4.5465737891063954e-08,False,0.0148590480283711,0.0264414483587291,0.0005590430389329,150,8
10,64,3,65,-2,10,random_nonneg,0/2,65,66,False,1,,,3.7559071235676136e-08,False,0.8974677801956263,0.3308125936321831,0.0008029867214542,150,8
12,64,3,65,-2,12,random_nonneg,0/2,65,66,False,1,,,4.3144195654068696e-08,False,0.3919109859219098,0.1183338321485611,0.0019720690127714,150,8
14,64,3,65,-2,14,random_nonneg,0/2,65,66,False,1,,,4.097230175143212e-08,False,0.0355468493060612,0.0503144346645074,0.0035491581891211,150,8
16,64,3,65,-2,16,random_nonneg,0/2,65,66,False,1,,,5.8105994123059424e-08,False,0.194434476941204,0.1207239211552308,0.0017433251397273,150,8
18,64,3,65,-2,18,random_nonneg,0/2,65,66,False,1,,,7.663835309387176e-08,False,0.1665614852761929,0.1070337404272364,0.003022050529527,150,8
20,64,3,66,-1,0,smooth_bump,0/2,66,66,True,0,0.0008947182149379,,5.264484687543318e-08,False,0.003943329322801,0.028630889771061,0.0003667996804149,150,8
22,64,3,66,-1,2,random_nonneg,0/2,66,66,True,0,0.002129585897255,,3.848321643059112e-08,False,0.0360754956027056,0.0835292857152922,0.0024691408491645,150,8
24,64,3,66,-1,4,random_nonneg,0/2,66,66,True,0,0.0019718717934432,,6.011096081962108e-08,False,0.0025520032571384,0.0150720405272288,0.0007139098534083,150,8
26,64,3,66,-1,6,random_nonneg,0/2,66,66,True,0,0.001772106776903,,1.6376235333789335e-07,False,0.0578089112658355,0.1218795404054671,0.0059652262290057,150,8
