unit_index,K,p,N,offset,seed,object_kind,shard,rank_J,expected_rank,local_identifiable,rank_deficit,sv_smallest_informative_ratio,sv_gauge_ratio,rank_threshold,solver_success,best_relmse_T,best_ell_max_err,best_residual,iterations,restarts_used
0,16,3,17,-2,0,smooth_bump,0/1,17,18,False,1,,,9.708511043141718e-09,True,1.1613082124879178e-07,0.00021123746460594006,3.4884021865999684e-07,150,6
1,16,3,17,-2,1,sparse_spikes,0/1,17,18,False,1,,,5.809738220724002e-09,False,0.08344637360149793,0.049413756376715856,8.426036799589483e-12,80,8
2,16,3,17,-2,2,random_nonneg,0/1,17,18,False,1,,,1.2298478221487417e-08,False,0.06763482928058841,0.13219193077064748,1.61172687546443e-05,150,8
3,16,3,18,-1,0,smooth_bump,0/1,18,18,True,0,0.05061379219644268,,1.919723902916721e-08,True,2.3368726305821677e-18,1.213266959121384e-09,2.982659920626733e-10,150,1
4,16,3,18,-1,1,sparse_spikes,0/1,18,18,True,0,0.008095792071573382,,1.8288006478975446e-08,False,0.011237925856539285,0.09196823491892392,0.00230574741411819,150,8
5,16,3,18,-1,2,random_nonneg,0/1,18,18,True,0,0.02612365042317498,,9.99299390137065e-09,True,1.2153871118021692e-08,7.490898694519077e-05,1.074735288566332e-05,150,1
6,16,3,19,0,0,smooth_bump,0/1,18,18,True,0,0.005717957061872461,2.0475796203760162e-18,1.0533165195372497e-08,False,0.0005286222443602589,0.014355422095697123,0.0003725352562991506,150,8
7,16,3,19,0,1,sparse_spikes,0/1,18,18,True,0,0.01714316740812522,1.579566832124391e-17,1.527439982465268e-08,True,5.290038910969138e-07,0.0009509845895817604,0.00011749864301869785,150,1
8,16,3,19,0,2,random_nonneg,0/1,18,18,True,0,0.03106832682040079,3.335512380273764e-17,7.17125949476497e-09,True,1.3195946166078269e-15,2.3731720977249182e-08,4.297288331111473e-09,150,1
9,16,3,21,2,0,smooth_bump,0/1,18,18,True,0,0.02911294031267578,3.563058934612539e-17,2.3721976326769096e-08,True,6.398681340068409e-08,0.00015441081757292668,2.467993796053832e-05,150,1
10,16,3,21,2,1,sparse_spikes,0/1,18,18,True,0,0.07237272923665834,6.109845917036969e-17,1.161086672253781e-08,True,2.58484814999612e-21,2.988517766588927e-11,9.529608471580834e-12,109,1
11,16,3,21,2,2,random_nonneg,0/1,18,18,True,0,0.04629244262951449,3.303411573773273e-17,1.1307106891685157e-08,True,4.317543151283932e-13,7.236503656860016e-07,1.0478557656286773e-07,150,1
12,16,3,23,4,0,smooth_bump,0/1,18,18,True,0,0.05081806026008365,7.281895526819498e-17,9.451023661476916e-09,True,2.1467446999468176e-15,5.5804651018231954e-08,9.955189389837942e-09,150,1
13,16,3,23,4,1,sparse_spikes,0/1,18,18,True,0,0.024285207506558004,7.336378292256447e-17,1.2904889576006902e-08,True,6.775794304683603e-08,0.00023766880082531916,2.65497304448515e-05,150,1
14,16,3,23,4,2,random_nonneg,0/1,18,18,True,0,0.03996140814556655,4.169706719560596e-17,1.671706060634442e-08,True,7.199878201492125e-17,7.102258850477661e-09,1.7658666908465575e-09,150,1
15,16,3,25,6,0,smooth_bump,0/1,18,18,True,0,0.053802590945847224,3.4350065007277366e-17,2.9800984367523266e-08,True,2.66610423290316e-20,1.4170770112897912e-10,3.2886074468216736e-11,150,1
16,16,3,25,6,1,sparse_spikes,0/1,18,18,True,0,0.11135526194732047,8.905778973232318e-17,8.377969893196778e-09,True,5.104654419799799e-22,1.675531935418917e-11,8.385178771865251e-12,56,1
17,16,3,25,6,2,random_nonneg,0/1,18,18,True,0,0.03443660179371569,6.046640425875498e-17,3.948405167369271e-08,True,1.8115297358449848e-17,2.789971004224512e-09,5.422747701846587e-10,150,1
18,16,3,27,8,0,smooth_bump,0/1,18,18,True,0,0.091267526512264,1.0708807362914309e-16,1.7348654558619838e-08,True,4.87475484250758e-22,2.0039910703095742e-11,9.71436462868517e-12,52,1
19,16,3,27,8,1,sparse_spikes,0/1,18,18,True,0,0.12759676573951229,5.2557432028085957e-17,1.666344750509227e-08,True,2.756330570085239e-22,2.4903012811605674e-11,7.503930158610545e-12,77,1
20,16,3,27,8,2,random_nonneg,0/1,18,18,True,0,0.073767552546196,5.252802048481196e-17,2.4677188379226428e-08,True,7.056202485625977e-22,2.3681723249069364e-11,9.371122785667856e-12,83,1
21,16,5,17,-4,0,smooth_bump,0/1,17,20,False,3,,,2.5852943094877022e-08,False,0.12174405872243295,0.36965180193806024,7.488204295912418e-12,64,8
22,16,5,17,-4,1,sparse_spikes,0/1,17,20,False,3,,,1.0394958124262595e-08,False,0.15438260785641147,0.730861809112989,8.82198907984447e-12,104,8
23,16,5,17,-4,2,random_nonneg,0/1,17,20,False,3,,,1.3492284285185227e-08,False,0.22928644911578097,0.3114985177375611,9.94159996891943e-12,138,8
24,16,5,19,-2,0,smooth_bump,0/1,19,20,False,1,,,1.907895299989451e-08,False,0.0044656587112398855,0.07215421469544392,0.00033289423715555255,150,8
25,16,5,19,-2,1,sparse_spikes,0/1,19,20,False,1,,,1.0184070614188343e-08,False,0.0002182256394709775,0.010818197652936574,0.0003360411090663166,150,8
26,16,5,19,-2,2,random_nonneg,0/1,19,20,False,1,,,2.1916244781231637e-08,False,0.011246994529021705,0.13730617347724788,0.0031546942178802663,150,8
27,16,5,20,-1,0,smooth_bump,0/1,20,20,True,0,0.0004835588330787293,,7.754050643483694e-09,False,0.0001373229200526392,0.022420294199852364,0.00016111416246622674,150,8
28,16,5,20,-1,1,sparse_spikes,0/1,20,20,True,0,0.013177844680282895,,1.0352732289733928e-08,False,1.0799496060061525e-05,0.011896221435423293,0.00026881353739997984,150,8
29,16,5,20,-1,2,random_nonneg,0/1,20,20,True,0,0.006579993497976725,,2.6506302639799282e-08,True,2.1834894867277126e-07,0.0007734575165633251,1.4267043310053674e-05,150,7
30,16,5,21,0,0,smooth_bump,0/1,20,20,True,0,0.006128731562384305,9.226852824515347e-18,1.88954767052439e-08,False,2.0917640341957013e-05,0.0030113058009979266,0.00014298392372112879,150,8
31,16,5,21,0,1,sparse_spikes,0/1,20,20,True,0,0.009944398712626158,2.4582799096787687e-17,8.543515904843134e-09,False,0.007150039026927029,0.06301459982312119,0.0019870164321903216,150,8
32,16,5,21,0,2,random_nonneg,0/1,20,20,True,0,0.020790393370015446,3.111564633094755e-17,1.4490337633747777e-08,False,4.106299194717271e-06,0.0016287199685545983,0.00014162581722312537,150,8
33,16,5,23,2,0,smooth_bump,0/1,20,20,True,0,0.04763409045844849,6.00340150201718e-17,9.658466674173202e-09,True,2.191665634898965e-21,5.009734294070256e-11,9.89159371624929e-12,143,1
34,16,5,23,2,1,sparse_spikes,0/1,20,20,True,0,0.033603390171725846,4.2067482201637487e-17,9.123468441981999e-09,True,4.208547145990446e-09,5.969301041064412e-05,6.664348675153147e-06,150,1
35,16,5,23,2,2,random_nonneg,0/1,20,20,True,0,0.02161025216572293,5.659201223137882e-17,2.3009893371485494e-08,True,4.191055919989741e-10,1.0711491435555498e-05,1.550514165302423e-06,150,1
36,16,5,25,4,0,smooth_bump,0/1,20,20,True,0,0.057347945783125735,5.849822449536331e-17,1.5648188288743846e-08,True,6.364827850060684e-17,1.4662615788196831e-08,2.338830200193283e-09,150,1
37,16,5,25,4,1,sparse_spikes,0/1,20,20,True,0,0.05480223374842939,6.388645128960296e-17,1.1044519978200232e-08,True,5.097375445246824e-14,1.6316379831959882e-07,3.311862458833242e-08,150,1
38,16,5,25,4,2,random_nonneg,0/1,20,20,True,0,0.05602252076268683,3.119193806713993e-17,2.4529096996758288e-08,True,1.832446774415008e-21,7.253533884643559e-11,1.0959467170895894e-11,150,1
39,16,5,27,6,0,smooth_bump,0/1,20,20,True,0,0.037652544901984296,2.853778856603762e-17,3.670657402840743e-08,True,1.47622544105973e-21,3.835998185763856e-11,8.709340781999239e-12,99,1
40,16,5,27,6,1,sparse_spikes,0/1,20,20,True,0,0.11545870509229075,6.984489288080303e-17,1.3046497321739565e-08,True,7.189693754999499e-22,3.2485847345498087e-11,9.056428366465084e-12,76,1
41,16,5,27,6,2,random_nonneg,0/1,20,20,True,0,0.05043416220206777,6.067259182273905e-17,1.93186154434746e-08,True,9.403545844789779e-18,3.426272016104903e-09,7.057278942334266e-10,150,1
42,16,5,29,8,0,smooth_bump,0/1,20,20,True,0,0.06474637409543108,6.660550366956657e-17,1.4516217643896214e-08,True,5.055455102151144e-19,6.719711453939681e-10,1.5985237055006234e-10,150,1
43,16,5,29,8,1,sparse_spikes,0/1,20,20,True,0,0.04763139237315175,6.495487044499464e-17,1.7974395061663422e-08,True,9.678370250868079e-13,1.0494722698650705e-06,1.5542655536440544e-07,150,1
44,16,5,29,8,2,random_nonneg,0/1,20,20,True,0,0.04315281203834709,1.0852314905465183e-16,2.1868051686175694e-08,True,7.968471192597655e-12,4.71420583847415e-06,5.391669426237587e-07,150,1
