image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std,boundary_status,censor_type,log_window_observed,sampled_min_window_frames,sampled_max_window_frames,log_window_lower,log_window_upper,predicted_log_window,predicted_window_frames,interval_satisfied,hinge_residual_log10
32,1024,hadamard_paired,0.0003,0.05,0.0025,5,0.0003899575149262,3.247523756981573e-05,0.6550593767315149,0.1163606829707074,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7783394851164944,6.002601122596074,False,0.07936948078047557
32,1024,hadamard_paired,0.0003,0.1,0.0025,5,0.0003980422143285,4.329552825699595e-05,0.854588532820344,0.0681023314692778,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7425203907514564,5.527393592442529,False,0.043550386415437514
32,1024,hadamard_paired,0.0003,0.15,0.0025,5,0.000407868736147,5.7958173699556606e-05,0.9234746396541595,0.0396533889195096,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7215675637381167,5.267051487020977,False,0.022597559402097844
32,1024,hadamard_paired,0.0003,0.3,0.0025,5,0.00044800692649,0.0001141838506651,0.976937972009182,0.0128654605612551,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6857484693730788,4.850075166719306,True,-0.013221534962940096
32,1024,hadamard_paired,0.0003,0.5,0.0025,5,0.0005271053914839,0.0002111925189388,0.9901164695620536,0.0057332622264752,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6593510292118532,4.564056680273922,False,-0.03961897512416568
32,1024,hadamard_paired,0.001,0.05,0.0025,5,0.0003969995050283,3.863787038731694e-05,0.8123500254005194,0.0780473186240956,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7383173287601137,5.4741580064643385,False,0.03934732442409483
32,1024,hadamard_paired,0.001,0.1,0.0025,5,0.0004156210598011,6.038181147159744e-05,0.935776824131608,0.0333458745268345,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7024982343950756,5.0407856978947,True,0.0035282300590567806
32,1024,hadamard_paired,0.001,0.15,0.0025,5,0.0004395605210447,8.808665152570793e-05,0.9679369982331992,0.017577679520684,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.681545407381736,4.803362988688127,True,-0.01742459695428289
32,1024,hadamard_paired,0.001,0.3,0.0025,5,0.0005443116242531,0.0001973373267467,0.9897455219179392,0.0059758279275527,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6457263130166979,4.423095465381792,False,-0.05324369131932094
32,1024,hadamard_paired,0.001,0.5,0.0025,5,0.0007637524640813,0.0004042911102975,0.9947122912853956,0.0032921309074175,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6193288728554722,4.16225681300526,False,-0.07964113148054663
32,1024,hadamard_paired,0.003,0.05,0.0025,5,0.0004046923804708,4.30206157030853e-05,0.8839266132563353,0.0470417292047198,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.7017975397464962,5.032659405897027,True,0.002827535410477311
32,1024,hadamard_paired,0.003,0.1,0.0025,5,0.0004392333194118,7.152686001054683e-05,0.9627881124615668,0.018087355284935,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6659784453814581,4.634239188138829,False,-0.03299155895456074
32,1024,hadamard_paired,0.003,0.15,0.0025,5,0.0004873602219959,0.0001075071908592,0.9808755610138178,0.0099796872262043,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6450256183681184,4.415964956877873,False,-0.05394438596790041
32,1024,hadamard_paired,0.003,0.3,0.0025,5,0.0007147362075556,0.0002524510543302,0.992637261748314,0.004271398444439,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6092065240030804,4.066366548197512,False,-0.08976348033293846
32,1024,hadamard_paired,0.003,0.5,0.0015,3,0.0010364305726398,0.0004697245743141,0.9958737287670374,0.0025658105556199,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5828090838418547,3.8265649027656297,False,0.10568782912219227
32,1024,hadamard_paired,0.01,0.05,0.0025,5,0.0004196242643956,4.516565391100234e-05,0.909115344285965,0.0277456208027864,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6617753833901152,4.589605775551567,False,-0.037194620945903645
32,1024,hadamard_paired,0.01,0.1,0.0025,5,0.0004970991349182,7.639310149432641e-05,0.9697611797600983,0.0106688705179996,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6259562890250772,4.226260755545468,False,-0.0730137153109417
32,1024,hadamard_paired,0.01,0.15,0.0025,5,0.0006161565215734,0.0001155892640756,0.98285879381001,0.0063611509218462,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6050034620117375,4.027202446279493,False,-0.09396654232428137
32,1024,hadamard_paired,0.01,0.3,0.0015,3,0.0010030541943706,0.0002496653558171,0.9927121847867966,0.0029182827168591,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5691843676466996,3.70838117382801,False,0.09206311292703712
32,1024,hadamard_paired,0.01,0.5,0.0015,3,0.001794250048988,0.0004882893972377,0.9948836155235768,0.0019640968321717,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5427869274854739,3.4896906310960083,False,0.06566567276581142
32,1024,hadamard_paired,0.03,0.05,0.0025,5,0.0004596959879563,4.642498830869567e-05,0.9078218806535006,0.0183141274190597,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.6252555943764978,4.21944756589287,False,-0.07371440995952105
32,1024,hadamard_paired,0.03,0.1,0.0025,5,0.0006576959967787,7.972790256919866e-05,0.9639105908572674,0.0080857632027051,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.5894365000114598,3.885406836640958,False,-0.1095335043245591
32,1024,hadamard_paired,0.03,0.15,0.0015,3,0.0008501052489009,0.0001257717958188,0.9791050255298616,0.0051813775773309,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5684836729981201,3.7024028620997838,False,0.09136241827845765
32,1024,hadamard_paired,0.03,0.3,0.0015,3,0.0018001109056058,0.0002575801371145,0.9885236527770758,0.0026924613253718,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.532664578633082,3.4092949770682823,False,0.055543323913419596
32,1024,hadamard_paired,0.03,0.5,0.0015,3,0.0040144529630197,0.0005467240234136,0.9900389276444912,0.002149413027958,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5062671384718564,3.2082421365106555,False,0.029145883752194013
32,1024,hadamard_paired,0.1,0.05,0.0025,5,0.0005990306035528,4.889905200671042e-05,0.8793514668941498,0.0137076648906781,interior,exact,0.6989700043360189,3,1024,0.6989700043360189,0.6989700043360189,0.5852334380201168,3.847985598899707,False,-0.11373656631590201
32,1024,hadamard_paired,0.1,0.1,0.0015,3,0.0009791643806238,9.734443021423551e-05,0.949171284213662,0.0070875094721394,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5494143436550788,3.543352374873539,False,0.07229308893541636
32,1024,hadamard_paired,0.1,0.15,0.0015,3,0.0015490027726627,0.0001304532598678,0.9638473149389029,0.0046953228969453,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5284615166417391,3.3764592810315652,False,0.05134026192207669
32,1024,hadamard_paired,0.1,0.3,0.0015,3,0.0046045316776144,0.0003411039050953,0.9724455829709768,0.0031967501705066,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.49264242227670113,3.109155350146836,True,0.015521167557038695
32,1024,hadamard_paired,0.1,0.5,0.0015,3,0.0118726060318294,0.0009668573037009,0.972384598106146,0.0032319839553589,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.4662449821154755,2.9258023346153066,True,0.0
32,1024,hadamard_paired,0.3,0.05,0.0015,3,0.0008484943518851,7.976457808177484e-05,0.8301326893270016,0.0156494971187111,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5487136490064994,3.537640107426643,False,0.071592394286837
32,1024,hadamard_paired,0.3,0.1,0.0015,3,0.0018415478079987,0.0001138043330217,0.9027247484773396,0.0076977130972743,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.5128945546414614,3.2575759846092884,False,0.03577329992179895
32,1024,hadamard_paired,0.3,0.15,0.0015,3,0.0034898423837148,0.0001918590205868,0.9182142335921526,0.0058863374415113,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.49194172762812166,3.1041430552873317,True,0.014820472908459226
32,1024,hadamard_paired,0.3,0.3,0.0015,3,0.0124434832541737,0.000741288136197,0.9252003245055676,0.0051587940929156,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.45612263326308367,2.8583975652207863,True,0.0
32,1024,hadamard_paired,0.3,0.5,0.0015,3,0.0341218279208987,0.0026583192273974,0.9195459708571434,0.0059668078122285,lower_bound,upper_bounded,0.47712125471966244,3,1024,-inf,0.47712125471966244,0.429725193101858,2.6898322302186415,True,0.0
