image_size,num_pixels,basis,rho,sigma_a,window_frac,window_frames,gain_rel_mse_mean,gain_rel_mse_std,gain_corr_mean,gain_corr_std
32,1024,hadamard_paired,0.0003,0.05,0.0015,3,0.0005126325731907855,7.138153386266566e-05,0.6070597041398287,0.11929134935870211
32,1024,hadamard_paired,0.0003,0.05,0.0025,5,0.0003899575149262091,3.247523756981573e-05,0.6550593767315149,0.11636068297070744
32,1024,hadamard_paired,0.0003,0.05,0.004,8,0.0004372558014438255,2.3815829045521105e-05,0.635116177611053,0.12266307418203921
32,1024,hadamard_paired,0.0003,0.05,0.006,12,0.0005417080883489689,2.829475039323252e-05,0.5972588947042823,0.1302077667800406
32,1024,hadamard_paired,0.0003,0.05,0.009,18,0.0007141427577153081,3.777377254899625e-05,0.5480967750772834,0.13958870824194675
32,1024,hadamard_paired,0.0003,0.05,0.013,27,0.0009529518629278755,5.051470817304591e-05,0.49748499505221844,0.14919357787400592
32,1024,hadamard_paired,0.0003,0.05,0.02,41,0.0013791606870654505,7.304016802406312e-05,0.435498321428895,0.16222037196886205
32,1024,hadamard_paired,0.0003,0.05,0.03,61,0.001990084991120966,0.00010645583245173088,0.3780936597759137,0.17879666000847355
32,1024,hadamard_paired,0.0003,0.05,0.045,92,0.0029405599561869167,0.00015621250747553366,0.3223663803655654,0.20585358698420553
32,1024,hadamard_paired,0.0003,0.05,0.067,137,0.004194013250526041,0.00021719521748885136,0.2772096889093518,0.2415000442536439
32,1024,hadamard_paired,0.0003,0.05,0.1,205,0.006050262411008589,0.0003022979081346528,0.235042186366627,0.28882955352092826
32,1024,hadamard_paired,0.0003,0.05,0.15,307,0.008659445244120434,0.0004174214913297112,0.2003308952844236,0.3405764645011857
32,1024,hadamard_paired,0.0003,0.05,0.22,451,0.01200355080072768,0.0005424730246614731,0.17331538879079744,0.39193893731680224
32,1024,hadamard_paired,0.0003,0.05,0.33,676,0.016490553476614878,0.0007327174537371016,0.15391227172221988,0.44959155272451856
32,1024,hadamard_paired,0.0003,0.05,0.5,1024,0.02179168025031686,0.0009558308711407838,0.1446974331047386,0.5097857978531356
32,1024,hadamard_paired,0.0003,0.1,0.0015,3,0.0005195370586079662,7.568934217290595e-05,0.8234470076858997,0.079123118212591
32,1024,hadamard_paired,0.0003,0.1,0.0025,5,0.00039804221432859777,4.329552825699595e-05,0.854588532820344,0.0681023314692778
32,1024,hadamard_paired,0.0003,0.1,0.004,8,0.0004489863176786457,4.557600707999045e-05,0.8407739195972681,0.07360568431343405
