sigma_a,correction,challenger,baseline,rho_star_first_ge,boundary_status,max_margin_db,min_margin_db,points,rho_lower_bound,rho_upper_bound,rho_interval_midpoint,interval_kind,rho_grid_min,rho_grid_max
0.05,agc,random_uniform,hadamard_paired,,not_reached,-3.673369840400005,-10.074254069354078,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,agc,random_binary,hadamard_paired,,not_reached,-2.578281767517669,-9.836160325673085,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,agc,fourier_fourstep,hadamard_paired,,not_reached,-0.2976643571179131,-2.6417349714677663,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,agc,dct_paired,hadamard_paired,,not_reached,-0.9433456407839316,-2.3935440664135506,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,agc,srht_paired,hadamard_paired,0.001,left_censored,18.68897758964188,1.3121529807867276,7,,0.001,0.001,upper_bound,0.001,1.0
0.05,none,random_uniform,hadamard_paired,,not_reached,-4.872842226530409,-26.325981236154437,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,none,random_binary,hadamard_paired,,not_reached,-3.751046689851416,-25.63959839160127,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,none,fourier_fourstep,hadamard_paired,,not_reached,-2.30317558741433,-20.115329430755374,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,none,dct_paired,hadamard_paired,,not_reached,-0.294595999892131,-2.683793066192923,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,none,srht_paired,hadamard_paired,0.1,observed,0.1001126246182408,-0.2122909077921377,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.05,pairwise,dct_paired,hadamard_paired,,not_reached,-2.20044044844866,-3.0157757612745897,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,pairwise,srht_paired,hadamard_paired,0.001,left_censored,0.0907643956677404,0.0113713314092578,7,,0.001,0.001,upper_bound,0.001,1.0
0.05,reference_k2,random_uniform,hadamard_paired,,not_reached,-5.432512272924313,-32.28007830917282,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k2,random_binary,hadamard_paired,,not_reached,-4.578633467067073,-32.38768497618677,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k2,fourier_fourstep,hadamard_paired,,not_reached,-2.3052182301578057,-27.525762399658937,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k2,dct_paired,hadamard_paired,,not_reached,-2.462426976105334,-3.0081433645239315,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k2,srht_paired,hadamard_paired,0.001,left_censored,0.0648663983501549,0.0132735228188352,7,,0.001,0.001,upper_bound,0.001,1.0
0.05,reference_k32,random_uniform,hadamard_paired,,not_reached,-5.411867026536868,-29.297033697191992,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k32,random_binary,hadamard_paired,,not_reached,-4.247882357209521,-29.36078151538331,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k32,fourier_fourstep,hadamard_paired,,not_reached,-2.301797183218097,-24.48990630283757,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k32,dct_paired,hadamard_paired,,not_reached,-2.176140962680533,-2.9241552446933383,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k32,srht_paired,hadamard_paired,1.0,observed,0.0576684465007169,-0.1248498388797401,7,0.3,1.0,0.5477225575051661,closed_interval,0.001,1.0
0.05,reference_k8,random_uniform,hadamard_paired,,not_reached,-5.178941928953286,-29.801148467237045,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k8,random_binary,hadamard_paired,,not_reached,-4.022579776897519,-29.897231696557743,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k8,fourier_fourstep,hadamard_paired,,not_reached,-2.3046688487701985,-25.041433128006,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k8,dct_paired,hadamard_paired,,not_reached,-2.2097482593933897,-3.0123668207597163,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,reference_k8,srht_paired,hadamard_paired,0.3,observed,0.0841057493228483,-0.0356219954847532,7,0.1,0.3,0.17320508075688773,closed_interval,0.001,1.0
0.05,scgi_frozen,random_uniform,hadamard_paired,,not_reached,-4.872481677651116,-26.20675980314325,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_frozen,random_binary,hadamard_paired,,not_reached,-3.751107593372893,-25.57534862053764,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_frozen,fourier_fourstep,hadamard_paired,,not_reached,-2.3031756329047823,-20.11533032020124,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_frozen,dct_paired,hadamard_paired,,not_reached,-0.2945963592228864,-2.6837926649440007,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_frozen,srht_paired,hadamard_paired,0.001,left_censored,0.2648551569261812,-0.1516193953980078,7,,0.001,0.001,upper_bound,0.001,1.0
0.05,scgi_proxy,random_uniform,hadamard_paired,,not_reached,-4.894313183379598,-29.057947099193875,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_proxy,random_binary,hadamard_paired,,not_reached,-3.80114476597606,-29.12921966489824,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_proxy,fourier_fourstep,hadamard_paired,,not_reached,-2.4329964299210207,-23.18518307536688,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_proxy,dct_paired,hadamard_paired,,not_reached,-2.181187661999159,-2.8076462512475686,7,1.0,,1.0,lower_bound,0.001,1.0
0.05,scgi_proxy,srht_paired,hadamard_paired,0.1,observed,0.0896421403933089,-0.129810970133839,7,0.03,0.1,0.05477225575051661,closed_interval,0.001,1.0
0.1,agc,random_uniform,hadamard_paired,,not_reached,-1.6216527046982083,-10.127400976698372,7,1.0,,1.0,lower_bound,0.001,1.0
