image_size,num_pixels,frame_factor,num_frames,basis,sigma_delta,seed,object,delta_recon_mse,delta_recon_rel_mse
32,1024,1.0,1024,random_uniform,0.01,0,0,0.01068499007104526,0.05674014935765449
32,1024,1.0,1024,random_uniform,0.01,0,1,0.0048792197462463605,0.03183577233981338
32,1024,1.0,1024,random_uniform,0.01,0,2,0.008236127555839618,0.05110618652547532
32,1024,1.0,1024,random_uniform,0.01,0,3,0.006968229382966327,0.04711238947829903
32,1024,1.0,1024,random_uniform,0.01,0,4,0.0077365495530587235,0.039878050729273924
32,1024,1.0,1024,random_uniform,0.01,1,0,0.011504539851859053,0.061092177451290204
32,1024,1.0,1024,random_uniform,0.01,1,1,0.004595518786711713,0.029984689660604278
32,1024,1.0,1024,random_uniform,0.01,1,2,0.008525136606856486,0.05289952330525191
32,1024,1.0,1024,random_uniform,0.01,1,3,0.006324569629650408,0.042760588278434306
32,1024,1.0,1024,random_uniform,0.01,1,4,0.008501329713910965,0.04382011066724075
32,1024,1.0,1024,random_uniform,0.01,2,0,0.010789058597706347,0.05729278101261339
32,1024,1.0,1024,random_uniform,0.01,2,1,0.0043802741984298255,0.028580268858448214
32,1024,1.0,1024,random_uniform,0.01,2,2,0.00873260901482302,0.0541869151661161
32,1024,1.0,1024,random_uniform,0.01,2,3,0.00646518498983539,0.04371129257526188
32,1024,1.0,1024,random_uniform,0.01,2,4,0.008278127943676609,0.04266961696779171
32,1024,1.0,1024,random_uniform,0.01,3,0,0.011286021805981556,0.059931788299967474
32,1024,1.0,1024,random_uniform,0.01,3,1,0.004798475821704506,0.031308937039658036
32,1024,1.0,1024,random_uniform,0.01,3,2,0.008155436998044318,0.05060549166984412
32,1024,1.0,1024,random_uniform,0.01,3,3,0.006488220116740417,0.043867033698406374
32,1024,1.0,1024,random_uniform,0.01,3,4,0.007522447076085721,0.03877445934406564
32,1024,1.0,1024,random_uniform,0.02,0,0,0.04063490195521907,0.21578217581321796
32,1024,1.0,1024,random_uniform,0.02,0,1,0.01678486364256525,0.10951732561145798
32,1024,1.0,1024,random_uniform,0.02,0,2,0.0359007568569119,0.22276862079851995
32,1024,1.0,1024,random_uniform,0.02,0,3,0.027738993521198213,0.18754409401350483
32,1024,1.0,1024,random_uniform,0.02,0,4,0.032425018232132556,0.1671347818676344
32,1024,1.0,1024,random_uniform,0.02,1,0,0.04227795030580895,0.22450720112390574
32,1024,1.0,1024,random_uniform,0.02,1,1,0.017076253444515792,0.11141857619648796
32,1024,1.0,1024,random_uniform,0.02,1,2,0.03208604972299037,0.19909789289824267
32,1024,1.0,1024,random_uniform,0.02,1,3,0.025959615154178016,0.1755136681981266
32,1024,1.0,1024,random_uniform,0.02,1,4,0.03317315804858898,0.1709910691373829
32,1024,1.0,1024,random_uniform,0.02,2,0,0.04582880292975764,0.24336317636489713
32,1024,1.0,1024,random_uniform,0.02,2,1,0.01767410516743096,0.11531941943240387
32,1024,1.0,1024,random_uniform,0.02,2,2,0.035804755871326074,0.2221729228515521
32,1024,1.0,1024,random_uniform,0.02,2,3,0.02588477985486708,0.1750077046923212
32,1024,1.0,1024,random_uniform,0.02,2,4,0.0349501231212859,0.18015043699603503
32,1024,1.0,1024,random_uniform,0.02,3,0,0.04515266648576501,0.23977271137024486
32,1024,1.0,1024,random_uniform,0.02,3,1,0.01892446149152622,0.12347770320475616
32,1024,1.0,1024,random_uniform,0.02,3,2,0.03701925134509632,0.22970901694383458
32,1024,1.0,1024,random_uniform,0.02,3,3,0.027021598666458146,0.18269376777584384
32,1024,1.0,1024,random_uniform,0.02,3,4,0.03153563498322859,0.16255045521473566
32,1024,1.0,1024,random_uniform,0.05,0,0,0.25484751055877003,1.3533083059867066
