image_size,num_pixels,frame_factor,num_frames,basis,sigma_delta,delta_recon_rel_mse_mean,delta_recon_rel_mse_std
32,1024,1.0,1024,random_binary,0.01,0.01429098718597516,0.0029147043667615666
32,1024,1.0,1024,random_binary,0.02,0.0583921341727189,0.01228833017521027
32,1024,1.0,1024,random_binary,0.05,0.3489554541754504,0.07388906311330026
32,1024,1.0,1024,random_binary,0.1,1.4585577465848243,0.329055794111624
32,1024,2.0,2048,random_binary,0.01,0.009919306980639172,0.0022218765246972316
32,1024,2.0,2048,random_binary,0.02,0.04090107282436486,0.009213981031054516
32,1024,2.0,2048,random_binary,0.05,0.25130313758218004,0.06041215209853521
32,1024,2.0,2048,random_binary,0.1,1.0102325959497704,0.23088403082701608
32,1024,4.0,4096,random_binary,0.01,0.0061119431473033855,0.0014252212719277149
32,1024,4.0,4096,random_binary,0.02,0.024484857201861828,0.005416507244682225
32,1024,4.0,4096,random_binary,0.05,0.1516991692594501,0.03224099387578723
32,1024,4.0,4096,random_binary,0.1,0.5999970557071043,0.13037068027669027
32,1024,8.0,8192,random_binary,0.01,0.003305225786787557,0.0008254476654157835
32,1024,8.0,8192,random_binary,0.02,0.013147991127176534,0.0027146900591175807
32,1024,8.0,8192,random_binary,0.05,0.08365248648225085,0.02047024431614965
32,1024,8.0,8192,random_binary,0.1,0.3245522393330754,0.08136584543624238
32,1024,1.0,1024,random_uniform,0.01,0.04540791112127553,0.010060570344016652
32,1024,1.0,1024,random_uniform,0.02,0.18292463602525527,0.042816162079385364
32,1024,1.0,1024,random_uniform,0.05,1.0853336525542014,0.24735456587003618
32,1024,1.0,1024,random_uniform,0.1,4.481006228583518,1.0984733840361698
32,1024,2.0,2048,random_uniform,0.01,0.028378712302755394,0.007375320594778807
32,1024,2.0,2048,random_uniform,0.02,0.11737591158812193,0.030221122568726708
32,1024,2.0,2048,random_uniform,0.05,0.7430597766584002,0.20430202166266792
32,1024,2.0,2048,random_uniform,0.1,2.8641529114663298,0.6816096394675485
32,1024,4.0,4096,random_uniform,0.01,0.017544637842008104,0.004010577394962423
32,1024,4.0,4096,random_uniform,0.02,0.06950439604650506,0.016611155531754625
32,1024,4.0,4096,random_uniform,0.05,0.44012172786907805,0.1042447494040603
32,1024,4.0,4096,random_uniform,0.1,1.7638849180892624,0.3964030889801274
32,1024,8.0,8192,random_uniform,0.01,0.009916389341461109,0.002227680175144866
32,1024,8.0,8192,random_uniform,0.02,0.04057370120713276,0.00914487025930123
32,1024,8.0,8192,random_uniform,0.05,0.2472809322537087,0.060583967924853176
32,1024,8.0,8192,random_uniform,0.1,1.0033659206447307,0.22491764386878185
