image_size,num_pixels,num_frames,basis,sigma_delta,seed,object,mse,rel_mse,psnr,recon_scale,delta_recon_mse,delta_recon_rel_mse
16,256,512,random_uniform,0.01,0,0,0.04467865161848909,0.35484156247108833,13.498999421698146,0.6091269282514968,0.0018875705262781238,0.008824703379378233
16,256,512,random_uniform,0.01,0,1,0.032066286821093914,0.3555178340367839,14.939513271458809,0.6164114790432554,0.0014033334032346877,0.009335474074717295
16,256,512,random_uniform,0.01,0,2,0.06675463263458883,0.3166636333061896,11.755185897712499,0.6398385226294926,0.004476113176227649,0.012675239833562486
16,256,512,random_uniform,0.01,0,3,0.034525144676426756,0.3354370416384167,14.61864492849486,0.6242840970451722,0.0012740076849506185,0.00723965754782054
16,256,512,random_uniform,0.01,0,4,0.047993247189051166,0.3632972006783869,13.1881986501699,0.6358938585810131,0.0021731635589326407,0.01031274285268936
16,256,512,random_uniform,0.01,1,0,0.044888746056440214,0.3565101499491896,13.478625262173015,0.6164573800823979,0.0019513575203763092,0.009122918092175511
16,256,512,random_uniform,0.01,1,1,0.03139109917538613,0.3480320515166661,15.03193476990396,0.6275865972066285,0.001124238480803708,0.007478835155744799
16,256,512,random_uniform,0.01,1,2,0.0631381361031072,0.299508075911888,11.997082430342921,0.6423147040590597,0.004447274887576517,0.012593576968784196
16,256,512,random_uniform,0.01,1,3,0.03393379187282704,0.329691616474724,14.69367608158224,0.6263111637007348,0.0012809318276173188,0.007279004580268861
16,256,512,random_uniform,0.01,1,4,0.04875882294858947,0.3690924228531212,13.1194678691548,0.6285575918463676,0.002067737861016136,0.00981244543687395
16,256,512,random_uniform,0.01,2,0,0.04549992914484534,0.3613642168063871,13.419892796511654,0.6088502969220089,0.00189535534287638,0.00886109868031458
16,256,512,random_uniform,0.01,2,1,0.03241547167178996,0.359389234629267,14.892476546729759,0.6081598755555853,0.0015187510100480614,0.010103273140633189
16,256,512,random_uniform,0.01,2,2,0.06345460408505166,0.3010093035725385,11.975368612573718,0.6421783539021081,0.003950905084172995,0.011187981074182554
16,256,512,random_uniform,0.01,2,3,0.03434150036891636,0.333652802823421,14.641807345767665,0.6222383356088639,0.0014182538373759524,0.008059348636411279
16,256,512,random_uniform,0.01,2,4,0.04978031008048983,0.37682483183321325,13.029424025079345,0.6237313962517925,0.0020029594344367833,0.00950503955710538
16,256,512,random_uniform,0.01,3,0,0.043823158608679934,0.34804716592403245,13.582963233320658,0.6149058429443012,0.001677009709694473,0.007840296850561415
16,256,512,random_uniform,0.01,3,1,0.03257244597062506,0.3611296033546096,14.871496276291811,0.6170437130647346,0.0015783492057164605,0.010499741584468286
16,256,512,random_uniform,0.01,3,2,0.06543452272888578,0.31040143422568983,11.841930609286642,0.6294663912568792,0.003614405262904096,0.010235097228173812
16,256,512,random_uniform,0.01,3,3,0.03319897466392052,0.3225523296444824,14.788753290874626,0.6313505590569841,0.0011781925796203383,0.00669518002331764
16,256,512,random_uniform,0.01,3,4,0.04908667060056644,0.37157414978739267,13.090364237737868,0.6219301042975245,0.0023537509587819847,0.011169719958451606
16,256,512,random_uniform,0.02,0,0,0.04593456666788466,0.36481614411835667,13.378603762656361,0.5959230540792364,0.0063861390214461685,0.029856252690518795
16,256,512,random_uniform,0.02,0,1,0.03370688672725974,0.3737071095339812,14.72281358413791,0.591682887957739,0.006010817566652386,0.03998610125861474
16,256,512,random_uniform,0.02,0,2,0.0676251887122529,0.32079328603095114,11.698915099581912,0.6065810946444988,0.016980859121276892,0.04808557189421144
16,256,512,random_uniform,0.02,0,3,0.034844216063992975,0.3385370536244564,14.578693019264586,0.6206922270860513,0.005690285981762935,0.0323355363894247
16,256,512,random_uniform,0.02,0,4,0.05204452049083112,0.3939643535785039,12.836249884563397,0.6123328173933793,0.006762750324898315,0.0320926166790097
16,256,512,random_uniform,0.02,1,0,0.04639051422679075,0.3684373175053387,13.335708134131242,0.6086910449055001,0.006394747933701147,0.029896500774503808
16,256,512,random_uniform,0.02,1,1,0.03369054323149415,0.3735259097509321,14.72491986331487,0.6078569444580575,0.005387410494726727,0.035838975176856296
16,256,512,random_uniform,0.02,1,2,0.06783621654382829,0.32179433775182853,11.685383821540347,0.6203113118412293,0.018749063408239428,0.05309268689099356
16,256,512,random_uniform,0.02,1,3,0.03541463081331617,0.3440790502710493,14.508172812290056,0.6113409215909226,0.00531842929798681,0.030222429004588408
16,256,512,random_uniform,0.02,1,4,0.05000443971806004,0.37852143864119964,13.009914344748703,0.6189858208634533,0.007188614643923688,0.03411355486113227
16,256,512,random_uniform,0.02,2,0,0.04807833486125378,0.38184212918627053,13.180505820430014,0.5875130777381181,0.006801876729718964,0.031799895011721965
16,256,512,random_uniform,0.02,2,1,0.03257936634680411,0.36120632933051144,14.870573667666921,0.6153495369316102,0.006344215868810963,0.04220398561822735
16,256,512,random_uniform,0.02,2,2,0.07272359863451121,0.34497858892826805,11.383246387459112,0.6012973638616943,0.01485428994834697,0.042063656623457686
16,256,512,random_uniform,0.02,2,3,0.036880126622229885,0.3583174143179684,14.332075965326892,0.6046794968917117,0.005971392184335072,0.03393294640918406
16,256,512,random_uniform,0.02,2,4,0.04981817941087159,0.37711149344760797,13.026121476597998,0.630827450937798,0.008583252362964318,0.0407318050660047
16,256,512,random_uniform,0.02,3,0,0.046029953342586104,0.36557371301231084,13.369594653204004,0.5971851830001635,0.0065935727764942905,0.03082603969115591
16,256,512,random_uniform,0.02,3,1,0.034198089850282186,0.37915306189333475,14.659981509804016,0.597790426073963,0.007000463812304715,0.04656958088514762
16,256,512,random_uniform,0.02,3,2,0.07115078358558011,0.33751763366184495,11.478203126560198,0.6077717465192313,0.019447370266992565,0.055070118328412486
16,256,512,random_uniform,0.02,3,3,0.037348980501511066,0.36287267280278385,14.27721248429866,0.5869551054353659,0.00552527115507552,0.03139782553442609
16,256,512,random_uniform,0.02,3,4,0.05214820132362333,0.394749192249016,12.827606665029656,0.6175273827314466,0.008219654306483536,0.03900635129479126
16,256,512,random_uniform,0.05,0,0,0.05787691293025892,0.4596632501478056,12.374946415666246,0.4909598995397785,0.0521873636941091,0.24398452844054824
16,256,512,random_uniform,0.05,0,1,0.04246547765793793,0.4708133100199252,13.719639865435395,0.4986183638887139,0.03415378544675443,0.22720315632529062
16,256,512,random_uniform,0.05,0,2,0.1005782050189896,0.4771123527421724,9.974961193345395,0.4927853301545803,0.10530629668572614,0.2982012549559314
16,256,512,random_uniform,0.05,0,3,0.045940807348017726,0.44634855702201837,13.378013769314116,0.5095807512481533,0.03660049367128784,0.20798543320526952
16,256,512,random_uniform,0.05,0,4,0.06365631611225211,0.4818628203668521,11.961584982694307,0.5321481607788766,0.041345985774202024,0.19620728385935274
16,256,512,random_uniform,0.05,1,0,0.05829014806037204,0.4629451978773249,12.344048415458682,0.5044880388293671,0.05288344500891187,0.24723882333737213
16,256,512,random_uniform,0.05,1,1,0.04206001659092451,0.46631797692647736,13.761305603385816,0.5206619720811101,0.03130295423975149,0.2082384108392743
16,256,512,random_uniform,0.05,1,2,0.1017385660473157,0.4826167518329144,9.925143878185507,0.46448092468009916,0.12242480362717045,0.3466766112600758
16,256,512,random_uniform,0.05,1,3,0.04624306882170486,0.44928524839536715,13.349533526128711,0.5247693825705053,0.036057248618555617,0.2048983967668029
16,256,512,random_uniform,0.05,1,4,0.067270487129965,0.5092212153580455,11.721754274221512,0.4878458835067402,0.05027263674019662,0.2385686862349881
16,256,512,random_uniform,0.05,2,0,0.06277974234851576,0.49860192865043823,12.021804710005428,0.49709488850922484,0.0466905476051967,0.2182860070659363
16,256,512,random_uniform,0.05,2,1,0.03943367597417844,0.4371998276154016,14.041327364725822,0.5140352292152394,0.03517459139651908,0.23399392141174766
16,256,512,random_uniform,0.05,2,2,0.1008597648011906,0.47844798654174286,9.962820489239027,0.48602550856658,0.11906627840539832,0.33716610270119546
16,256,512,random_uniform,0.05,2,3,0.04471277015264413,0.4344172771476341,13.495684228463695,0.5004541762397169,0.03988186824138815,0.2266321246297203
16,256,512,random_uniform,0.05,2,4,0.06369043543154342,0.4821210953099655,11.959257819689451,0.5136675823693583,0.05147908110634207,0.2442938653007758
16,256,512,random_uniform,0.05,3,0,0.059639460490453336,0.4736615492802301,12.244662939091643,0.5019961362035075,0.042420952428116276,0.198324945763474
16,256,512,random_uniform,0.05,3,1,0.04092648387932314,0.4537505382115818,13.879955653327855,0.49272816819221915,0.0381744949580957,0.25395034934341226
16,256,512,random_uniform,0.05,3,2,0.09289531507657567,0.4406670642664812,10.320061879191263,0.4832065685552817,0.1054039655123512,0.29847782879421375
16,256,512,random_uniform,0.05,3,3,0.04408504714517497,0.4283184888422633,13.557086904307765,0.5084967113825543,0.033656993771542944,0.19125874347025182
16,256,512,random_uniform,0.05,3,4,0.06483016906729229,0.49074860154548916,11.882228458211843,0.5009968228399282,0.05036396291458435,0.23900207439314547
16,256,512,random_uniform,0.1,0,0,0.07897515748642989,0.6272272609786681,11.025094993839495,0.3100735036819577,0.20183341843160935,0.9436045037304451
16,256,512,random_uniform,0.1,0,1,0.061402173982776864,0.6807638196869935,12.118162521160073,0.3094069126773564,0.15169652415765356,1.0091393572149354
16,256,512,random_uniform,0.1,0,2,0.1277766907413968,0.6061336800922879,8.935483637493567,0.32754071325130696,0.396585967429243,1.1230328755957708
16,256,512,random_uniform,0.1,0,3,0.06472559934007438,0.6288565555449271,11.889239194348907,0.35411936768244523,0.14214235508316694,0.8077360804010566
16,256,512,random_uniform,0.1,0,4,0.0818815345117418,0.619823288017754,10.868140269800111,0.3515133778318311,0.1798711807197702,0.8535782894701589
16,256,512,random_uniform,0.1,1,0,0.0765857988133112,0.6082507759201436,11.158517534587123,0.3293275888171314,0.18192443119558946,0.850526706373582
16,256,512,random_uniform,0.1,1,1,0.056164624749538164,0.6226952890382517,12.505371384047912,0.357977086709579,0.11229751807007757,0.7470431233104371
16,256,512,random_uniform,0.1,1,2,0.14808256019821248,0.7024585364484693,8.294960856763803,0.3102687414395242,0.42969221898872245,1.2167815503914128
16,256,512,random_uniform,0.1,1,3,0.06425482917936425,0.6242826789839385,11.92094226640473,0.42024251300151183,0.1199628802448582,0.6816993191502156
16,256,512,random_uniform,0.1,1,4,0.09324286828289174,0.7058258195566748,10.303843754316755,0.3150464081294164,0.19244045412779012,0.9132257485715444
16,256,512,random_uniform,0.1,2,0,0.08508990644030345,0.6757911051035667,10.701219538668067,0.28826615260212174,0.22224595369652766,1.0390364711331086
16,256,512,random_uniform,0.1,2,1,0.05832176065393277,0.6466113816227185,12.341693737376524,0.33528842126256037,0.14446360088987958,0.9610233731621913
16,256,512,random_uniform,0.1,2,2,0.1375765889497252,0.6526214106093176,8.61455462575591,0.349392879988743,0.35417139072907644,1.002925337884508
16,256,512,random_uniform,0.1,2,3,0.06381252489986419,0.6199853692866149,11.95094071105798,0.3432595142165924,0.14209511875530134,0.8074676559310922
16,256,512,random_uniform,0.1,2,4,0.08312501300369005,0.6292361175654,10.802682737498268,0.33965501093437395,0.18176255074844472,0.862553781749527
16,256,512,random_uniform,0.1,3,0,0.08955403970364215,0.7112456223027102,10.479148187325428,0.32324166417117006,0.17455377355814766,0.816067666853811
16,256,512,random_uniform,0.1,3,1,0.06039842899996298,0.6696353331177117,12.189743574967537,0.30256821511843296,0.14030844530587822,0.9333817969398555
16,256,512,random_uniform,0.1,3,2,0.14491479935023366,0.6874316443815612,8.388872601607101,0.28153782152217177,0.5212983830763178,1.4761874354368665
16,256,512,random_uniform,0.1,3,3,0.06612668418972342,0.6424691199948473,11.796232537092905,0.36372550286477034,0.15118307454172789,0.8591107413540914
16,256,512,random_uniform,0.1,3,4,0.08547383314965624,0.6470161144171486,10.681668192839211,0.3172295358171335,0.20435460516283327,0.9697643259038689
16,256,512,random_binary,0.01,0,0,0.046792474596505367,0.3716297201512137,13.298239867550492,0.6532085684941171,0.0006854218115311208,0.003644697589392281
16,256,512,random_binary,0.01,0,1,0.029469627599411796,0.32672876134574835,15.306253521901967,0.6718687596403504,0.00038022403691440743,0.0028163659540964376
16,256,512,random_binary,0.01,0,2,0.08246149955968374,0.3911722232280852,10.83748771831842,0.6964217408784993,0.001513329750583855,0.005772197041739428
16,256,512,random_binary,0.01,0,3,0.03694796825451694,0.3589765454135096,14.324094381923524,0.6299620073170282,0.00040833216533176853,0.002435322502914008
16,256,512,random_binary,0.01,0,4,0.05294429423938306,0.40077542186911524,12.761808365738919,0.6783326917177351,0.0006478245921418956,0.0038083927684031387
16,256,512,random_binary,0.01,1,0,0.04690523993219596,0.3725253118143352,13.287786381693053,0.6528118641336833,0.0007193352989586974,0.0038250309312785886
