correction,challenger,baseline,law,fit_kind,observed_points,left_censored_points,not_reached_points,fit_status,n,intercept,intercept_se,r2,rmse_log10,sigma_a_exponent,sigma_a_exponent_se
agc,dct_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,fourier_fourstep,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,random_binary,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,3,0,2,ok,5,-0.1602426495736012,0.2887157498709866,0.70323973854607,0.20320941378707388,-0.8906130586049299,0.33402548398775633
agc,random_uniform,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
agc,srht_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,5,0,censored_only_endpoint,5,,,,,,
none,dct_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
none,fourier_fourstep,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,1,0,4,censored_only_endpoint,5,,,,,,
none,random_binary,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,2,0,3,ok,5,0.22961760109817808,0.2221901526068459,0.7213774329798259,0.1563861018343251,-0.7164199846437537,0.25705966264389557
none,random_uniform,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,0,0,5,censored_only_endpoint,5,,,,,,
none,srht_paired,hadamard_paired,rho_star_endpoint_midpoint ~ sigma_a^a,censored_endpoint_midpoint,3,2,0,ok,5,-3.7169946664100313,0.40490620373659203,0.8703277181920308,0.2849887903130666,-2.1020450299271025,0.46845033820703097
